;Runway 07
N051.23.35.536 W003.29.47.112 N051.21.15.518 W003.42.02.140
N051.23.47.014 W003.29.52.722 N051.23.24.057 W003.29.41.502
N051.23.29.511 W003.31.24.668 N051.23.06.555 W003.31.13.450
N051.23.12.009 W003.32.56.595 N051.22.49.053 W003.32.45.377
N051.23.00.246 W003.34.31.306 N051.22.25.812 W003.34.14.482
N051.22.37.005 W003.36.00.390 N051.22.14.048 W003.35.49.174
N051.22.19.502 W003.37.32.258 N051.21.56.546 W003.37.21.044
N051.22.02.000 W003.39.04.106 N051.21.39.044 W003.38.52.893
N051.21.44.498 W003.40.35.935 N051.21.21.542 W003.40.24.724
N051.21.32.735 W003.42.10.547 N051.20.58.300 W003.41.53.732
;Runway 25
N051.25.02.154 W003.22.11.741 N051.27.22.012 W003.09.54.684
N051.25.13.634 W003.22.17.348 N051.24.50.675 W003.22.06.135
N051.25.31.116 W003.20.45.285 N051.25.08.157 W003.20.34.071
N051.25.48.598 W003.19.13.202 N051.25.25.640 W003.19.01.987
N051.26.11.820 W003.17.43.904 N051.25.37.382 W003.17.27.080
N051.26.23.563 W003.16.08.978 N051.26.00.604 W003.15.57.761
N051.26.41.045 W003.14.36.837 N051.26.18.086 W003.14.25.618
N051.26.58.527 W003.13.04.676 N051.26.35.568 W003.12.53.456
N051.27.16.009 W003.11.32.496 N051.26.53.051 W003.11.21.274
N051.27.39.231 W003.10.03.101 N051.27.04.793 W003.09.46.267
