;DGX Perimeter
REGIONNAME St Athan
smrTEGrassBdy N051.25.42.021 W003.29.01.493
N051.25.41.640 W003.23.16.017
N051.23.12.407 W003.23.16.017
N051.23.12.407 W003.29.00.223

;Big Disused
REGIONNAME St Athan
smrTEdisused N051.24.27.863 W003.26.06.332
N051.24.29.126 W003.25.59.725
N051.24.29.162 W003.25.59.465
N051.24.29.142 W003.25.59.251
N051.24.29.083 W003.25.59.052
N051.24.28.995 W003.25.58.895
N051.24.28.822 W003.25.58.737
N051.24.27.178 W003.25.57.929
N051.24.28.377 W003.25.51.727
N051.24.29.007 W003.25.52.036
N051.24.29.196 W003.25.51.034
N051.24.29.835 W003.25.51.334
N051.24.29.754 W003.25.51.726
N051.24.30.593 W003.25.52.132
N051.24.31.504 W003.25.47.431
N051.24.31.531 W003.25.47.155
N051.24.31.512 W003.25.46.899
N051.24.31.470 W003.25.46.607
N051.24.31.393 W003.25.46.424
N051.24.31.295 W003.25.46.303
N051.24.31.206 W003.25.46.223
N051.24.31.881 W003.25.45.669
N051.24.31.890 W003.25.45.682
N051.24.31.978 W003.25.46.517
N051.24.32.235 W003.25.48.989
N051.24.32.379 W003.25.49.297
N051.24.32.531 W003.25.49.530
N051.24.32.696 W003.25.49.725
N051.24.32.820 W003.25.49.840
N051.24.33.382 W003.25.50.138
N051.24.33.483 W003.25.50.127
N051.24.33.598 W003.25.50.069
N051.24.33.699 W003.25.49.949
N051.24.33.801 W003.25.49.777
N051.24.33.871 W003.25.49.567
N051.24.34.678 W003.25.45.338
N051.24.37.660 W003.25.46.808
N051.24.37.839 W003.25.47.004
N051.24.37.950 W003.25.47.227
N051.24.38.031 W003.25.47.496
N051.24.38.048 W003.25.47.830
N051.24.42.056 W003.25.49.807
N051.24.41.707 W003.25.51.579
N051.24.41.947 W003.25.51.682
N051.24.42.098 W003.25.52.018
N051.24.41.968 W003.25.52.740
N051.24.42.286 W003.25.52.896
N051.24.42.429 W003.25.53.039
N051.24.42.539 W003.25.53.281
N051.24.42.604 W003.25.53.550
N051.24.42.139 W003.25.55.954
N051.24.45.838 W003.25.57.791
N051.24.44.712 W003.26.03.591
N051.24.43.739 W003.26.08.597
N051.24.42.494 W003.26.07.957
N051.24.42.207 W003.26.09.418
N051.24.39.786 W003.26.08.178
N051.24.39.550 W003.26.09.451
N051.24.39.227 W003.26.09.275
N051.24.39.068 W003.26.09.237
N051.24.38.933 W003.26.09.283
N051.24.38.812 W003.26.09.383
N051.24.38.700 W003.26.09.585
N051.24.38.632 W003.26.09.818
N051.24.38.323 W003.26.11.429
N051.24.37.861 W003.26.11.202
N051.24.38.165 W003.26.09.639
N051.24.38.204 W003.26.09.399
N051.24.38.190 W003.26.09.128
N051.24.38.113 W003.26.08.881
N051.24.38.022 W003.26.08.726
N051.24.37.758 W003.26.08.540
N051.24.30.181 W003.26.04.767
N051.24.29.803 W003.26.04.664
N051.24.29.458 W003.26.04.703
N051.24.29.081 W003.26.04.922
N051.24.28.721 W003.26.05.359
N051.24.28.514 W003.26.05.732
N051.24.28.323 W003.26.06.548

;Disused G 1
REGIONNAME St Athan
smrTEdisused N051.24.30.583 W003.25.44.832
N051.24.30.703 W003.25.44.767
N051.24.30.812 W003.25.44.695
N051.24.30.914 W003.25.44.592
N051.24.30.991 W003.25.44.481
N051.24.31.055 W003.25.44.381
