EGTK Oxford SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.03.08.062 W001.17.28.412 N052.03.05.505 W001.16.20.627
                            N052.03.05.505 W001.16.20.627 N052.02.59.314 W001.15.13.460
                            N052.02.59.314 W001.15.13.460 N052.02.49.535 W001.14.07.424
                            N052.02.49.535 W001.14.07.424 N052.02.36.245 W001.13.03.021
                            N052.02.36.245 W001.13.03.021 N052.02.19.542 W001.12.00.742
                            N052.02.19.542 W001.12.00.742 N052.01.59.556 W001.11.01.059
                            N052.01.59.556 W001.11.01.059 N052.01.36.437 W001.10.04.428
                            N052.01.36.437 W001.10.04.428 N052.01.10.362 W001.09.11.279
                            N052.01.10.362 W001.09.11.279 N052.00.41.529 W001.08.22.017
                            N052.00.41.529 W001.08.22.017 N052.00.10.158 W001.07.37.017
                            N052.00.10.158 W001.07.37.017 N051.59.36.487 W001.06.56.621
                            N051.59.36.487 W001.06.56.621 N051.59.00.773 W001.06.21.137
                            N051.59.00.773 W001.06.21.137 N051.58.23.288 W001.05.50.835
                            N051.58.23.288 W001.05.50.835 N051.57.44.316 W001.05.25.945
                            N051.57.44.316 W001.05.25.945 N051.57.04.154 W001.05.06.657
                            N051.57.04.154 W001.05.06.657 N051.56.23.108 W001.04.53.117
                            N051.56.23.108 W001.04.53.117 N051.55.41.491 W001.04.45.429
                            N051.55.41.491 W001.04.45.429 N051.54.59.619 W001.04.43.652
                            N051.54.59.619 W001.04.43.652 N051.54.17.811 W001.04.47.798
                            N051.54.17.811 W001.04.47.798 N051.53.37.998 W001.04.59.999
                            N051.53.37.998 W001.04.59.999 N051.43.49.000 W001.08.03.000
                            N051.56.39.613 W001.30.26.161 N051.57.20.342 W001.30.10.308
                            N051.57.20.342 W001.30.10.308 N051.58.00.064 W001.29.48.759
                            N051.58.00.064 W001.29.48.759 N051.58.38.477 W001.29.21.679
                            N051.58.38.477 W001.29.21.679 N051.59.15.287 W001.28.49.274
                            N051.59.15.287 W001.28.49.274 N051.59.50.216 W001.28.11.790
                            N051.59.50.216 W001.28.11.790 N052.00.22.996 W001.27.29.514
                            N052.00.22.996 W001.27.29.514 N052.00.53.380 W001.26.42.766
                            N052.00.53.380 W001.26.42.766 N052.01.21.135 W001.25.51.903
                            N052.01.21.135 W001.25.51.903 N052.01.46.050 W001.24.57.311
                            N052.01.46.050 W001.24.57.311 N052.02.07.935 W001.23.59.406
                            N052.02.07.935 W001.23.59.406 N052.02.26.625 W001.22.58.629
                            N052.02.26.625 W001.22.58.629 N052.02.41.977 W001.21.55.442
                            N052.02.41.977 W001.21.55.442 N052.02.53.873 W001.20.50.326
                            N052.02.53.873 W001.20.50.326 N052.03.02.224 W001.19.43.777
                            N052.03.02.224 W001.19.43.777 N052.03.06.966 W001.18.36.302
                            N052.03.06.966 W001.18.36.302 N052.03.08.062 W001.17.28.412
                            N051.43.49.000 W001.08.03.000 N051.43.06.656 W001.08.15.411
                            N051.43.06.656 W001.08.15.411 N051.42.26.935 W001.08.36.881
                            N051.42.26.935 W001.08.36.881 N051.41.48.522 W001.09.03.863
                            N051.41.48.522 W001.09.03.863 N051.41.11.712 W001.09.36.150
                            N051.41.11.712 W001.09.36.150 N051.40.36.784 W001.10.13.497
                            N051.40.36.784 W001.10.13.497 N051.40.04.003 W001.10.55.620
                            N051.40.04.003 W001.10.55.620 N051.39.33.620 W001.11.42.197
                            N051.39.33.620 W001.11.42.197 N051.39.05.866 W001.12.32.876
                            N051.39.05.866 W001.12.32.876 N051.38.40.951 W001.13.27.269
                            N051.38.40.951 W001.13.27.269 N051.38.19.065 W001.14.24.963
                            N051.38.19.065 W001.14.24.963 N051.38.00.376 W001.15.25.519
                            N051.38.00.376 W001.15.25.519 N051.37.45.025 W001.16.28.477
                            N051.37.45.025 W001.16.28.477 N051.37.33.128 W001.17.33.355
                            N051.37.33.128 W001.17.33.355 N051.37.24.778 W001.18.39.662
                            N051.37.24.778 W001.18.39.662 N051.37.20.036 W001.19.46.893
                            N051.37.20.036 W001.19.46.893 N051.37.18.940 W001.20.54.535
                            N051.37.18.940 W001.20.54.535 N051.37.21.497 W001.22.02.074
                            N051.37.21.497 W001.22.02.074 N051.37.27.688 W001.23.08.997
                            N051.37.27.688 W001.23.08.997 N051.37.37.466 W001.24.14.792
                            N051.37.37.466 W001.24.14.792 N051.37.50.757 W001.25.18.961
                            N051.37.50.757 W001.25.18.961 N051.38.07.459 W001.26.21.014
                            N051.38.07.459 W001.26.21.014 N051.38.27.445 W001.27.20.480
                            N051.38.27.445 W001.27.20.480 N051.38.50.563 W001.28.16.905
                            N051.38.50.563 W001.28.16.905 N051.39.16.638 W001.29.09.861
                            N051.39.16.638 W001.29.09.861 N051.39.45.471 W001.29.58.943
                            N051.39.45.471 W001.29.58.943 N051.40.16.842 W001.30.43.780
                            N051.40.16.842 W001.30.43.780 N051.40.50.512 W001.31.24.029
                            N051.40.50.512 W001.31.24.029 N051.41.26.226 W001.31.59.384
                            N051.41.26.226 W001.31.59.384 N051.42.03.711 W001.32.29.576
                            N051.42.03.711 W001.32.29.576 N051.42.42.683 W001.32.54.376
                            N051.42.42.683 W001.32.54.376 N051.43.22.844 W001.33.13.594
                            N051.43.22.844 W001.33.13.594 N051.44.03.889 W001.33.27.084
                            N051.44.03.889 W001.33.27.084 N051.44.45.506 W001.33.34.744
                            N051.44.45.506 W001.33.34.744 N051.45.27.378 W001.33.36.515
                            N051.45.27.378 W001.33.36.515 N051.46.09.186 W001.33.32.384
