ADVOL N052.20.22.449 E000.37.57.450
AMTIL N052.22.00.200 E000.27.12.251
ASMUV N052.23.39.819 E000.09.57.100
DEKEG N052.18.40.461 E000.48.10.901
EVDEG N052.21.29.441 E000.31.11.201
GATGA N052.21.00.890 E000.34.01.229
GOVOL N052.21.16.492 E000.32.06.209
IRDAB N052.24.25.409 E000.10.11.360
KOVAP N052.22.41.099 E000.20.06.742
LORVA N052.22.00.041 E000.27.12.212
NUGTU N052.40.34.889 E000.07.37.550
TUSMU N052.18.55.430 E000.48.17.460
UFHAB N052.20.25.509 E000.38.03.120
UGDAB N052.22.59.801 E000.20.14.770
XENKA N052.14.24.389 E000.44.40.712
