ABFEZ N051.40.57.500 W001.49.46.900
BAPLA N051.41.03.200 W001.45.16.900
DESAP N051.41.12.900 W001.37.16.100
DISRI N051.51.28.400 W001.30.45.000
EVSOM N051.53.51.900 W001.59.57.800
GEPLI N051.40.56.600 W001.49.47.000
GIKNI N051.59.54.400 W002.05.39.200
GIVIT N051.41.27.800 W001.23.46.300
GUDLO N051.41.34.900 W001.37.18.500
IBDUK N051.41.23.000 W002.11.56.700
KOXIP N051.49.32.800 W001.55.54.900
LEKLO N051.41.12.500 W001.38.13.800
LUMOX N051.41.06.400 W001.57.39.100
MAXOB N051.57.49.200 W002.04.59.500
OGRIM N051.41.04.100 W001.45.18.000
OZVOZ N051.40.26.100 W002.11.56.500
UVISA N051.42.25.600 W001.23.52.600
YUTDO N051.40.44.600 W001.59.16.600
