;Fleetlands ATZ
EGVF Fleetlands ATZ N050.48.10.000 W001.09.29.000 N050.48.13.738 W001.09.11.427 ; Radial 162
EGVF Fleetlands ATZ N050.48.13.738 W001.09.11.427 N050.48.16.731 W001.08.55.937 ; Radial 157
EGVF Fleetlands ATZ N050.48.16.731 W001.08.55.937 N050.48.21.226 W001.08.41.103 ; Radial 152
EGVF Fleetlands ATZ N050.48.21.226 W001.08.41.103 N050.48.26.527 W001.08.26.759 ; Radial 147
EGVF Fleetlands ATZ N050.48.26.527 W001.08.26.759 N050.48.32.592 W001.08.13.292 ; Radial 142
EGVF Fleetlands ATZ N050.48.32.592 W001.08.13.292 N050.48.39.375 W001.08.00.712 ; Radial 137
EGVF Fleetlands ATZ N050.48.39.375 W001.08.00.712 N050.48.46.824 W001.07.49.114 ; Radial 132
EGVF Fleetlands ATZ N050.48.46.824 W001.07.49.114 N050.48.54.884 W001.07.38.587 ; Radial 127
EGVF Fleetlands ATZ N050.48.54.884 W001.07.38.587 N050.49.03.493 W001.07.29.210 ; Radial 122
EGVF Fleetlands ATZ N050.49.03.493 W001.07.29.210 N050.49.12.585 W001.07.21.570 ; Radial 117
EGVF Fleetlands ATZ N050.49.12.585 W001.07.21.570 N050.49.22.916 W001.07.14.187 ; Radial 112
EGVF Fleetlands ATZ N050.49.22.916 W001.07.14.187 N050.49.31.939 W001.07.08.655 ; Radial 107
EGVF Fleetlands ATZ N050.49.31.939 W001.07.08.655 N050.49.42.551 W001.07.04.501 ; Radial 102
EGVF Fleetlands ATZ N050.49.42.551 W001.07.04.501 N050.49.52.360 W001.07.01.759 ; Radial 97
EGVF Fleetlands ATZ N050.49.52.360 W001.07.01.759 N050.50.02.777 W001.07.00.449 ; Radial 92
EGVF Fleetlands ATZ N050.50.02.777 W001.07.00.449 N050.50.13.227 W001.07.00.582 ; Radial 87
EGVF Fleetlands ATZ N050.50.13.227 W001.07.00.582 N050.50.23.629 W001.07.02.156 ; Radial 82
EGVF Fleetlands ATZ N050.50.23.629 W001.07.02.156 N050.50.33.906 W001.07.05.161 ; Radial 77
EGVF Fleetlands ATZ N050.50.33.906 W001.07.05.161 N050.50.43.977 W001.07.09.573 ; Radial 72
EGVF Fleetlands ATZ N050.50.43.977 W001.07.09.573 N050.50.53.768 W001.07.15.358 ; Radial 67
EGVF Fleetlands ATZ N050.50.53.768 W001.07.15.358 N050.51.03.203 W001.07.22.474 ; Radial 62
EGVF Fleetlands ATZ N050.51.03.203 W001.07.22.474 N050.51.12.210 W001.07.30.867 ; Radial 57
EGVF Fleetlands ATZ N050.51.12.210 W001.07.30.867 N050.51.20.721 W001.07.40.471 ; Radial 52
EGVF Fleetlands ATZ N050.51.20.721 W001.07.40.471 N050.51.28.671 W001.07.51.216 ; Radial 47
EGVF Fleetlands ATZ N050.51.29.000 W001.07.51.000 N050.51.35.999 W001.08.03.179 ; Radial 42
EGVF Fleetlands ATZ N050.51.35.999 W001.08.03.179 N050.51.42.650 W001.08.15.787 ; Radial 37
EGVF Fleetlands ATZ N050.51.42.650 W001.08.15.787 N050.51.48.572 W001.08.29.428 ; Radial 32
EGVF Fleetlands ATZ N050.51.48.572 W001.08.29.428 N050.51.53.721 W001.08.43.835 ; Radial 27
EGVF Fleetlands ATZ N050.51.53.721 W001.08.43.835 N050.51.58.581 W001.08.58.900 ; Radial 22
EGVF Fleetlands ATZ N050.51.58.581 W001.08.58.900 N050.52.01.548 W001.09.14.506 ; Radial 17
EGVF Fleetlands ATZ N050.52.01.548 W001.09.14.506 N050.52.04.166 W001.09.30.536 ; Radial 12
EGVF Fleetlands ATZ N050.52.04.166 W001.09.30.536 N050.52.05.892 W001.09.46.867 ; Radial 7
EGVF Fleetlands ATZ N050.52.05.892 W001.09.46.867 N050.52.06.713 W001.10.03.374 ; Radial 2
EGVF Fleetlands ATZ N050.52.06.713 W001.10.03.374 N050.52.06.622 W001.10.19.931 ; Radial 357
EGVF Fleetlands ATZ N050.52.06.622 W001.10.19.931 N050.52.05.619 W001.10.36.413 ; Radial 352
EGVF Fleetlands ATZ N050.52.05.619 W001.10.36.413 N050.52.03.714 W001.10.52.694 ; Radial 347
EGVF Fleetlands ATZ N050.52.03.714 W001.10.52.694 N050.52.00.919 W001.11.08.649 ; Radial 342
EGVF Fleetlands ATZ N050.52.00.919 W001.11.08.649 N050.51.57.257 W001.11.24.156 ; Radial 337
EGVF Fleetlands ATZ N050.51.57.257 W001.11.24.156 N050.51.52.755 W001.11.39.985 ; Radial 332
EGVF Fleetlands ATZ N050.51.52.755 W001.11.39.985 N050.51.47.448 W001.11.53.361 ; Radial 327
EGVF Fleetlands ATZ N050.51.47.448 W001.11.53.361 N050.51.41.376 W001.12.06.835 ; Radial 322
EGVF Fleetlands ATZ N050.51.41.376 W001.12.06.835 N050.51.34.586 W001.12.19.419 ; Radial 317
EGVF Fleetlands ATZ N050.51.34.586 W001.12.19.419 N050.51.27.129 W001.12.31.169 ; Radial 312
EGVF Fleetlands ATZ N050.51.27.129 W001.12.31.169 N050.51.19.623 W001.12.41.539 ; Radial 307
EGVF Fleetlands ATZ N050.51.19.623 W001.12.41.539 N050.51.10.446 W001.12.50.907 ; Radial 302
EGVF Fleetlands ATZ N050.51.10.446 W001.12.50.907 N050.50.54.000 W001.13.04.000
EGVF Fleetlands ATZ N050.50.54.000 W001.13.04.000 N050.50.55.617 W001.12.50.405 ; Radial 352
EGVF Fleetlands ATZ N050.50.55.617 W001.12.50.405 N050.50.56.620 W001.12.33.930 ; Radial 357
EGVF Fleetlands ATZ N050.50.56.620 W001.12.33.930 N050.50.56.711 W001.12.17.379 ; Radial 2
EGVF Fleetlands ATZ N050.50.56.711 W001.12.17.379 N050.50.55.890 W001.12.00.879 ; Radial 7
EGVF Fleetlands ATZ N050.50.55.890 W001.12.00.879 N050.50.54.164 W001.11.44.555 ; Radial 12
EGVF Fleetlands ATZ N050.50.54.164 W001.11.44.555 N050.50.49.000 W001.11.17.000
EGVF Fleetlands ATZ N050.50.49.000 W001.11.17.000 N050.48.24.000 W001.09.21.000
EGVF Fleetlands ATZ N050.48.24.000 W001.09.21.000 N050.48.15.992 W001.09.25.888 ; Radial 110
EGVF Fleetlands ATZ N050.48.15.992 W001.09.25.888 N050.48.06.340 W001.09.32.226 ; Radial 115
EGVF Fleetlands ATZ N050.48.06.340 W001.09.32.226 N050.48.10.000 W001.09.29.000
EGVF Fleetlands ATZ N050.48.10.000 W001.09.29.000 N050.48.10.000 W001.09.29.000
