;Holding Points
"A" N051.44.41.970:W001.36.14.458 standHold
"B" N051.44.44.863:W001.35.58.918 standHold
"B1" N051.44.42.971:W001.35.57.821 standHold
"B2" N051.44.45.865:W001.35.32.409 standHold
"C" N051.44.55.770:W001.34.55.296 standHold
"C1" N051.44.53.099:W001.35.04.437 standHold
"D" N051.45.08.013:W001.34.44.692 standHold
"D1" N051.45.31.273:W001.34.35.185 standHold
"E" N051.45.13.689:W001.34.06.665 standHold
"E1" N051.45.16.360:W001.34.07.945 standHold
"E2" N051.45.36.504:W001.34.24.765 standHold
"E3" N051.45.36.504:W001.34.32.809 standHold
"F" N051.45.09.460:W001.33.46.920 standHold
"G" N051.45.06.566:W001.34.02.460 standHold
"G1" N051.45.03.783:W001.34.02.826 standHold
"G2" N051.44.48.425:W001.34.58.587 standHold
