;Runway 07
N051.32.20.120 W000.28.47.230 N051.31.38.670 W000.31.47.550
N051.31.38.670 W000.31.47.550 N051.32.39.680 W000.41.15.720
N051.32.34.180 W000.28.55.520 N051.32.06.050 W000.28.38.950
N051.31.53.590 W000.31.49.710 N051.31.23.750 W000.31.45.380
N051.32.13.850 W000.34.52.790 N051.31.44.330 W000.35.00.990
N051.32.04.660 W000.38.10.390 N051.32.34.190 W000.38.02.180
N051.32.54.440 W000.41.11.620 N051.32.24.910 W000.41.19.820
;Runway 25
N051.34.00.400 W000.21.28.980 N051.35.22.660 W000.15.27.630
N051.33.46.330 W000.21.20.700 N051.34.14.460 W000.21.37.260
N051.34.27.500 W000.18.20.070 N051.34.55.630 W000.18.36.640
N051.35.08.600 W000.15.19.350 N051.35.36.720 W000.15.35.920
