ADRUG N051.42.26.000 W000.41.10.000
CHARL N051.36.01.000 W000.16.27.000
ROM25 N051.36.09.000 W000.32.52.000
WATFO N051.40.33.000 W000.20.54.000
WUE00 N051.33.20.320 W000.24.24.480
WUE01 N051.34.59.880 W000.17.08.470
WUE09 N051.45.57.370 E000.04.45.100
WUN02 N051.37.38.640 W000.31.33.170
WUN03 N051.46.33.950 W000.33.01.900
WUN04 N051.49.33.710 W000.33.04.710
WUN05 N051.36.02.230 W000.22.06.660
WUN06 N051.43.01.150 W000.20.01.810
WUN07 N051.42.18.150 W000.15.02.010
WUN08 N051.43.38.680 W000.10.43.260
WUN09 N051.42.06.400 W000.27.00.050
WUW00 N051.33.00.220 W000.25.52.280
WUW01 N051.35.39.800 W000.31.33.170
WUW02 N051.35.42.500 W000.30.41.470
