EGWU Northolt SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.42.53.052 W000.17.25.514 N051.42.50.495 W000.16.18.234
                            N051.42.50.495 W000.16.18.234 N051.42.44.680 W000.15.15.100
                            N051.42.14.709 W000.14.50.241 N051.42.26.710 W000.15.01.260
                            N051.42.26.710 W000.15.01.260 N051.42.40.767 W000.15.12.576
                            N051.42.40.767 W000.15.12.576 N051.42.44.680 W000.15.15.100
                            N051.40.51.121 W000.09.04.889 N051.40.47.297 W000.09.25.674
                            N051.40.47.297 W000.09.25.674 N051.40.44.166 W000.09.50.525
                            N051.40.44.166 W000.09.50.525 N051.40.42.388 W000.10.15.721
                            N051.40.42.388 W000.10.15.721 N051.40.41.977 W000.10.41.072
                            N051.40.41.977 W000.10.41.072 N051.40.42.936 W000.11.06.384
                            N051.40.42.936 W000.11.06.384 N051.40.45.257 W000.11.31.465
                            N051.40.45.257 W000.11.31.465 N051.40.48.924 W000.11.56.123
                            N051.40.48.924 W000.11.56.123 N051.40.53.908 W000.12.20.172
                            N051.40.53.908 W000.12.20.172 N051.41.00.171 W000.12.43.428
                            N051.41.00.171 W000.12.43.428 N051.41.07.666 W000.13.05.714
                            N051.41.07.666 W000.13.05.714 N051.41.16.336 W000.13.26.861
                            N051.41.16.336 W000.13.26.861 N051.41.26.114 W000.13.46.708
                            N051.41.26.114 W000.13.46.708 N051.41.36.926 W000.14.05.103
                            N051.41.36.926 W000.14.05.103 N051.41.48.690 W000.14.21.906
                            N051.41.48.690 W000.14.21.906 N051.42.01.316 W000.14.36.991
                            N051.42.01.316 W000.14.36.991 N051.42.14.709 W000.14.50.241
                            N051.40.51.121 W000.09.04.889 N051.40.26.522 W000.08.23.197
                            N051.40.26.522 W000.08.23.197 N051.39.55.151 W000.07.38.532
                            N051.39.55.151 W000.07.38.532 N051.39.21.481 W000.06.58.438
                            N051.39.21.481 W000.06.58.438 N051.38.45.768 W000.06.23.219
                            N051.38.45.768 W000.06.23.219 N051.38.08.283 W000.05.53.143
                            N051.38.08.283 W000.05.53.143 N051.37.29.312 W000.05.28.438
                            N051.37.29.312 W000.05.28.438 N051.36.49.151 W000.05.09.294
                            N051.36.49.151 W000.05.09.294 N051.36.08.106 W000.04.55.856
                            N051.36.08.106 W000.04.55.856 N051.35.26.489 W000.04.48.225
                            N051.35.26.489 W000.04.48.225 N051.34.44.618 W000.04.46.461
                            N051.34.44.618 W000.04.46.461 N051.34.19.866 W000.04.48.919
                            N051.32.05.444 W000.09.23.803 N051.32.09.627 W000.09.22.158
                            N051.32.09.627 W000.09.22.158 N051.32.24.523 W000.09.14.148
                            N051.32.24.523 W000.09.14.148 N051.32.38.927 W000.09.04.082
                            N051.32.38.927 W000.09.04.082 N051.32.52.731 W000.08.52.036
                            N051.32.52.731 W000.08.52.036 N051.33.05.829 W000.08.38.103
                            N051.33.05.829 W000.08.38.103 N051.33.18.121 W000.08.22.388
                            N051.33.18.121 W000.08.22.388 N051.33.29.515 W000.08.05.012
                            N051.33.29.515 W000.08.05.012 N051.33.39.922 W000.07.46.105
                            N051.33.39.922 W000.07.46.105 N051.33.49.265 W000.07.25.812
                            N051.33.49.265 W000.07.25.812 N051.33.57.472 W000.07.04.288
                            N051.33.57.472 W000.07.04.288 N051.34.04.481 W000.06.41.696
