EGXC Coningsby SMAA         S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            ;oval
                            N053.14.38.584 W000.06.36.642 N053.14.51.191 W000.05.30.409 ; Radial 345
                            N053.14.51.191 W000.05.30.409 N053.15.00.266 W000.04.21.847 ; Radial 350
                            N053.15.00.266 W000.04.21.847 N053.15.05.738 W000.03.12.586 ; Radial 355
                            N053.15.05.738 W000.03.12.586 N053.15.08.000 W000.02.03.000
                            N053.15.08.000 W000.02.03.000 N053.15.05.738 W000.00.52.991 ; Radial 5
                            N053.15.05.738 W000.00.52.991 N053.15.00.266 E000.00.16.270 ; Radial 10
                            N053.15.00.266 E000.00.16.270 N053.14.51.191 E000.01.24.463 ; Radial 15
                            N053.14.51.191 E000.01.24.463 N053.14.38.584 E000.02.31.651 ; Radial 20
                            N053.14.38.584 E000.02.31.651 N053.14.22.542 E000.03.35.564 ; Radial 25
                            N053.14.22.542 E000.03.35.564 N053.14.03.188 E000.04.37.467 ; Radial 30
                            N053.14.03.188 E000.04.37.467 N053.13.40.671 E000.05.36.298 ; Radial 35
                            N053.13.40.671 E000.05.36.298 N053.13.15.162 E000.06.31.610 ; Radial 40
                            N053.13.15.162 E000.06.31.610 N053.12.46.858 E000.07.22.978 ; Radial 45
                            N053.12.46.858 E000.07.22.978 N053.12.15.975 E000.08.10.129 ; Radial 50
                            N053.12.15.975 E000.08.10.129 N053.11.42.751 E000.08.52.355 ; Radial 55
                            N053.11.42.751 E000.08.52.355 N053.11.07.439 E000.09.29.686 ; Radial 60
                            N053.11.07.439 E000.09.29.686 N053.10.30.309 E000.10.01.721 ; Radial 65
                            N053.10.30.309 E000.10.01.721 N053.09.51.645 E000.10.28.222 ; Radial 70
                            N053.09.51.645 E000.10.28.222 N053.09.11.743 E000.10.48.988 ; Radial 75
                            N053.09.11.743 E000.10.48.988 N053.08.30.907 E000.11.03.867 ; Radial 80
                            N053.08.30.907 E000.11.03.867 N053.07.49.448 E000.11.12.750 ; Radial 85
                            N053.07.49.448 E000.11.12.750 N053.07.07.683 E000.11.15.573 ; Radial 90
                            N053.07.07.683 E000.11.15.573 N053.06.25.929 E000.11.12.320 ; Radial 95
                            N053.06.25.929 E000.11.12.320 N053.05.44.504 E000.11.03.222 ; Radial 100
                            N053.05.44.504 E000.11.03.222 N053.05.03.722 E000.10.47.752 ; Radial 105
                            N053.05.03.722 E000.10.47.752 N053.04.23.894 E000.10.26.633 ; Radial 110
                            N053.04.23.894 E000.10.26.633 N053.03.45.322 E000.09.59.828 ; Radial 115
                            N053.03.45.322 E000.09.59.828 N053.03.08.298 E000.09.27.545 ; Radial 120
                            N053.03.08.298 E000.09.27.545 N053.02.33.103 E000.08.50.331 ; Radial 125
                            N053.02.33.103 E000.08.50.331 N053.02.00.404 E000.08.07.578 ; Radial 130
                            N053.02.00.404 E000.08.07.578 N053.01.29.250 E000.07.20.506 ; Radial 135
                            N053.01.29.250 E000.07.20.506 N053.01.01.750 E000.06.29.175 ; Radial 140
                            N053.01.01.750 E000.06.29.175 N053.00.35.691 E000.05.33.976 ; Radial 145
                            N053.00.35.691 E000.05.33.976 N053.00.13.290 E000.04.35.326 ; Radial 150
                            N053.00.13.290 E000.04.35.326 N052.59.54.425 E000.03.33.670 ; Radial 155
                            N052.59.54.425 E000.03.33.670 N052.59.38.919 E000.02.29.476 ; Radial 160
                            N052.59.38.919 E000.02.29.476 N052.59.25.559 E000.01.23.227 ; Radial 165
                            N052.59.25.559 E000.01.23.227 N052.56.32.405 W000.13.20.741
                            N052.56.32.405 W000.13.20.741 N052.56.19.507 W000.14.26.911 ; Radial 165
                            N052.56.19.507 W000.14.26.911 N052.56.10.488 W000.15.34.632 ; Radial 170
                            N052.56.10.488 W000.15.34.632 N052.56.05.486 W000.16.43.395 ; Radial 175
                            N052.56.05.486 W000.16.43.395 N052.56.03.231 W000.17.52.681 ; Radial 180
                            N052.56.03.231 W000.17.52.681 N052.56.05.486 W000.19.01.966 ; Radial 185
                            N052.56.05.486 W000.19.01.966 N052.56.10.488 W000.20.10.729 ; Radial 190
                            N052.56.10.488 W000.20.10.729 N052.56.19.507 W000.21.18.451 ; Radial 195
                            N052.56.19.507 W000.21.18.451 N052.56.32.405 W000.22.24.620 ; Radial 200
                            N052.56.32.405 W000.22.24.620 N052.56.47.991 W000.23.28.738 ; Radial 205
                            N052.56.47.991 W000.23.28.738 N052.57.07.239 W000.24.30.320 ; Radial 210
                            N052.57.07.239 W000.24.30.320 N052.57.29.640 W000.25.28.900 ; Radial 215
                            N052.57.29.640 W000.25.28.900 N052.57.55.240 W000.26.24.336 ; Radial 220
                            N052.57.55.240 W000.26.24.336 N052.58.23.199 W000.27.15.303 ; Radial 225
                            N052.58.23.199 W000.27.15.303 N052.58.53.953 W000.28.02.318 ; Radial 230
                            N052.58.53.953 W000.28.02.318 N052.59.27.529 W000.28.44.721 ; Radial 235
                            N052.59.27.529 W000.28.44.721 N053.00.02.248 W000.29.22.188 ; Radial 240
                            N053.00.02.248 W000.29.22.188 N053.00.39.272 W000.29.54.432 ; Radial 245
                            N053.00.39.272 W000.29.54.432 N053.01.17.844 W000.30.21.205 ; Radial 250
                            N053.01.17.844 W000.30.21.205 N053.01.57.672 W000.30.42.299 ; Radial 255
                            N053.01.57.672 W000.30.42.299 N053.02.38.453 W000.30.57.549 ; Radial 260
                            N053.02.38.453 W000.30.57.549 N053.03.19.879 W000.31.06.836 ; Radial 265
                            N053.03.19.879 W000.31.06.836 N053.04.01.633 W000.31.10.852 ; Radial 270
                            N053.04.01.633 W000.31.10.852 N053.04.43.398 W000.31.07.264 ; Radial 275
                            N053.04.43.398 W000.31.07.264 N053.05.24.857 W000.30.58.392 ; Radial 280
                            N053.05.24.857 W000.30.58.392 N053.06.05.693 W000.30.43.531 ; Radial 285
                            N053.06.05.693 W000.30.43.531 N053.06.45.595 W000.30.22.789 ; Radial 290
                            N053.06.45.595 W000.30.22.789 N053.07.24.258 W000.29.56.320 ; Radial 295
                            N053.07.24.258 W000.29.56.320 N053.08.01.388 W000.29.24.322 ; Radial 300
                            N053.08.01.388 W000.29.24.322 N053.08.36.700 W000.28.47.372 ; Radial 305
                            N053.08.36.700 W000.28.47.372 N053.09.09.925 W000.28.04.745 ; Radial 310
                            N053.09.09.925 W000.28.04.745 N053.09.40.807 W000.27.17.767 ; Radial 315
                            N053.09.40.807 W000.27.17.767 N053.10.09.111 W000.26.26.460 ; Radial 320
                            N053.10.09.111 W000.26.26.460 N053.10.34.619 W000.25.31.215 ; Radial 325
                            N053.10.34.619 W000.25.31.215 N053.10.57.137 W000.24.32.454 ; Radial 330
                            N053.10.57.137 W000.24.32.454 N053.11.16.491 W000.23.30.626 ; Radial 335
                            N053.11.16.491 W000.23.30.626 N053.11.32.533 W000.22.26.204 ; Radial 340
                            N053.11.32.533 W000.22.26.204 N053.11.45.140 W000.21.19.683 ; Radial 345
                            N053.11.45.140 W000.21.19.683 N053.14.38.584 W000.06.36.642
                            ;outer circle 
                            N053.45.31.000 W000.09.58.000 N053.44.54.148 E000.01.45.479 ; Radial 10
                            N053.44.54.148 E000.01.45.479 N053.43.04.429 E000.13.06.607 ; Radial 20
                            N053.43.04.429 E000.13.06.607 N053.40.05.443 E000.23.43.798 ; Radial 30
                            N053.40.05.443 E000.23.43.798 N053.36.02.860 E000.33.17.589 ; Radial 40
                            N053.36.02.860 E000.33.17.589 N053.31.04.335 E000.41.28.652 ; Radial 50
                            N053.31.04.335 E000.41.28.652 N053.25.19.235 E000.48.03.675 ; Radial 60
                            N053.25.19.235 E000.48.03.675 N053.18.58.322 E000.52.50.499 ; Radial 70
                            N053.18.58.322 E000.52.50.499 N053.12.13.389 E000.55.41.753 ; Radial 80
                            N053.12.13.389 E000.55.41.753 N053.05.16.877 E000.56.31.875 ; Radial 90
                            N053.05.16.877 E000.56.31.875 N052.58.21.481 E000.55.19.978 ; Radial 100
                            N052.58.21.481 E000.55.19.978 N052.51.39.763 E000.52.10.848 ; Radial 110
                            N052.51.39.763 E000.52.10.848 N052.45.23.777 E000.47.10.249 ; Radial 120
                            N052.45.23.777 E000.47.10.249 N052.39.44.722 E000.40.27.893 ; Radial 130
                            N052.39.44.722 E000.40.27.893 N052.34.52.630 E000.32.16.293 ; Radial 140
                            N052.34.52.630 E000.32.16.293 N052.30.56.941 E000.22.50.356 ; Radial 150
                            N052.30.56.941 E000.22.50.356 N052.28.02.371 E000.12.26.938 ; Radial 160
                            N052.28.02.371 E000.12.26.938 N052.26.15.535 E000.01.24.370 ; Radial 170
                            N052.26.15.535 E000.01.24.370 N052.25.39.688 W000.09.58.211 ; Radial 180
                            N052.25.39.688 W000.09.58.211 N052.26.15.535 W000.21.20.412 ; Radial 190
                            N052.26.15.535 W000.21.20.412 N052.28.02.371 W000.32.22.980 ; Radial 200
                            N052.28.02.371 W000.32.22.980 N052.30.56.941 W000.42.46.398 ; Radial 210
                            N052.30.56.941 W000.42.46.398 N052.34.52.630 W000.52.12.335 ; Radial 220
                            N052.34.52.630 W000.52.12.335 N052.39.44.722 W001.00.23.935 ; Radial 230
                            N052.39.44.722 W001.00.23.935 N052.45.23.777 W001.07.06.292 ; Radial 240
                            N052.45.23.777 W001.07.06.292 N052.51.39.763 W001.12.06.891 ; Radial 250
                            N052.51.39.763 W001.12.06.891 N052.58.21.481 W001.15.16.212 ; Radial 260
                            N052.58.21.481 W001.15.16.212 N053.05.16.877 W001.16.27.129 ; Radial 270
                            N053.05.16.877 W001.16.27.129 N053.12.13.389 W001.15.37.117 ; Radial 280
                            N053.12.13.389 W001.15.37.117 N053.18.58.322 W001.12.46.542 ; Radial 290
                            N053.18.58.322 W001.12.46.542 N053.25.19.235 W001.07.59.717 ; Radial 300
                            N053.25.19.235 W001.07.59.717 N053.31.04.335 W001.01.24.694 ; Radial 310
                            N053.31.04.335 W001.01.24.694 N053.36.02.860 W000.53.13.101 ; Radial 320
                            N053.36.02.860 W000.53.13.101 N053.40.05.443 W000.43.39.840 ; Radial 330
                            N053.40.05.443 W000.43.39.840 N053.43.04.429 W000.33.02.649 ; Radial 340
                            N053.43.04.429 W000.33.02.649 N053.44.54.148 W000.21.41.521 ; Radial 350
                            N053.44.54.148 W000.21.41.521 N053.45.31.000 W000.09.58.000
                            ;radials
                            N053.14.59.728 E000.00.20.312 N053.38.54.267 E000.26.32.151 ;213
                            N053.09.16.815 W000.27.54.263 N053.18.32.900 W001.12.57.250 ;109
                            N052.56.12.987 W000.15.15.864 N052.27.51.778 W000.31.17.288 ;019
                            ;07 FAVA
                            N053.06.05.015 W000.14.09.283 N053.03.42.409 W000.12.51.848
                            N053.06.05.015 W000.14.09.283 N053.04.47.477 W000.27.26.769
                            N053.04.47.477 W000.27.26.769 N053.00.02.265 W000.24.52.050
                            N053.03.42.409 W000.12.51.848 N053.00.02.265 W000.24.52.050
                            ;25 FAVA
                            N053.07.28.381 W000.07.04.146 N053.05.05.775 W000.05.46.670
                            N053.07.28.381 W000.07.04.146 N053.11.08.525 E000.04.58.029
                            N053.11.08.525 E000.04.58.029 N053.06.23.313 E000.07.33.130
                            N053.05.05.775 W000.05.46.670 N053.06.23.313 E000.07.33.130
                            ;belmont
                            N053.23.26.000 W000.10.34.000 N053.23.22.947 W000.09.41.681 ; Radial 10
                            N053.23.22.947 W000.09.41.681 N053.23.14.831 W000.08.50.958 ; Radial 20
                            N053.23.14.831 W000.08.50.958 N053.23.01.581 W000.08.03.376 ; Radial 30
                            N053.23.01.581 W000.08.03.376 N053.22.43.599 W000.07.20.385 ; Radial 40
                            N053.22.43.599 W000.07.20.385 N053.22.21.434 W000.06.43.292 ; Radial 50
                            N053.22.21.434 W000.06.43.292 N053.21.55.761 W000.06.13.225 ; Radial 60
                            N053.21.55.761 W000.06.13.225 N053.21.27.362 W000.05.51.953 ; Radial 70
                            N053.21.27.362 W000.05.51.953 N053.20.57.100 W000.05.37.571 ; Radial 80
                            N053.20.57.100 W000.05.37.571 N053.20.25.896 W000.05.33.597 ; Radial 90
                            N053.20.25.896 W000.05.33.597 N053.19.54.698 W000.05.37.691 ; Radial 100
                            N053.19.54.698 W000.05.37.691 N053.19.24.455 W000.05.51.321 ; Radial 110
                            N053.19.24.455 W000.05.51.321 N053.18.56.835 W000.06.13.530 ; Radial 120
                            N053.18.56.835 W000.06.13.530 N053.18.30.444 W000.06.43.639 ; Radial 130
                            N053.18.30.444 W000.06.43.639 N053.18.08.316 W000.07.20.732 ; Radial 140
                            N053.18.08.316 W000.07.20.732 N053.17.50.369 W000.08.03.681 ; Radial 150
                            N053.17.50.369 W000.08.03.681 N053.17.37.146 W000.08.51.185 ; Radial 160
                            N053.17.37.146 W000.08.51.185 N053.17.29.496 W000.09.41.802 ; Radial 170
