;Airfield Boundary
REGIONNAME Leeming
smrMilBoundary N054.16.47.961 W001.31.43.742
N054.16.52.493 W001.31.25.373
N054.17.00.338 W001.31.31.399
N054.17.02.278 W001.31.29.187
N054.17.07.250 W001.31.32.784
N054.17.07.405 W001.31.33.494
N054.17.11.280 W001.31.36.546
N054.17.11.733 W001.31.36.412
N054.17.17.561 W001.31.40.779
N054.17.24.220 W001.31.27.818
N054.17.30.025 W001.31.16.696
N054.17.33.718 W001.31.20.967
N054.17.40.144 W001.31.00.443
N054.17.52.568 W001.31.10.748
N054.17.53.245 W001.31.11.565
N054.17.53.983 W001.31.10.733
N054.17.54.539 W001.31.10.633
N054.17.55.495 W001.31.10.883
N054.18.03.637 W001.31.17.195
N054.18.04.944 W001.31.18.710
N054.18.06.021 W001.31.20.362
N054.18.06.559 W001.31.21.529
N054.18.06.829 W001.31.21.790
N054.18.07.097 W001.31.19.119
N054.18.08.024 W001.31.12.943
N054.18.17.664 W001.31.16.744
N054.18.17.669 W001.31.23.631
N054.18.18.444 W001.31.31.020
N054.18.20.010 W001.31.36.801
N054.18.17.663 W001.31.38.405
N054.18.17.770 W001.31.38.452
N054.18.21.952 W001.31.49.456
N054.18.22.785 W001.31.52.082
N054.18.21.423 W001.31.53.941
N054.18.22.672 W001.31.56.331
N054.18.23.475 W001.31.59.620
N054.18.25.189 W001.32.03.258
N054.18.23.960 W001.32.07.645
N054.18.23.162 W001.32.11.821
N054.18.21.749 W001.32.14.911
N054.18.20.854 W001.32.18.768
N054.18.19.563 W001.32.21.254
N054.18.18.086 W001.32.23.526
N054.18.16.585 W001.32.24.898
N054.18.15.028 W001.32.26.338
N054.18.13.545 W001.32.28.510
N054.18.10.994 W001.32.39.326
N054.18.10.409 W001.32.41.100
N054.18.09.467 W001.32.42.965
N054.18.08.574 W001.32.43.932
N054.18.07.097 W001.32.43.903
N054.18.02.503 W001.32.43.317
N054.17.59.651 W001.32.51.200
N054.17.50.849 W001.32.44.207
N054.17.48.914 W001.32.49.632
N054.17.46.719 W001.32.48.311
N054.17.45.990 W001.32.49.202
N054.17.30.304 W001.32.36.224
N054.17.33.902 W001.32.27.182
N054.17.29.891 W001.32.23.249
N054.17.28.747 W001.32.21.731
N054.17.25.427 W001.32.20.521
N054.17.23.041 W001.32.20.461
N054.17.19.929 W001.32.20.691
N054.17.15.685 W001.32.14.919
N054.17.14.983 W001.32.13.392
N054.17.14.840 W001.32.10.303
N054.17.08.658 W001.32.05.773
N054.17.09.226 W001.32.03.861
N054.16.56.076 W001.31.53.547
N054.16.55.791 W001.31.50.014

;Grass1
REGIONNAME Leeming
smrMilGrass N054.16.58.512 W001.31.46.479
N054.16.58.288 W001.31.47.484
N054.16.58.223 W001.31.48.552
N054.16.58.262 W001.31.49.166
N054.16.58.424 W001.31.50.154
N054.16.58.816 W001.31.51.423
N054.16.59.432 W001.31.52.520
N054.16.59.823 W001.31.52.932
N054.17.04.047 W001.31.56.195
N054.18.00.152 W001.32.39.347
N054.18.01.157 W001.32.39.812
N054.18.02.220 W001.32.39.881
N054.18.03.290 W001.32.39.430
N054.18.04.235 W001.32.38.573
N054.18.05.242 W001.32.36.801
N054.18.05.797 W001.32.34.896
N054.18.05.948 W001.32.34.058
N054.18.05.975 W001.32.26.208
N054.17.54.408 W001.31.36.774
N054.17.49.550 W001.31.51.638
N054.17.45.051 W001.31.59.089
N054.17.42.402 W001.32.00.134
N054.17.41.582 W001.32.01.875
N054.17.39.482 W001.32.02.283
N054.17.36.910 W001.32.01.329
N054.17.35.025 W001.31.59.003
N054.17.32.103 W001.31.55.213
N054.17.05.712 W001.31.34.782
N054.17.03.608 W001.31.33.581
N054.17.01.349 W001.31.35.107

;West_Taxi
REGIONNAME Leeming
smrTaxiwayDarker N054.16.58.312 W001.31.44.429
N054.16.57.856 W001.31.45.859
N054.16.57.625 W001.31.46.835
N054.16.57.525 W001.31.47.675
N054.16.57.501 W001.31.48.639
N054.16.57.624 W001.31.49.833
N054.16.57.767 W001.31.50.681
N054.16.58.042 W001.31.51.585
N054.16.58.482 W001.31.52.600
N054.16.59.050 W001.31.53.439
N054.16.59.639 W001.31.54.105
N054.17.00.415 W001.31.54.514
N054.17.01.130 W001.31.55.050
N054.17.15.755 W001.32.06.272
N054.17.16.152 W001.32.06.624
N054.17.16.653 W001.32.07.259
N054.17.17.021 W001.32.07.936
N054.17.17.192 W001.32.08.403
N054.17.17.205 W001.32.08.973
N054.17.17.219 W001.32.09.401
N054.17.17.708 W001.32.10.028
N054.17.17.830 W001.32.09.971
N054.17.18.029 W001.32.09.849
N054.17.18.265 W001.32.09.843
N054.17.18.350 W001.32.09.970
N054.17.18.383 W001.32.10.202
N054.17.18.396 W001.32.10.456
N054.17.18.350 W001.32.10.742
N054.17.18.298 W001.32.10.905
N054.17.18.860 W001.32.11.606
N054.17.18.986 W001.32.11.537
N054.17.19.143 W001.32.11.415
N054.17.19.345 W001.32.11.399
N054.17.19.470 W001.32.11.467
N054.17.19.520 W001.32.11.719
N054.17.19.532 W001.32.12.144
N054.17.19.489 W001.32.12.444
N054.17.20.028 W001.32.13.206
N054.17.20.134 W001.32.13.076
N054.17.20.290 W001.32.13.007
N054.17.20.477 W001.32.12.969
N054.17.20.611 W001.32.12.992
N054.17.20.675 W001.32.13.163
N054.17.20.682 W001.32.13.586
N054.17.20.682 W001.32.13.935
N054.17.20.653 W001.32.13.997
N054.17.21.164 W001.32.14.797
N054.17.21.276 W001.32.14.726
N054.17.21.410 W001.32.14.584
N054.17.21.518 W001.32.14.531
N054.17.21.642 W001.32.14.519
N054.17.21.867 W001.32.14.567
N054.17.22.047 W001.32.14.699
N054.17.22.209 W001.32.14.917
N054.17.22.351 W001.32.15.333
N054.17.22.419 W001.32.15.734
N054.17.22.465 W001.32.16.386
N054.17.23.117 W001.32.17.319
N054.17.23.358 W001.32.17.169
N054.17.23.690 W001.32.17.100
N054.17.23.970 W001.32.17.209
N054.17.24.333 W001.32.17.562
N054.17.24.732 W001.32.17.928
N054.17.25.707 W001.32.18.544
N054.17.26.401 W001.32.18.860
N054.17.27.108 W001.32.19.015
N054.17.31.223 W001.32.19.843
N054.17.33.465 W001.32.20.342
N054.17.34.537 W001.32.20.795
N054.17.35.499 W001.32.21.447
N054.17.43.729 W001.32.27.750
N054.17.45.377 W001.32.29.180
N054.17.44.983 W001.32.30.978
N054.17.44.883 W001.32.31.247
N054.17.44.475 W001.32.31.818
N054.17.44.273 W001.32.32.337
N054.17.44.296 W001.32.33.033
N054.17.44.448 W001.32.33.416
N054.17.44.768 W001.32.33.615
N054.17.45.044 W001.32.33.519
N054.17.45.256 W001.32.33.173
N054.17.45.383 W001.32.32.837
N054.17.45.383 W001.32.32.364
N054.17.45.361 W001.32.31.753
N054.17.45.363 W001.32.31.546
N054.17.45.948 W001.32.29.648
N054.17.46.454 W001.32.29.875
N054.17.59.534 W001.32.39.968
N054.18.00.705 W001.32.40.775
N054.18.01.721 W001.32.41.020
N054.18.02.620 W001.32.40.822
N054.18.03.371 W001.32.40.500
N054.18.03.901 W001.32.40.127
