EDPAZ N052.58.23.160 W000.47.24.960
HULBU N052.53.36.550 W000.42.11.070
LOXEF N052.53.51.650 W000.30.58.240
MOWUZ N053.26.16.420 W000.20.33.810
NUZWO N052.49.13.240 W000.34.01.000
UXONE N053.21.28.590 W000.15.19.670
XW02F N053.01.54.500 W000.36.44.920
XW02I N052.58.15.170 W000.39.08.860
XW20F N053.17.59.390 W000.26.06.270
XW20I N053.21.38.340 W000.23.40.110
XWM01 N053.12.44.410 W000.29.35.730
XWM02 N053.07.08.210 W000.33.18.250
XWM03 N052.56.53.340 W000.48.20.820
ZADTE N053.24.57.840 W000.29.53.880
