AWJAL N052.51.21.690 W000.23.08.810
AXWUW N053.05.21.470 W000.48.10.780
EXWUB N052.47.07.730 W000.32.28.910
HORME N053.16.28.320 W000.25.28.330
ICJOL N053.00.24.470 W000.47.05.520
ITFUW N052.56.46.870 W000.29.13.550
OFJAD N053.10.48.700 W000.18.26.360
OVJOC N052.52.46.590 W000.39.28.930
OWZOX N052.58.29.330 W000.10.40.020
RW01 N053.01.15.790 W000.29.07.530
RW08 N053.01.43.430 W000.30.20.570
RW19 N053.02.02.600 W000.28.56.350
RW26 N053.01.50.930 W000.28.43.440
UFMEZ N053.12.14.440 W000.34.53.630
UGHUK N053.07.48.300 W000.12.34.990
YD01I N052.52.04.280 W000.31.18.760
YD01F N052.57.00.810 W000.30.08.330
YD08F N053.01.03.470 W000.38.53.010
YD19I N053.11.31.860 W000.26.39.850
YD19F N053.06.35.370 W000.27.51.040
YD26I N053.02.56.240 W000.14.25.470
YD26F N053.02.28.670 W000.20.30.440
YDM01 N053.06.12.310 W000.27.56.820
YDM02 N053.06.54.790 W000.36.10.100
YDM03 N053.00.58.880 W000.37.34.140
YDM04 N052.57.06.080 W000.30.07.090
YDM05 N052.57.48.530 W000.38.18.170
YDM06 N053.02.21.260 W000.22.07.600
YDM07 N052.57.24.730 W000.21.02.230
YDM08 N053.01.12.620 W000.36.56.220
YDM09 N052.56.32.160 W000.35.56.820
YEZYU N052.55.27.460 W000.46.00.510
YUFYA N053.03.32.980 W000.06.12.090
