DERXE N053.04.31.230 W000.48.45.520
EKMAF N052.51.39.240 W000.28.03.940
EWDET N053.01.41.040 W000.12.04.730
HODWU N052.56.06.930 W000.19.16.240
LUZME N052.50.25.100 W000.18.57.770
NAHOG N052.59.53.570 W000.13.57.010
NUVAF N052.47.16.340 W000.45.45.550
OMPUZ N052.54.29.740 W000.49.22.120
OXSAG N052.56.32.050 W000.52.07.680
UFUZE N052.54.11.060 W000.09.05.570
UXFES N052.52.20.230 W000.47.39.210
YE06F N052.54.52.500 W000.41.07.490
YE10F N052.58.24.700 W000.40.20.020
YE10I N052.59.22.450 W000.47.36.390
YE24F N053.00.18.980 W000.25.57.250
YE24I N053.01.04.170 W000.20.17.750
YE28F N052.56.23.020 W000.25.12.490
YE28I N052.55.17.310 W000.17.08.820
YEM01 N053.00.14.610 W000.27.13.220
YEM03 N052.56.31.600 W000.26.15.950
YEM05 N052.58.33.440 W000.41.25.800
YEM06 N052.53.40.830 W000.43.12.190
YEM07 N052.56.09.140 W000.39.09.760
YEM08 N052.51.12.110 W000.34.52.620
ZAWEH N052.56.01.880 W000.22.46.820
ZUXRE N053.06.03.350 W000.19.52.770
