AZJAB N052.28.51.600 E000.23.34.620
EZPUC N052.49.05.160 E000.42.54.700
IFVIZ N052.37.04.610 E000.14.16.080
IZHEC N052.47.47.790 E000.54.22.040
KADXA N052.40.51.350 E000.52.13.810
OBJOF N052.30.07.760 E000.12.11.840
YM05F N052.35.48.630 E000.25.40.150
YM05I N052.32.58.200 E000.18.55.780
YM23F N052.42.08.910 E000.40.47.790
YM23I N052.44.58.350 E000.47.34.690
YMM01 N052.41.18.400 E000.38.46.300
YMM02 N052.45.24.790 E000.34.05.690
YMM03 N052.36.29.340 E000.27.17.270
YMM04 N052.32.22.510 E000.31.55.910
