BABON N053.13.03.300 W006.30.56.500
BERMO N053.17.38.900 W006.24.50.800
BIVDI N053.10.59.500 W006.40.05.600
DETAX N053.14.30.700 W006.12.35.600
DW005 N053.37.36.300 W006.37.17.100
DW704 N053.24.03.700 W005.29.10.100
DW705 N053.30.46.600 W005.31.26.400
DW706 N053.36.21.300 W005.38.06.900
DW754 N053.12.02.300 W006.49.42.600
DW755 N053.15.54.200 W006.57.04.500
LAPMO N053.24.11.000 W005.56.44.100
OBINU N053.20.01.700 W005.49.31.200
OSLEX N053.21.55.800 W006.41.44.500
OTNER N053.17.15.000 W006.18.27.000
PEKOK N053.07.39.300 W005.34.00.800
PIZSA N053.28.44.300 W005.48.33.600
RUBAR N053.08.08.900 W005.48.05.400
SIVNA N053.11.52.300 W005.38.27.700
SORIN N053.08.29.300 W005.48.22.500
SUGAD N053.17.22.500 W005.31.39.800
ULTAG N053.42.01.000 W006.44.17.200

;Virtual Fix for Descent Profile Purposes
DSCND N053.07.26.700 W006.30.30.700
