N051.20.54.061 W000.41.54.090 N051.21.19.245 W000.41.10.816 
N051.21.19.245 W000.41.10.816 N051.21.32.602 W000.40.38.393 
N051.21.32.602 W000.40.38.393 N051.21.32.852 W000.40.01.684 
N051.21.32.852 W000.40.01.684 N051.21.32.374 W000.39.17.404 
N051.21.32.374 W000.39.17.404 N051.21.47.632 W000.38.35.000 
N051.21.47.632 W000.38.35.000 N051.21.59.962 W000.37.56.032 
N051.21.59.962 W000.37.56.032 N051.22.10.582 W000.37.16.204 
N051.22.10.582 W000.37.16.204 N051.22.25.089 W000.36.38.111 
N051.22.25.089 W000.36.38.111 N051.22.38.941 W000.36.04.865 
N051.22.38.941 W000.36.04.865 N051.22.51.492 W000.35.26.765 
N051.22.51.492 W000.35.26.765 N051.23.05.337 W000.34.38.267 
N051.23.05.337 W000.34.38.267 N051.23.16.747 W000.34.16.628 
N051.23.16.747 W000.34.16.628 N051.23.33.984 W000.33.42.841 
N051.23.33.984 W000.33.42.841 N051.23.48.427 W000.32.54.302 
N051.23.48.427 W000.32.54.302 N051.23.57.453 W000.32.21.902 
N051.23.57.453 W000.32.21.902 N051.24.01.910 W000.31.52.437 
N051.24.01.910 W000.31.52.437 N051.24.01.758 W000.31.18.558 
N051.24.01.758 W000.31.18.558 N051.23.51.445 W000.30.31.472 
N051.23.51.445 W000.30.31.472 N051.23.40.243 W000.29.51.764 
N051.23.40.243 W000.29.51.764 N051.23.25.332 W000.29.04.728 
N051.23.25.332 W000.29.04.728 N051.23.09.484 W000.28.14.764 
N051.23.09.484 W000.28.14.764 N051.22.54.522 W000.27.20.375 
N051.22.54.522 W000.27.20.375 N051.22.50.656 W000.26.45.012 
N051.22.50.656 W000.26.45.012 N051.22.58.684 W000.26.06.494 
N051.22.58.684 W000.26.06.494 N051.23.13.192 W000.25.36.695 
N051.23.13.192 W000.25.36.695 N051.23.30.472 W000.25.06.803 
N051.23.30.472 W000.25.06.803 N051.23.48.717 W000.24.41.292 
N051.23.48.717 W000.24.41.292 N051.24.05.086 W000.24.05.395 
N051.24.05.086 W000.24.05.395 N051.24.23.253 W000.23.17.519 
N051.24.23.253 W000.23.17.519 N051.24.40.498 W000.22.25.110 
N051.24.40.498 W000.22.25.110 N051.24.57.774 W000.21.34.085 
N051.24.57.774 W000.21.34.085 N051.25.15.090 W000.20.45.942 
N051.25.15.090 W000.20.45.942 N051.25.28.722 W000.19.57.808 
N051.25.28.722 W000.19.57.808 N051.25.43.330 W000.19.15.545 
N051.25.43.330 W000.19.15.545 N051.25.55.153 W000.18.30.302 
N051.25.55.153 W000.18.30.302 N051.26.04.256 W000.17.55.567 
N051.26.04.256 W000.17.55.567 N051.26.12.386 W000.17.11.823 
N051.26.12.386 W000.17.11.823 N051.26.21.502 W000.16.36.996 
N051.26.21.502 W000.16.36.996 N051.26.40.001 W000.16.12.312 
N051.26.40.001 W000.16.12.312 N051.27.02.241 W000.15.44.440 
N051.27.02.241 W000.15.44.440 N051.27.21.714 W000.15.16.618 
N051.27.21.714 W000.15.16.618 N051.27.44.950 W000.14.47.092 
N051.27.44.950 W000.14.47.092 N051.28.00.402 W000.14.25.873 
N051.28.00.402 W000.14.25.873 N051.28.15.132 W000.14.04.814 
N051.28.15.132 W000.14.04.814 N051.28.18.422 W000.13.46.591 
N051.28.18.422 W000.13.46.591 N051.28.17.894 W000.13.27.030 
