- Extended centrelines refers to those defined in the airport folders as permanent 'Geo', rather than ES generated versions.
- When runways tracks are updated at an airport that uses conventional SIDs, some of the "fixes" on those SIDs may change position -
  they're not really defined fixes like on RNAV SIDs, but they're calculations for the FMC on sim aircraft at least to fly the SID correctly.
  These fixes are contained in the 'Misc\FIXES_General RNAV.txt' file.

Airport             ICAO    AIRAC   Runway Tracks updated?  Extended centrelines?   Conventional SIDs?

Glasgow             EGPF    1702    Yes                     Yes - need updating     Yes - updated 1808
Inverness           EGPE    1711    Yes                     Yes - need updating     No
Stansted            EGSS    1801    Yes                     Yes - need updating     Yes - updated 1808
Doncaster           EGCN    1801    Yes                     Yes - need updating     Yes - updated 1808
Durham              EGNV    1801    Yes                     Yes - need updating     No
Oxford              EGTK    1801    Yes                     No                      No
Newcastle           EGNT    1801    Yes                     Yes - need updating     No
Exeter              EGTE    1801    Yes                     Yes - need updating     No
Jersey              EGJJ    1801    Yes                     Yes - need updating     Yes - updated 1808
Farnborough         EGLF    1802    Yes                     Yes - need updating     No
Hawarden            EGNR    1805    Yes                     Yes - need updating     No
Bristol             EGGD    1809    Yes                     Yes - need updating     Yes - updated 1808
Guernsey            EGJB    1809    Yes                     Yes - need updating     Yes - updated 1808
Wick                EGPC    1807    Yes                     No                      No
Dundee              EGPN    1807    Yes                     No                      No
Sumburgh            EGPB    1809    Yes                     Yes - need updating     No
Stornoway           EGPO    1811    Yes                     No                      No
Gloucestershire     EGBJ    1811    Yes                     No                      No
Newquay             EGHQ    1811    Yes                     Yes - need updating     No
Carlisle            EGNC    1811    Yes                     No                      No
Belfast/Aldergrove  EGAA    1813    Yes                     Yes - need updating     No
