REGIONNAME Southend RMA
1783641 N051.34.37.985 E001.00.17.302
N051.36.18.122 E000.55.28.165
N051.42.18.912 E000.51.57.439
N051.43.54.632 E000.56.58.827
N051.45.52.441 E000.55.03.662
N051.48.50.627 E000.54.26.908
N051.50.30.765 E000.59.20.945
N051.51.59.122 E001.14.47.162
N051.49.21.552 E001.20.13.053
N051.42.15.967 E001.21.26.563
N051.38.38.020 E001.17.43.584
N051.37.52.369 E001.06.24.848
N051.35.35.416 E001.01.13.659
N051.35.04.492 E001.01.18.560

REGIONNAME Southend RMA
2899264 N051.34.38.613 E001.00.20.353
N051.29.59.643 E000.49.59.350
N051.34.20.883 E000.49.58.125
N051.40.59.958 E000.45.57.996
N051.41.30.883 E000.48.22.564
N051.45.32.022 E000.50.24.160
N051.47.16.262 E000.50.02.927
N051.48.50.509 E000.54.29.520
N051.45.52.618 E000.55.10.685
N051.43.52.540 E000.57.02.936
N051.42.18.347 E000.51.57.829
N051.36.19.795 E000.55.27.384
