Coastline (Low Detail) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000 geoDefault
; NOAA object 1
;N050.02.38.080 W005.30.28.879 N049.59.40.664 W005.30.28.879 geoDefault
; NOAA object 2
N050.01.47.391 W005.05.58.822 N049.59.15.313 W005.02.36.056 geoDefault
; NOAA object 3
N049.51.13.315 E000.49.09.091 N049.52.21.335 E000.55.11.852 geoDefault
N049.52.21.335 E000.55.11.852 N049.56.34.789 E001.14.20.864 geoDefault
; NOAA object 4
N060.00.13.966 W001.16.27.592 N059.53.19.988 W001.18.25.873 geoDefault
N059.53.19.988 W001.18.25.873 N059.54.36.027 W001.15.03.107 geoDefault
N059.54.36.027 W001.15.03.107 N059.58.57.927 W001.09.50.508 geoDefault
; NOAA object 5
N058.26.44.100 W006.08.46.899 N058.27.09.437 W006.10.02.938 geoDefault
N058.27.09.437 W006.10.02.938 N058.26.10.303 W006.15.23.983 geoDefault
N058.26.10.303 W006.15.23.983 N058.22.39.091 W006.27.22.114 geoDefault
N058.22.39.091 W006.27.22.114 N058.18.50.974 W006.34.32.995 geoDefault
N058.18.50.974 W006.34.32.995 N058.16.02.004 W006.42.34.567 geoDefault
N058.16.02.004 W006.42.34.567 N058.13.38.372 W006.42.34.567 geoDefault
N058.13.38.372 W006.42.34.567 N058.10.24.051 W006.40.36.285 geoDefault
N058.10.24.051 W006.40.36.285 N058.09.24.917 W006.47.13.369 geoDefault
N058.09.24.917 W006.47.13.369 N058.12.13.887 W006.55.06.492 geoDefault
N058.12.13.887 W006.55.06.492 N058.06.35.947 W006.58.20.809 geoDefault
N058.06.35.947 W006.58.20.809 N058.02.47.830 W006.58.20.809 geoDefault
N058.02.47.830 W006.58.20.809 N057.58.51.267 W006.58.20.809 geoDefault
N057.58.51.267 W006.58.20.809 N057.56.27.648 W006.55.06.492 geoDefault
N057.56.27.648 W006.55.06.492 N057.53.38.678 W006.51.52.174 geoDefault
N057.53.38.678 W006.51.52.174 N057.50.07.452 W006.56.22.527 geoDefault
N057.50.07.452 W006.56.22.527 N057.48.26.076 W006.57.04.773 geoDefault
N057.48.26.076 W006.57.04.773 N057.44.46.404 W006.55.06.492 geoDefault
N057.44.46.404 W006.55.06.492 N057.46.10.903 W006.47.47.166 geoDefault
N057.46.10.903 W006.47.47.166 N057.48.00.725 W006.43.50.602 geoDefault
N057.48.00.725 W006.43.50.602 N057.51.15.046 W006.43.08.360 geoDefault
N057.51.15.046 W006.43.08.360 N057.52.39.531 W006.38.38.004 geoDefault
N057.52.39.531 W006.38.38.004 N057.55.45.406 W006.34.32.995 geoDefault
N057.55.45.406 W006.34.32.995 N057.55.20.055 W006.27.22.114 geoDefault
N057.55.20.055 W006.27.22.114 N057.56.27.648 W006.23.17.106 geoDefault
N057.56.27.648 W006.23.17.106 N057.59.16.618 W006.18.46.749 geoDefault
N057.59.16.618 W006.18.46.749 N058.02.22.493 W006.17.22.264 geoDefault
N058.02.22.493 W006.17.22.264 N058.03.30.072 W006.17.22.264 geoDefault
N058.03.30.072 W006.17.22.264 N058.03.46.978 W006.21.18.827 geoDefault
N058.03.46.978 W006.21.18.827 N058.07.18.190 W006.21.18.827 geoDefault
N058.07.18.190 W006.21.18.827 N058.07.43.527 W006.20.45.031 geoDefault
N058.07.43.527 W006.20.45.031 N058.09.08.026 W006.19.20.546 geoDefault
N058.09.08.026 W006.19.20.546 N058.10.24.051 W006.16.40.022 geoDefault
N058.10.24.051 W006.16.40.022 N058.10.49.402 W006.10.45.181 geoDefault
N058.10.49.402 W006.10.45.181 N058.13.13.034 W006.05.32.582 geoDefault
N058.13.13.034 W006.05.32.582 N058.12.56.129 W006.08.04.657 geoDefault
N058.12.56.129 W006.08.04.657 N058.15.19.762 W006.11.27.423 geoDefault
N058.15.19.762 W006.11.27.423 N058.18.25.623 W006.10.02.938 geoDefault
N058.18.25.623 W006.10.02.938 N058.21.39.944 W006.09.29.142 geoDefault
N058.21.39.944 W006.09.29.142 N058.24.45.818 W006.08.46.899 geoDefault
N058.24.45.818 W006.08.46.899 N058.26.44.100 W006.08.46.899 geoDefault
; NOAA object 6
N057.36.44.846 W007.01.43.575 N057.37.43.980 W006.58.20.809 geoDefault
N057.37.43.980 W006.58.20.809 N057.38.09.331 W006.59.03.051 geoDefault
N057.38.09.331 W006.59.03.051 N057.38.51.573 W007.04.57.893 geoDefault
N057.38.51.573 W007.04.57.893 N057.38.09.331 W007.13.41.707 geoDefault
N057.38.09.331 W007.13.41.707 N057.37.43.980 W007.19.36.548 geoDefault
N057.37.43.980 W007.19.36.548 N057.37.27.089 W007.23.33.111 geoDefault
N057.37.27.089 W007.23.33.111 N057.35.20.348 W007.24.15.354 geoDefault
N057.35.20.348 W007.24.15.354 N057.34.38.105 W007.20.52.587 geoDefault
N057.34.38.105 W007.20.52.587 N057.32.22.932 W007.18.12.063 geoDefault
N057.32.22.932 W007.18.12.063 N057.31.23.798 W007.14.57.746 geoDefault
N057.31.23.798 W007.14.57.746 N057.30.58.447 W007.09.36.698 geoDefault
N057.30.58.447 W007.09.36.698 N057.30.58.447 W007.05.40.138 geoDefault
N057.30.58.447 W007.05.40.138 N057.30.58.447 W007.03.41.857 geoDefault
N057.30.58.447 W007.03.41.857 N057.32.48.283 W007.03.41.857 geoDefault
N057.32.48.283 W007.03.41.857 N057.34.55.010 W007.02.59.614 geoDefault
N057.34.55.010 W007.02.59.614 N057.36.44.846 W007.01.43.575 geoDefault
; NOAA object 7
N058.56.43.647 W002.37.42.438 N058.58.08.132 W002.36.26.402 geoDefault
N058.58.08.132 W002.36.26.402 N058.58.25.037 W002.37.42.438 geoDefault
N058.58.25.037 W002.37.42.438 N058.59.49.522 W002.39.49.168 geoDefault
N058.59.49.522 W002.39.49.168 N058.59.24.171 W002.46.17.803 geoDefault
N058.59.24.171 W002.46.17.803 N059.00.06.413 W002.52.21.093 geoDefault
N059.00.06.413 W002.52.21.093 N059.00.06.413 W002.58.15.935 geoDefault
N059.00.06.413 W002.58.15.935 N059.02.46.937 W003.00.14.216 geoDefault
N059.02.46.937 W003.00.14.216 N059.05.35.907 W003.00.56.459 geoDefault
N059.05.35.907 W003.00.56.459 N059.09.15.579 W003.06.51.300 geoDefault
N059.09.15.579 W003.06.51.300 N059.09.15.579 W003.11.30.105 geoDefault
N059.09.15.579 W003.11.30.105 N059.03.54.531 W003.13.28.383 geoDefault
N059.03.54.531 W003.13.28.383 N058.59.24.171 W003.13.28.383 geoDefault
N058.59.24.171 W003.13.28.383 N058.57.25.889 W003.07.33.542 geoDefault
N058.57.25.889 W003.07.33.542 N058.57.00.552 W003.00.14.216 geoDefault
N058.57.00.552 W003.00.14.216 N058.57.42.794 W002.52.21.093 geoDefault
N058.57.42.794 W002.52.21.093 N058.57.00.552 W002.47.42.291 geoDefault
N058.57.00.552 W002.47.42.291 N058.56.26.755 W002.45.01.767 geoDefault
N058.56.26.755 W002.45.01.767 N058.55.44.513 W002.41.05.204 geoDefault
N058.55.44.513 W002.41.05.204 N058.56.43.647 W002.37.42.438 geoDefault
; NOAA object 8
N058.49.49.668 W003.06.09.057 N058.51.56.396 W003.05.35.264 geoDefault
N058.51.56.396 W003.05.35.264 N058.54.03.123 W003.08.49.581 geoDefault
N058.54.03.123 W003.08.49.581 N058.55.19.162 W003.13.28.383 geoDefault
N058.55.19.162 W003.13.28.383 N058.54.36.920 W003.17.24.947 geoDefault
N058.54.36.920 W003.17.24.947 N058.51.14.153 W003.18.07.189 geoDefault
N058.51.14.153 W003.18.07.189 N058.48.50.521 W003.14.10.629 geoDefault
N058.48.50.521 W003.14.10.629 N058.49.15.872 W003.08.15.788 geoDefault
N058.49.15.872 W003.08.15.788 N058.49.49.668 W003.06.09.057 geoDefault
; NOAA object 9
N058.12.56.129 W005.15.16.430 N058.12.30.792 W005.14.34.187 geoDefault
N058.12.30.792 W005.14.34.187 N058.09.24.917 W005.14.34.187 geoDefault
N058.09.24.917 W005.14.34.187 N058.06.19.042 W005.14.34.187 geoDefault
N058.06.19.042 W005.14.34.187 N058.04.54.557 W005.14.34.187 geoDefault
N058.04.54.557 W005.14.34.187 N058.03.04.735 W005.20.29.029 geoDefault
N058.03.04.735 W005.20.29.029 N058.00.15.752 W005.18.30.747 geoDefault
N058.00.15.752 W005.18.30.747 N057.58.09.024 W005.13.51.945 geoDefault
N057.58.09.024 W005.13.51.945 N057.56.10.743 W005.09.55.382 geoDefault
N057.56.10.743 W005.09.55.382 N057.55.20.055 W005.09.55.382 geoDefault
N057.55.20.055 W005.09.55.382 N057.53.38.678 W005.14.34.187 geoDefault
N057.53.38.678 W005.14.34.187 N057.52.14.180 W005.19.46.786 geoDefault
N057.52.14.180 W005.19.46.786 N057.51.31.937 W005.25.07.831 geoDefault
N057.51.31.937 W005.25.07.831 N057.48.59.873 W005.29.46.636 geoDefault
N057.48.59.873 W005.29.46.636 N057.48.42.968 W005.35.07.684 geoDefault
N057.48.42.968 W005.35.07.684 N057.46.53.145 W005.39.38.037 geoDefault
N057.46.53.145 W005.39.38.037 N057.42.39.677 W005.39.04.244 geoDefault
N057.42.39.677 W005.39.04.244 N057.40.32.950 W005.39.38.037 geoDefault
N057.40.32.950 W005.39.38.037 N057.37.01.738 W005.39.04.244 geoDefault
N057.37.01.738 W005.39.04.244 N057.34.38.105 W005.39.04.244 geoDefault
N057.34.38.105 W005.39.04.244 N057.33.30.526 W005.35.41.477 geoDefault
N057.33.30.526 W005.35.41.477 N057.32.06.041 W005.31.44.918 geoDefault
N057.32.06.041 W005.31.44.918 N057.30.58.447 W005.33.43.196 geoDefault
N057.30.58.447 W005.33.43.196 N057.31.40.690 W005.41.02.525 geoDefault
N057.31.40.690 W005.41.02.525 N057.30.41.556 W005.44.16.843 geoDefault
N057.30.41.556 W005.44.16.843 N057.28.51.720 W005.44.16.843 geoDefault
N057.28.51.720 W005.44.16.843 N057.27.52.572 W005.44.16.843 geoDefault
N057.27.52.572 W005.44.16.843 N057.27.27.235 W005.44.16.843 geoDefault
N057.27.27.235 W005.44.16.843 N057.23.30.672 W005.44.16.843 geoDefault
N057.23.30.672 W005.44.16.843 N057.21.40.836 W005.43.43.049 geoDefault
N057.21.40.836 W005.43.43.049 N057.21.23.945 W005.36.23.720 geoDefault
N057.21.23.945 W005.36.23.720 N057.22.31.524 W005.27.06.112 geoDefault
N057.22.31.524 W005.27.06.112 N057.22.48.430 W005.23.51.795 geoDefault
N057.22.48.430 W005.23.51.795 N057.19.59.460 W005.25.07.831 geoDefault
N057.19.59.460 W005.25.07.831 N057.18.09.624 W005.31.02.672 geoDefault
N057.18.09.624 W005.31.02.672 N057.17.27.382 W005.29.04.394 geoDefault
N057.17.27.382 W005.29.04.394 N057.17.10.476 W005.24.25.588 geoDefault
N057.17.10.476 W005.24.25.588 N057.16.02.897 W005.25.07.831 geoDefault
N057.16.02.897 W005.25.07.831 N057.12.06.334 W005.30.28.879 geoDefault
N057.12.06.334 W005.30.28.879 N057.10.16.498 W005.31.02.672 geoDefault
N057.10.16.498 W005.31.02.672 N057.09.34.255 W005.31.44.918 geoDefault
N057.09.34.255 W005.31.44.918 N057.07.02.177 W005.31.02.672 geoDefault
N057.07.02.177 W005.31.02.672 N057.05.37.692 W005.30.28.879 geoDefault
N057.05.37.692 W005.30.28.879 N057.05.12.355 W005.33.00.953 geoDefault
N057.05.12.355 W005.33.00.953 N057.02.23.385 W005.37.05.962 geoDefault
N057.02.23.385 W005.37.05.962 N057.01.41.143 W005.37.05.962 geoDefault
N057.01.41.143 W005.37.05.962 N056.59.51.307 W005.37.05.962 geoDefault
N056.59.51.307 W005.37.05.962 N056.57.44.580 W005.41.02.525 geoDefault
N056.57.44.580 W005.41.02.525 N056.53.48.017 W005.43.43.049 geoDefault
N056.53.48.017 W005.43.43.049 N056.52.15.086 W005.44.16.843 geoDefault
N056.52.15.086 W005.44.16.843 N056.49.43.008 W005.43.43.049 geoDefault
N056.49.43.008 W005.43.43.049 N056.46.11.796 W005.43.43.049 geoDefault
N056.46.11.796 W005.43.43.049 N056.45.04.202 W005.44.16.843 geoDefault
N056.45.04.202 W005.44.16.843 N056.44.21.960 W005.49.37.891 geoDefault
N056.44.21.960 W005.49.37.891 N056.43.31.272 W005.55.32.732 geoDefault
N056.43.31.272 W005.55.32.732 N056.41.24.531 W006.01.27.573 geoDefault
N056.41.24.531 W006.01.27.573 N056.39.34.709 W006.00.53.776 geoDefault
N056.39.34.709 W006.00.53.776 N056.39.17.803 W005.52.52.208 geoDefault
N056.39.17.803 W005.52.52.208 N056.38.52.466 W005.50.53.926 geoDefault
N056.38.52.466 W005.50.53.926 N056.38.52.466 W005.50.20.133 geoDefault
N056.38.52.466 W005.50.20.133 N056.37.02.630 W005.49.37.891 geoDefault
N056.37.02.630 W005.49.37.891 N056.33.22.972 W005.48.55.645 geoDefault
N056.33.22.972 W005.48.55.645 N056.31.33.137 W005.43.43.049 geoDefault
N056.31.33.137 W005.43.43.049 N056.28.35.707 W005.38.22.001 geoDefault
N056.28.35.707 W005.38.22.001 N056.27.11.223 W005.35.41.477 geoDefault
N056.27.11.223 W005.35.41.477 N056.27.11.223 W005.35.07.684 geoDefault
N056.27.11.223 W005.35.07.684 N056.27.36.573 W005.33.43.196 geoDefault
N056.27.36.573 W005.33.43.196 N056.27.53.465 W005.33.43.196 geoDefault
N056.27.53.465 W005.33.43.196 N056.29.26.409 W005.29.46.636 geoDefault
N056.29.26.409 W005.29.46.636 N056.31.16.231 W005.24.25.588 geoDefault
N056.31.16.231 W005.24.25.588 N056.34.05.215 W005.19.12.989 geoDefault
N056.34.05.215 W005.19.12.989 N056.35.38.145 W005.16.32.465 geoDefault
N056.35.38.145 W005.16.32.465 N056.36.37.279 W005.14.34.187 geoDefault
N056.36.37.279 W005.14.34.187 N056.37.27.981 W005.12.35.906 geoDefault
N056.37.27.981 W005.12.35.906 N056.37.02.630 W005.11.53.663 geoDefault
N056.37.02.630 W005.11.53.663 N056.36.20.388 W005.11.11.421 geoDefault
N056.36.20.388 W005.11.11.421 N056.33.06.067 W005.11.11.421 geoDefault
N056.33.06.067 W005.11.11.421 N056.27.53.465 W005.15.50.223 geoDefault
N056.27.53.465 W005.15.50.223 N056.23.31.565 W005.18.30.747 geoDefault
N056.23.31.565 W005.18.30.747 N056.19.26.556 W005.21.53.513 geoDefault
N056.19.26.556 W005.21.53.513 N056.16.54.478 W005.23.51.795 geoDefault
N056.16.54.478 W005.23.51.795 N056.14.22.399 W005.25.07.831 geoDefault
N056.14.22.399 W005.25.07.831 N056.09.52.053 W005.26.23.870 geoDefault
N056.09.52.053 W005.26.23.870 N056.07.19.975 W005.27.48.355 geoDefault
N056.07.19.975 W005.27.48.355 N056.04.47.897 W005.27.48.355 geoDefault
N056.04.47.897 W005.27.48.355 N056.01.25.130 W005.30.28.879 geoDefault
N056.01.25.130 W005.30.28.879 N055.57.03.230 W005.31.44.918 geoDefault
N055.57.03.230 W005.31.44.918 N055.54.22.706 W005.32.27.160 geoDefault
N055.54.22.706 W005.32.27.160 N055.50.43.034 W005.32.27.160 geoDefault
N055.50.43.034 W005.32.27.160 N055.49.10.104 W005.32.27.160 geoDefault
N055.49.10.104 W005.32.27.160 N055.50.00.792 W005.26.23.870 geoDefault
N055.50.00.792 W005.26.23.870 N055.47.45.619 W005.23.51.795 geoDefault
N055.47.45.619 W005.23.51.795 N055.43.57.502 W005.24.25.588 geoDefault
N055.43.57.502 W005.24.25.588 N055.40.17.844 W005.28.30.597 geoDefault
N055.40.17.844 W005.28.30.597 N055.34.39.904 W005.33.43.196 geoDefault
N055.34.39.904 W005.33.43.196 N055.29.27.302 W005.36.23.720 geoDefault
N055.29.27.302 W005.36.23.720 N055.24.56.942 W005.38.22.001 geoDefault
N055.24.56.942 W005.38.22.001 N055.20.01.245 W005.40.20.283 geoDefault
N055.20.01.245 W005.40.20.283 N055.18.11.409 W005.40.20.283 geoDefault
N055.18.11.409 W005.40.20.283 N055.18.11.409 W005.33.00.953 geoDefault
N055.18.11.409 W005.33.00.953 N055.20.43.488 W005.29.46.636 geoDefault
N055.20.43.488 W005.29.46.636 N055.28.19.709 W005.26.23.870 geoDefault
N055.28.19.709 W005.26.23.870 N055.36.29.726 W005.20.29.029 geoDefault
N055.36.29.726 W005.20.29.029 N055.40.34.735 W005.17.48.505 geoDefault
N055.40.34.735 W005.17.48.505 N055.44.48.203 W005.14.34.187 geoDefault
N055.44.48.203 W005.14.34.187 N055.46.54.931 W005.14.34.187 geoDefault
N055.46.54.931 W005.14.34.187 N055.49.10.104 W005.14.34.187 geoDefault
N055.49.10.104 W005.14.34.187 N055.52.58.221 W005.15.16.430 geoDefault
N055.52.58.221 W005.15.16.430 N055.57.20.121 W005.18.30.747 geoDefault
N055.57.20.121 W005.18.30.747 N056.00.00.645 W005.19.12.989 geoDefault
N056.00.00.645 W005.19.12.989 N056.00.42.888 W005.17.48.505 geoDefault
N056.00.42.888 W005.17.48.505 N056.01.50.481 W005.15.50.223 geoDefault
N056.01.50.481 W005.15.50.223 N056.04.47.897 W005.11.53.663 geoDefault
N056.04.47.897 W005.11.53.663 N056.10.42.741 W005.04.00.541 geoDefault
N056.10.42.741 W005.04.00.541 N056.10.59.633 W005.02.36.056 geoDefault
N056.10.59.633 W005.02.36.056 N056.11.24.984 W005.02.02.259 geoDefault
N056.11.24.984 W005.02.02.259 N056.07.19.975 W005.02.36.056 geoDefault
