;UK Area Control Positions (Event Only)

;Coordinators
LON_GS_CTR:London Control:199.998:LGS:L:LON:CTR:-:-::
LON-GS_CTR:London Control:199.998:LGS:L:LON-GS:CTR:-:-::
LTC_GS_CTR:London Control:199.998:TCGS:L:LTC:CTR:-:-::
LTC-GS_CTR:London Control:199.998:TCGS:L:LTC-GS:CTR:-:-::

MAN_GS_CTR:Scottish Control:199.998:PCGS:L:MAN:CTR:-:-::
MAN-GS_CTR:Scottish Control:199.998:PCGS:L:MAN-GS:CTR:-:-::

SCO_GS_CTR:Scottish Control:199.998:SGS:L:SCO:CTR:-:-::
SCO-GS_CTR:Scottish Control:199.998:SGS:L:SCO-GS:CTR:-:-::
STC_GS_CTR:London Control:199.998:STGS:L:SCO:CTR:-:-::
STC-GS_CTR:London Control:199.998:STGS:L:SCO-GS:CTR:-:-::

;FIR Flow (CTP)
EGTT_N_DEL:Flow North:199.998:FCN:L:EGTT:DEL:-:-::N055.52.13.810:W004.26.44.610:N053.21.13.480:W002.16.29.820 ; GOW, EGNX
EGTT_S_DEL:Flow South:199.998:FCS:L:EGTT:DEL:-:-::N051.29.30.000:W001.13.11.000 ; CPT

;North
LON_NU_CTR:London Control:132.870:LNU:L:LON:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713
LON-NU_CTR:London Control:132.870:LNU:L:LON-NU:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713
LON_NW_CTR:London Control:135.570:LNW:L:LON:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713
LON-NW_CTR:London Control:135.570:LNW:L:LON-NW:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713
LON_NE_CTR:London Control:128.120:LNE:L:LON:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713
LON-NE_CTR:London Control:128.120:LNE:L:LON-NE:CTR:-:-:0301:0377:N053.28.53.949:W003.04.30.713

;West
LON_WR_CTR:London Control:134.750:LWR:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WR_CTR:London Control:134.750:LWR:L:LON-WR:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WB_CTR:London Control:133.600:LWB:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WB_CTR:London Control:133.600:LWB:L:LON-WB:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WT_CTR:London Control:129.370:LWT:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WT_CTR:London Control:129.370:LWT:L:LON-WT:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WP_CTR:London Control:133.220:LWP:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WP_CTR:London Control:133.220:LWP:L:LON-WP:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WL_CTR:London Control:132.950:LWL:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WL_CTR:London Control:132.950:LWL:L:LON-WL:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WH_CTR:London Control:127.700:LWH:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WH_CTR:London Control:127.700:LWH:L:LON-WH:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON_WX_CTR:London Control:128.820:LWX:L:LON:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642
LON-WX_CTR:London Control:128.820:LWX:L:LON-WX:CTR:-:-:0301:0377:N051.37.36.130:W003.28.16.642

;Central
LON_CW_CTR:London Control:134.400:LCW:L:LON:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LON-CW_CTR:London Control:134.400:LCW:L:LON-CW:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LON_CE_CTR:London Control:127.870:LCE:L:LON:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LON-CE_CTR:London Control:127.870:LCE:L:LON-CE:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LON_CL_CTR:London Control:133.970:LCL:L:LON:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LON-CL_CTR:London Control:133.970:LCL:L:LON-CL:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581

LON_EN_CTR:London Control:133.920:LEN:L:LON:CTR:-:-:0301:0377:N051.50.59.526:E001.35.59.281
LON-EN_CTR:London Control:133.920:LEN:L:LON-EN:CTR:-:-:0301:0377:N051.50.59.526:E001.35.59.281
LON_ES_CTR:London Control:128.150:LES:L:LON:CTR:-:-:0301:0377:N051.50.59.526:E001.35.59.281
LON-ES_CTR:London Control:128.150:LES:L:LON-ES:CTR:-:-:0301:0377:N051.50.59.526:E001.35.59.281

;TC Midlands
LTC_C_CTR:London Control:121.020:TCM:L:LTC:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LTC-C_CTR:London Control:121.020:TCM:L:LTC-C:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LTC_CW_CTR:London Control:130.920:WELIN:L:LTC:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LTC-CW_CTR:London Control:130.920:WELIN:L:LTC-CW:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LTC_CO_CTR:London Control:133.070:COWLY:L:LTC:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581
LTC-CO_CTR:London Control:133.070:COWLY:L:LTC-CO:CTR:-:-:0301:0377:N052.07.30.663:W000.03.23.581

;TC North
LTC_NL_CTR:London Control:129.270:LOREL:L:LTC:CTR:-:-:0301:0377:N052.01.45.029:E000.06.46.622
LTC-NL_CTR:London Control:129.270:LOREL:L:LTC-NL:CTR:-:-:0301:0377:N052.01.45.029:E000.06.46.622
LTC_N2_CTR:London Control:123.900:LAM:L:LTC:CTR:-:-:0301:0377:N051.35.45.426:E000.29.54.689
LTC-N2_CTR:London Control:123.900:LAM:L:LTC-N2:CTR:-:-:0301:0377:N051.35.45.426:E000.29.54.689

;TC East
LTC_ES_CTR:London Control:129.600:SABER:L:LTC:CTR:-:-:0301:0377:N051.36.53.665:E001.01.23.060
LTC-ES_CTR:London Control:129.600:SABER:L:LTC-ES:CTR:-:-:0301:0377:N051.36.53.665:E001.01.23.060
LTC_EJ_CTR:London Control:135.420:JACKO:L:LTC:CTR:-:-:0301:0377:N051.39.28.213:E001.46.16.431
LTC-EJ_CTR:London Control:135.420:JACKO:L:LTC-EJ:CTR:-:-:0301:0377:N051.39.28.213:E001.46.16.431
LTC_ER_CTR:London Control:133.520:REDFA:L:LTC:CTR:-:-:0301:0377:N052.10.22.793:E001.41.05.137
LTC-ER_CTR:London Control:133.520:REDFA:L:LTC-ER:CTR:-:-:0301:0377:N052.10.22.793:E001.41.05.137
LTC_ED_CTR:London Control:124.920:DAGGA:L:LTC:CTR:-:-:0301:0377:N052.03.44.221:E000.30.42.364
LTC-ED_CTR:London Control:124.920:DAGGA:L:LTC-ED:CTR:-:-:0301:0377:N052.03.44.221:E000.30.42.364

;Prestwick W2 LAG (MAN)
MAN_WP_CTR:Scottish Control:126.870:PCP:M:MAN:CTR:-:-:0501:0577:N053.28.48.603:W003.58.46.843
MAN-WP_CTR:Scottish Control:126.870:PCP:M:MAN-WP:CTR:-:-:0501:0577:N053.28.48.603:W003.58.46.843
MAN_NE_CTR:Scottish Control:135.700:PCNE:M:MAN:CTR:-:-:0501:0577:N053.49.11.974:W002.18.59.167
MAN-NE_CTR:Scottish Control:135.700:PCNE:M:MAN-NE:CTR:-:-:0501:0577:N053.49.11.974:W002.18.59.167
MAN_WI_CTR:Scottish Control:133.050:IOM:M:MAN:CTR:-:-:0501:0577:N053.28.48.603:W003.58.46.843
MAN-WI_CTR:Scottish Control:133.050:IOM:M:MAN-WI:CTR:-:-:0501:0577:N053.28.48.603:W003.58.46.843
MAN_WU_CTR:Scottish Control:118.770:S29:M:MAN:CTR:-:-:0501:0577:N053.31.33.436:W002.32.36.984
MAN-WU_CTR:Scottish Control:118.770:S29:M:MAN-WU:CTR:-:-:0501:0577:N053.31.33.436:W002.32.36.984
MAN_TE_CTR:Scottish Control:119.520:TNT:M:MAN:CTR:-:-:0501:0577:N052.54.06.268:W001.52.38.334
