;EGLL AMAN 350NM Range Ring
EGLL AMAN 350NM Range Ring   N057.13.20.000 W002.08.49.000 N057.16.29.715 W001.23.54.863 ;Radial 355
EGLL AMAN 350NM Range Ring   N057.16.29.715 W001.23.54.863 N057.18.01.488 W000.27.41.400 ;Radial 360
EGLL AMAN 350NM Range Ring   N057.18.01.488 W000.27.41.400 N057.16.29.715 E000.28.32.862 ;Radial 5
EGLL AMAN 350NM Range Ring   N057.16.29.715 E000.28.32.862 N057.11.55.473 E001.24.08.581 ;Radial 10
EGLL AMAN 350NM Range Ring   N057.11.55.473 E001.24.08.581 N057.04.21.964 E002.18.26.861 ;Radial 15
EGLL AMAN 350NM Range Ring   N057.04.21.964 E002.18.26.861 N056.53.54.436 E003.10.53.374 ;Radial 20
EGLL AMAN 350NM Range Ring   N056.53.54.436 E003.10.53.374 N056.40.40.410 E004.00.54.306 ;Radial 25
EGLL AMAN 350NM Range Ring   N056.40.40.410 E004.00.54.306 N056.24.47.669 E004.47.59.614 ;Radial 30
EGLL AMAN 350NM Range Ring   N056.24.47.669 E004.47.59.614 N056.06.27.738 E005.31.42.975 ;Radial 35
EGLL AMAN 350NM Range Ring   N056.06.27.738 E005.31.42.975 N055.45.51.970 E006.11.42.841 ;Radial 40
EGLL AMAN 350NM Range Ring   N055.45.51.970 E006.11.42.841 N055.23.13.153 E006.47.38.779 ;Radial 45
EGLL AMAN 350NM Range Ring   N055.23.13.153 E006.47.38.779 N054.58.44.912 E007.19.19.235 ;Radial 50
EGLL AMAN 350NM Range Ring   N054.58.44.912 E007.19.19.235 N054.32.41.478 E007.46.32.746 ;Radial 55
EGLL AMAN 350NM Range Ring   N054.32.41.478 E007.46.32.746 N054.05.17.479 E008.09.13.600 ;Radial 60
EGLL AMAN 350NM Range Ring   N054.05.17.479 E008.09.13.600 N053.36.47.751 E008.27.18.639 ;Radial 65
EGLL AMAN 350NM Range Ring   N053.36.47.751 E008.27.18.639 N053.07.27.170 E008.40.47.956 ;Radial 70
EGLL AMAN 350NM Range Ring   N053.07.27.170 E008.40.47.956 N052.37.30.499 E008.49.44.316 ;Radial 75
EGLL AMAN 350NM Range Ring   N052.37.30.499 E008.49.44.316 N052.07.12.270 E008.54.12.774 ;Radial 80
EGLL AMAN 350NM Range Ring   N052.07.12.270 E008.54.12.774 N051.36.46.674 E008.54.20.323 ;Radial 85
EGLL AMAN 350NM Range Ring   N051.36.46.674 E008.54.20.323 N051.06.27.481 E008.50.15.565 ;Radial 90
EGLL AMAN 350NM Range Ring   N051.06.27.481 E008.50.15.565 N050.36.27.964 E008.42.08.416 ;Radial 95
EGLL AMAN 350NM Range Ring   N050.36.27.964 E008.42.08.416 N050.07.00.848 E008.30.09.845 ;Radial 100
EGLL AMAN 350NM Range Ring   N050.07.00.848 E008.30.09.845 N049.38.18.263 E008.14.31.655 ;Radial 105
EGLL AMAN 350NM Range Ring   N049.38.18.263 E008.14.31.655 N049.10.31.706 E007.55.26.291 ;Radial 110
EGLL AMAN 350NM Range Ring   N049.10.31.706 E007.55.26.291 N048.43.52.190 E007.33.06.687 ;Radial 115
EGLL AMAN 350NM Range Ring   N048.43.52.190 E007.33.06.687 N048.18.29.362 E007.07.46.139 ;Radial 120
EGLL AMAN 350NM Range Ring   N048.18.29.362 E007.07.46.139 N047.54.33.197 E006.39.38.206 ;Radial 125
EGLL AMAN 350NM Range Ring   N047.54.33.197 E006.39.38.206 N047.32.12.273 E006.08.56.626 ;Radial 130
EGLL AMAN 350NM Range Ring   N047.32.12.273 E006.08.56.626 N047.11.34.613 E005.35.55.262 ;Radial 135
EGLL AMAN 350NM Range Ring   N047.11.34.613 E005.35.55.262 N046.52.47.506 E005.00.48.518 ;Radial 140
EGLL AMAN 350NM Range Ring   N046.52.47.506 E005.00.48.518 N046.35.57.496 E004.23.48.975 ;Radial 145
EGLL AMAN 350NM Range Ring   N046.35.57.496 E004.23.48.975 N046.21.10.377 E003.45.12.339 ;Radial 150
EGLL AMAN 350NM Range Ring   N046.21.10.377 E003.45.12.339 N046.08.31.181 E003.05.11.233 ;Radial 155
EGLL AMAN 350NM Range Ring   N046.08.31.181 E003.05.11.233 N045.58.04.180 E002.24.00.573 ;Radial 160
EGLL AMAN 350NM Range Ring   N045.58.04.180 E002.24.00.573 N045.49.52.874 E001.41.54.452 ;Radial 165
EGLL AMAN 350NM Range Ring   N045.49.52.874 E001.41.54.452 N045.43.59.990 E000.59.05.628 ;Radial 170
EGLL AMAN 350NM Range Ring   N045.43.59.990 E000.59.05.628 N045.40.27.478 E000.15.49.292 ;Radial 175
EGLL AMAN 350NM Range Ring   N045.40.27.478 E000.15.49.292 N045.39.16.511 W000.27.41.399 ;Radial 180
EGLL AMAN 350NM Range Ring   N045.39.16.511 W000.27.41.399 N045.40.27.478 W001.11.11.293 ;Radial 185
EGLL AMAN 350NM Range Ring   N045.40.27.478 W001.11.11.293 N045.43.59.990 W001.54.27.629 ;Radial 190
EGLL AMAN 350NM Range Ring   N045.43.59.990 W001.54.27.629 N045.49.52.874 W002.37.16.460 ;Radial 195
EGLL AMAN 350NM Range Ring   N045.49.52.874 W002.37.16.460 N045.58.04.180 W003.19.22.574 ;Radial 200
EGLL AMAN 350NM Range Ring   N045.58.04.180 W003.19.22.574 N046.08.31.181 W004.00.33.233 ;Radial 205
EGLL AMAN 350NM Range Ring   N046.08.31.181 W004.00.33.233 N046.21.10.377 W004.40.34.347 ;Radial 210
EGLL AMAN 350NM Range Ring   N046.21.10.377 W004.40.34.347 N046.35.57.496 W005.19.10.976 ;Radial 215
EGLL AMAN 350NM Range Ring   N046.35.57.496 W005.19.10.976 N046.52.47.506 W005.56.10.526 ;Radial 220
EGLL AMAN 350NM Range Ring   N046.52.47.506 W005.56.10.526 N047.11.34.613 W006.31.17.263 ;Radial 225
