;NIMAT-ROTEV Buffer
NIMAT-ROTEV Buffer         N054.02.49.000 W005.54.15.000 N054.02.47.992 W005.53.48.328 ; Radial 5
NIMAT-ROTEV Buffer         N054.02.47.992 W005.53.48.328 N054.02.45.943 W005.53.21.860 ; Radial 10
NIMAT-ROTEV Buffer         N054.02.45.943 W005.53.21.860 N054.02.42.547 W005.52.55.797 ; Radial 15
NIMAT-ROTEV Buffer         N054.02.42.547 W005.52.55.797 N054.02.37.828 W005.52.30.339 ; Radial 20
NIMAT-ROTEV Buffer         N054.02.37.828 W005.52.30.339 N054.02.31.823 W005.52.05.681 ; Radial 25
NIMAT-ROTEV Buffer         N054.02.31.823 W005.52.05.681 N054.02.24.577 W005.51.42.993 ; Radial 30
NIMAT-ROTEV Buffer         N054.02.24.577 W005.51.42.993 N054.02.16.146 W005.51.19.506 ; Radial 35
NIMAT-ROTEV Buffer         N054.02.16.146 W005.51.19.506 N054.02.06.595 W005.50.58.343 ; Radial 40
NIMAT-ROTEV Buffer         N054.02.06.595 W005.50.58.343 N054.01.55.996 W005.50.38.680 ; Radial 45
NIMAT-ROTEV Buffer         N054.01.55.996 W005.50.38.680 N054.01.44.430 W005.50.20.667 ; Radial 50
NIMAT-ROTEV Buffer         N054.01.44.430 W005.50.20.667 N054.01.31.985 W005.50.04.442 ; Radial 55
NIMAT-ROTEV Buffer         N054.01.31.985 W005.50.04.442 N054.01.18.756 W005.49.50.128 ; Radial 60
NIMAT-ROTEV Buffer         N054.01.18.756 W005.49.50.128 N054.01.04.845 W005.49.37.834 ; Radial 65
NIMAT-ROTEV Buffer         N054.01.04.845 W005.49.37.834 N054.00.50.356 W005.49.27.652 ; Radial 70
NIMAT-ROTEV Buffer         N054.00.50.356 W005.49.27.652 N054.00.35.402 W005.49.19.660 ; Radial 75
NIMAT-ROTEV Buffer         N054.00.35.402 W005.49.19.660 N054.00.20.947 W005.49.13.917 ; Radial 80
NIMAT-ROTEV Buffer         N054.00.20.947 W005.49.13.917 N054.00.04.551 W005.49.10.467 ; Radial 85
NIMAT-ROTEV Buffer         N054.00.04.551 W005.49.10.467 N053.59.48.890 W005.49.09.336 ; Radial 90
NIMAT-ROTEV Buffer         N053.59.48.890 W005.49.09.336 N053.59.33.231 W005.49.10.531 ; Radial 95
NIMAT-ROTEV Buffer         N053.59.33.231 W005.49.10.531 N053.59.17.693 W005.49.14.428 ; Radial 100
NIMAT-ROTEV Buffer         N053.59.17.693 W005.49.14.428 N053.59.02.393 W005.49.19.843 ; Radial 105
NIMAT-ROTEV Buffer         N053.59.02.393 W005.49.19.843 N053.58.47.449 W005.49.27.888 ; Radial 110
NIMAT-ROTEV Buffer         N053.58.47.449 W005.49.27.888 N053.58.32.974 W005.49.38.115 ; Radial 115
NIMAT-ROTEV Buffer         N053.58.32.974 W005.49.38.115 N053.58.19.784 W005.49.50.446 ; Radial 120
NIMAT-ROTEV Buffer         N053.58.19.784 W005.49.50.446 N053.58.05.866 W005.50.04.787 ; Radial 125
NIMAT-ROTEV Buffer         N053.58.05.866 W005.50.04.787 N053.57.53.440 W005.50.21.286 ; Radial 130
NIMAT-ROTEV Buffer         N053.57.53.440 W005.50.21.286 N053.57.41.892 W005.50.39.466 ; Radial 135
NIMAT-ROTEV Buffer         N053.57.41.892 W005.50.39.466 N053.57.31.312 W005.50.58.703 ; Radial 140
NIMAT-ROTEV Buffer         N053.57.31.312 W005.50.58.703 N053.57.21.779 W005.51.19.851 ; Radial 145
NIMAT-ROTEV Buffer         N053.57.21.779 W005.51.19.851 N053.57.13.365 W005.51.42.327 ; Radial 150
NIMAT-ROTEV Buffer         N053.57.13.365 W005.51.42.327 N053.57.06.135 W005.52.05.961 ; Radial 155
NIMAT-ROTEV Buffer         N053.57.06.135 W005.52.05.961 N053.57.00.143 W005.52.30.575 ; Radial 160
NIMAT-ROTEV Buffer         N053.57.00.143 W005.52.30.575 N053.56.55.435 W005.52.55.980 ; Radial 165
NIMAT-ROTEV Buffer         N053.56.55.435 W005.52.55.980 N053.56.52.464 W005.53.21.985 ; Radial 170
NIMAT-ROTEV Buffer         N053.56.52.464 W005.53.21.985 N053.56.50.284 W005.53.48.392 ; Radial 175
NIMAT-ROTEV Buffer         N053.56.50.284 W005.53.48.392 N053.56.49.319 W005.54.15.120 ; Radial 180
NIMAT-ROTEV Buffer         N053.56.49.319 W005.54.15.120 N053.56.50.284 W005.54.41.609 ; Radial 185
NIMAT-ROTEV Buffer         N053.56.50.284 W005.54.41.609 N053.56.52.464 W005.55.08.167 ; Radial 190
NIMAT-ROTEV Buffer         N053.56.52.464 W005.55.08.167 N053.56.55.435 W005.55.34.215 ; Radial 195
NIMAT-ROTEV Buffer         N053.56.55.435 W005.55.34.215 N053.57.00.143 W005.55.59.427 ; Radial 200
NIMAT-ROTEV Buffer         N053.57.00.143 W005.55.59.427 N053.57.06.135 W005.56.24.405 ; Radial 205
NIMAT-ROTEV Buffer         N053.57.06.135 W005.56.24.405 N053.57.13.365 W005.56.47.675 ; Radial 210
NIMAT-ROTEV Buffer         N053.57.13.365 W005.56.47.675 N053.57.21.779 W005.57.10.151 ; Radial 215
NIMAT-ROTEV Buffer         N053.57.21.779 W005.57.10.151 N053.57.31.312 W005.57.31.298 ; Radial 220
NIMAT-ROTEV Buffer         N053.57.31.312 W005.57.31.298 N053.57.41.892 W005.57.50.955 ; Radial 225
NIMAT-ROTEV Buffer         N053.57.41.892 W005.57.50.955 N053.57.53.440 W005.58.08.973 ; Radial 230
NIMAT-ROTEV Buffer         N053.57.53.440 W005.58.08.973 N053.58.05.866 W005.58.25.215 ; Radial 235
NIMAT-ROTEV Buffer         N053.58.05.866 W005.58.25.215 N053.58.19.784 W005.58.39.556 ; Radial 240
NIMAT-ROTEV Buffer         N053.58.19.784 W005.58.39.556 N053.58.32.974 W005.58.51.887 ; Radial 245
NIMAT-ROTEV Buffer         N053.58.32.974 W005.58.51.887 N053.58.47.449 W005.59.02.114 ; Radial 250
NIMAT-ROTEV Buffer         N053.58.47.449 W005.59.02.114 N053.59.02.393 W005.59.10.159 ; Radial 255
NIMAT-ROTEV Buffer         N053.59.02.393 W005.59.10.159 N053.59.17.693 W005.59.15.959 ; Radial 260
NIMAT-ROTEV Buffer         N053.59.17.693 W005.59.15.959 N053.59.33.231 W005.59.19.470 ; Radial 265
NIMAT-ROTEV Buffer         N053.59.33.231 W005.59.19.470 N053.59.48.890 W005.59.20.665 ; Radial 270
NIMAT-ROTEV Buffer         N053.59.48.890 W005.59.20.665 N054.00.04.551 W005.59.19.534 ; Radial 275
NIMAT-ROTEV Buffer         N054.00.04.551 W005.59.19.534 N054.00.20.947 W005.59.16.848 ; Radial 280
NIMAT-ROTEV Buffer         N054.00.20.947 W005.59.16.848 N054.00.35.402 W005.59.10.342 ; Radial 285
NIMAT-ROTEV Buffer         N054.00.35.402 W005.59.10.342 N054.00.50.356 W005.59.02.349 ; Radial 290
NIMAT-ROTEV Buffer         N054.00.50.356 W005.59.02.349 N054.01.04.845 W005.58.52.167 ; Radial 295
NIMAT-ROTEV Buffer         N054.01.04.845 W005.58.52.167 N054.01.18.756 W005.58.39.873 ; Radial 300
NIMAT-ROTEV Buffer         N054.01.18.756 W005.58.39.873 N054.01.31.985 W005.58.25.559 ; Radial 305
NIMAT-ROTEV Buffer         N054.01.31.985 W005.58.25.559 N054.01.44.430 W005.58.09.334 ; Radial 310
NIMAT-ROTEV Buffer         N054.01.44.430 W005.58.09.334 N054.01.55.996 W005.57.51.322 ; Radial 315
NIMAT-ROTEV Buffer         N054.01.55.996 W005.57.51.322 N054.02.06.595 W005.57.31.659 ; Radial 320
NIMAT-ROTEV Buffer         N054.02.06.595 W005.57.31.659 N054.02.16.146 W005.57.10.495 ; Radial 325
NIMAT-ROTEV Buffer         N054.02.16.146 W005.57.10.495 N054.02.24.577 W005.56.47.992 ; Radial 330
NIMAT-ROTEV Buffer         N054.02.24.577 W005.56.47.992 N054.02.31.823 W005.56.24.321 ; Radial 335
NIMAT-ROTEV Buffer         N054.02.31.823 W005.56.24.321 N054.02.37.828 W005.55.59.662 ; Radial 340
NIMAT-ROTEV Buffer         N054.02.37.828 W005.55.59.662 N054.02.42.547 W005.55.34.204 ; Radial 345
NIMAT-ROTEV Buffer         N054.02.42.547 W005.55.34.204 N054.02.45.943 W005.55.08.142 ; Radial 350
NIMAT-ROTEV Buffer         N054.02.45.943 W005.55.08.142 N054.02.47.992 W005.54.41.673 ; Radial 355
NIMAT-ROTEV Buffer         N054.02.47.992 W005.54.41.673 N054.02.49.000 W005.54.15.000
