AGANO N049.39.54.000 W002.00.00.000
ANGLA N049.42.14.000 W002.01.15.000
ANGLO N049.55.42.000 W000.27.18.000
BENIX N049.32.48.000 W001.29.24.000
BEVAV N049.04.01.000 W001.41.26.000
BRILL N049.42.09.000 W002.23.23.000
CHUBB N049.25.54.000 W002.48.30.000
DIKRO N049.35.05.000 W001.06.39.000
EVKEX N049.42.12.000 W002.35.30.000
GULDA N049.23.07.000 W001.55.03.000
KOKOS N048.54.25.000 W001.40.34.000
LERAK N049.01.08.000 W002.24.31.000
LUSIT N049.12.53.000 W001.47.44.000
MINQI N049.02.00.000 W002.03.25.000
ORMER N049.36.04.000 W002.51.29.000
ORVAL N049.02.02.000 W001.49.31.000
OYSTA N049.06.00.000 W002.31.24.000
PERCH N049.07.45.000 W001.56.14.000
VAXMA N049.28.37.000 W002.13.32.000
SENLO N049.05.00.000 W001.10.42.000
SHARK N049.11.23.000 W002.25.46.000
TUNIT N049.22.53.000 W003.00.00.000
UPLIS N049.47.13.550 W002.00.59.260
