35DME N053.25.37.280 W001.05.06.360
D023H N53.51.44.21 W2.1.55.17
D055B N053.22.37.080 W002.13.03.590
D057K N53.50.19.80 W1.52.57.69
D059G N051.56.35.080 W000.11.51.530
D097A N052.49.46.580 W001.16.02.920
D113L N051.15.21.080 E000.19.48.360
D137I N051.37.31.320 W003.06.08.240
D253B N051.28.36.230 W000.31.01.020
D255O N053.17.00.160 W002.39.38.180
D260E N051.58.21.610 W000.04.11.900
D268L N053.19.15.580 W003.04.14.360
D318Z N052.29.25.460 W001.36.22.450
DET32 N051.19.05.080 W000.15.08.570
NETVU N050.24.45.000 E000.28.54.000
TNT30 N052.33.21.170 W001.36.46.170
