05ADM N053.27.22.520 W001.00.51.400
05DME N053.29.39.390 W000.59.37.900
15DMA N053.30.39.210 W000.59.42.990
15DME N053.26.29.140 W001.01.37.830
25DME N053.25.23.370 W001.01.17.360
35DME N053.25.37.280 W001.05.06.360
BCN30 N051.27.05.950 W002.35.33.800
BHD52 N051.15.10.000 W003.19.35.780
BHD55 N051.18.00.230 W003.14.24.480
BHD57 N051.20.46.360 W003.24.52.000
BIG27 N051.43.01.340 W000.20.01.740
BNN32 N051.36.12.160 E000.17.01.460
CLN21 N051.50.16.580 E000.35.00.640
CLN27 N051.39.24.140 E000.29.33.700
CLN28 N051.49.10.400 E000.23.48.280
CLN34 N051.36.23.020 E000.19.25.730
CLN38 N051.34.39.130 E000.13.38.920
D003E N051.48.03.010 W000.32.28.780
D007D N051.47.57.130 W000.31.59.490
D007J N056.02.36.930 W004.24.47.590
D008E N051.47.55.950 W000.32.07.260
D009R N051.36.02.240 W000.22.06.650
D015K N053.27.32.600 W000.52.22.670
D015R N053.34.12.960 W000.50.18.490
D017E N053.21.43.130 W000.54.44.540
D020N N051.32.35.870 E000.09.07.710
D024I N051.46.54.310 E000.15.13.590
D025M N055.41.47.760 W003.11.49.550
D026O N051.16.41.720 W000.27.01.700
D026R N051.19.23.110 W000.24.55.310
D026T N051.21.10.680 W000.23.30.910
D027S N051.20.27.790 W000.24.50.340
D031G N051.49.29.760 W000.27.00.380
D032G N051.49.33.590 W000.27.10.450
D033T N056.09.10.120 W004.07.53.640
D037G N051.48.48.210 W000.26.23.040
D038E N052.54.27.120 W001.13.52.840
D038G N051.48.45.600 W000.26.40.290
D039S N052.36.19.560 W001.20.38.210
D039Y N052.41.01.700 W001.14.31.960
D041B N051.19.47.220 W000.24.41.840
D044A N051.54.24.260 E000.16.03.530
D044B N051.55.08.070 E000.17.09.710
D045A N051.54.15.490 E000.15.50.300
D045K N051.37.17.620 W001.00.46.120
D046A N053.22.16.440 W002.14.19.790
D046G N056.02.26.790 W003.12.46.320
D047Y N056.09.23.620 W003.54.24.940
D048I N055.58.17.400 W004.14.56.150
D048O N056.02.27.670 W004.07.15.770
D050C N055.59.28.550 W003.17.34.000
D051G N053.25.48.840 W002.06.38.560
D051L N053.28.56.670 W002.00.07.640
D052J N053.50.53.820 W001.53.04.690
D052K N053.51.31.370 W001.51.45.740
D052L N053.52.08.900 W001.50.26.760
D057A N053.22.06.840 W002.14.06.170
D058H N051.56.31.410 W000.11.46.450
D059G N051.56.35.080 W000.11.51.530
D065A N055.57.34.840 W003.20.36.990
D068T N051.04.44.210 W000.51.17.940
D070J N051.32.28.210 W000.12.50.880
D073C N051.53.21.150 W000.17.11.170
D073D N051.53.27.730 W000.16.33.910
D073E N051.53.42.510 W000.15.10.070
D074B N051.09.39.360 W000.06.25.770
D074C N051.09.45.550 W000.05.39.090
