ABBEW N050.30.11.880 W003.28.33.640
ABBOT N052.00.58.000 E000.35.58.490
ABEDA N052.19.39.630 E001.52.15.840
ABEVI N054.42.27.000 W002.46.29.240
ABGEP N053.25.39.320 W004.51.39.710
ABKAT N054.08.53.120 W001.58.46.690
ABKIM N050.50.43.000 W001.58.58.000
ABLIN N052.46.57.860 W004.59.33.380
ABSAV N050.38.28.940 W001.10.29.050
ABSUN N054.17.32.200 W006.15.17.740
ABTOS N053.14.44.920 E000.25.36.290
ABTUM N051.26.03.660 E001.22.28.980
ABWIV N051.52.48.670 W003.00.32.700
ACBAZ N051.44.40.670 W003.02.14.790
ACCAQ N051.51.52.620 W003.50.35.630
ACCOP N051.55.44.330 W003.22.57.070
ADASI N059.13.15.160 W006.17.31.470
ADELU N053.26.30.480 W001.32.12.640
ADGEG N053.13.43.000 E002.19.06.000
ADHAV N051.54.52.880 W005.13.48.510
ADKIK N050.47.48.520 W002.32.45.460
ADLOG N050.19.25.000 W000.49.33.400
ADMEX N052.21.39.200 W001.27.44.810
ADMIS N051.59.48.540 E000.10.35.560
ADNAM N052.06.16.980 E000.44.18.840
ADODO N058.30.00.000 W010.00.00.000
ADRUD N049.10.14.000 W006.26.55.000
ADVAS N051.40.53.030 E001.26.33.130
ADVAT N045.00.00.000 W009.28.11.190
AGBOS N051.50.14.720 W003.37.56.190
AGCAT N051.51.28.740 W004.44.54.820
AGLIL N053.34.41.990 W003.27.11.300
AGORI N057.00.00.000 W013.00.00.000
AGPED N055.07.18.900 W001.56.57.150
AKIVO N059.57.51.580 W009.30.00.000
AKOKO N053.14.16.240 E003.12.07.030
AKUPA N052.29.11.570 W001.05.28.030
ALASO N055.26.50.230 W001.33.53.690
ALAVA N053.23.42.600 W003.58.17.310
ALESO N050.34.32.240 E001.13.31.500
ALHAD N051.23.46.750 W001.08.58.160
ALHUP N052.42.44.240 W002.56.28.150
ALOTI N057.54.27.010 E003.36.30.270
ALUTA N049.00.18.650 W007.29.53.230
AMCON N055.34.31.140 W006.38.37.460
AMDUT N050.40.27.900 E000.47.46.380
AMFUL N051.28.44.400 W003.37.21.360
AMLAD N056.15.52.370 W010.00.00.000
AMLET N053.16.06.520 W001.50.17.590
AMMAN N051.50.25.950 W003.59.54.000
AMPIT N053.11.39.410 W003.11.32.590
AMPOP N049.31.47.680 W006.09.02.850
AMTAP N058.22.25.360 W009.30.00.000
AMTOD N050.32.15.690 W001.25.44.460
AMVEL N053.11.02.960 W000.01.55.160
AMWAB N051.46.08.520 W004.01.36.690
ANJAK N052.53.50.170 W002.59.33.440
ANNET N049.39.05.110 W004.00.05.000
APPLE N054.30.00.000 W002.30.50.230
APSOV N055.49.22.840 W010.00.00.000
ARKIL N050.39.28.000 W008.00.00.000
ARNUN N051.03.25.980 E000.55.52.980
ARPAK N051.48.44.640 W003.19.05.480
ARPUB N053.35.34.000 W001.14.28.000
ARREK N051.36.43.040 E001.50.07.270
ARSAT N054.32.06.190 W001.44.18.630
ARTEX N056.53.41.370 E003.57.38.470
ARTIX N053.23.42.080 W001.02.08.720
ASHUM N051.36.07.250 W001.53.36.460
ASKAM N054.57.47.340 E003.13.49.910
ASLIB N054.49.27.550 W003.03.39.350
ASMIM N053.26.45.750 W002.39.10.710
ASNIP N053.28.43.090 W002.54.25.970
ASNUD N056.41.39.000 W003.03.20.350
ASRUS N055.03.21.000 W003.20.45.000
ATHAS N052.36.44.930 W002.45.28.050
ATNAK N057.00.00.000 E005.00.00.000
ATSAP N051.27.15.960 E001.30.16.980
ATSIX N060.00.00.000 W010.00.00.000
ATSUR N050.00.00.000 W014.00.00.000
AVANT N050.49.12.000 W000.56.18.050
AVRAL N055.30.34.000 E003.42.59.000
AVTIC N052.43.04.810 W003.07.57.930
AVZAC N051.46.37.020 W005.03.55.570
AXCIS N052.43.19.480 W003.16.34.760
AXNEF N051.45.05.230 W003.53.19.140
AZCAL N051.54.17.030 W003.11.44.520
BABGU N054.16.39.330 W005.16.25.070
BABRA N053.37.39.370 W003.56.42.630
BADGA N055.37.49.240 E002.36.57.620
BADIM N051.38.37.890 W002.30.40.430
BADSI N052.39.30.000 W004.46.17.120
BAGIT N053.13.44.630 W003.59.18.180
BAGSO N053.40.47.960 W005.30.00.000
BAJJA N051.48.05.010 W004.17.05.770
BAKOX N053.31.43.400 W005.09.33.030
BAKUR N052.14.29.610 W005.40.48.810
BALID N056.29.49.160 W001.57.06.880
BALIX N059.00.00.000 W010.00.00.000
BAMEP N053.52.42.000 W002.16.09.000
BAMLI N054.08.28.000 W006.39.04.000
BAMRA N059.26.00.280 W003.57.09.800
BANBA N051.57.10.100 W006.14.20.590
BANEM N052.20.08.110 E001.30.19.260
BANTO N052.21.27.650 W000.13.57.380
BANVA N050.32.42.000 E000.45.12.000
BAPHU N051.10.42.470 W003.44.42.580
BARKU N060.36.17.610 W009.24.36.370
BARMI N052.28.41.760 E002.34.13.730
BAROS N053.24.22.390 W003.26.43.380
BARTN N053.28.14.170 W002.25.41.110
BATLI N053.38.45.070 W001.21.36.900
BAVDO N054.18.19.730 W001.09.25.350
BAVUD N053.31.08.300 W004.51.09.140
BEBNI N054.59.05.820 W003.35.14.220
BEDFO N052.13.30.000 W000.33.47.810
BEDRA N049.00.00.000 W015.00.00.000
BEGAM N054.09.24.840 W002.07.15.430
BEGAS N045.00.00.000 W009.00.00.000
BEGID N056.30.00.000 W014.00.00.000
BEGTO N050.45.45.120 W001.14.07.990
