ABLIX N050.26.52.000 E004.10.23.000
ADIXO N050.34.53.000 E005.02.20.000
ADUSU N049.57.22.000 E006.11.46.000
AGENI N050.45.00.000 E006.02.00.000
AKOVI N050.44.50.000 E003.43.07.000
ALFAS N050.52.07.000 E003.21.23.000
AMMOF N051.18.55.000 E004.17.52.000
AMPUM N049.32.27.000 E005.48.48.000
ARCKY N050.17.57.000 E006.07.56.000
ARPUR N051.11.32.000 E004.05.05.000
ARVUG N049.55.22.000 E006.13.45.000
ASDAK N050.36.08.000 E006.15.07.000
ASMOX N049.54.10.000 E006.16.34.000
ASPIX N050.29.07.000 E005.25.00.000
AUZON N051.09.15.000 E002.34.17.000
BARTU N051.00.11.000 E004.10.18.000
BATTY N050.38.57.000 E005.50.56.000
BEKEM N051.25.56.000 E004.34.49.000
BETEX N049.48.57.000 E006.25.31.000
BEVRI N051.15.22.000 E004.10.11.000
BIBOS N050.28.38.000 E004.16.25.000
BITBU N049.58.59.000 E006.33.42.000
BREDI N049.31.20.000 E006.17.30.000
BROGY N051.10.57.000 E005.26.56.000
BUGIB N050.22.02.000 E006.21.58.000
BULAM N051.21.09.000 E002.45.01.000
BULUX N050.35.34.000 E005.15.05.000
BUPAL N050.43.23.000 E004.36.04.000
BURUS N050.42.52.000 E004.25.15.000
DEMUL N049.57.47.000 E005.58.43.000
DENOX N050.52.46.000 E004.01.40.000
DENOV N050.38.12.000 E006.12.26.000
DENUT N051.14.10.000 E003.39.27.000
DIBLI N051.24.43.000 E002.15.45.000
DIKBO N050.58.49.000 E004.52.34.000
ELSIK N051.11.42.000 E004.59.55.000
ERIGO N050.50.17.000 E005.30.22.000
ETENO N050.10.55.000 E006.11.30.000
EVSEN N050.24.51.000 E005.18.32.000
EXCOS N049.34.20.000 E006.28.14.000
FERDI N050.54.45.000 E003.38.13.000
FEWUZ N050.04.05.000 E006.07.26.000
GEBKI N049.32.46.000 E005.27.04.000
GESLO N050.04.45.000 E006.00.18.000
GIGAD N050.51.42.000 E002.57.31.000
GIKLI N050.42.07.000 E005.44.02.000
GIKNU N050.57.38.000 E004.47.24.000
GILOM N050.45.07.000 E004.46.27.000
GIREL N050.15.14.000 E005.32.29.000
GIRVI N050.46.44.000 E003.03.56.000
GOBNO N050.58.56.000 E005.59.23.000
GOLEX N050.56.43.000 E003.36.57.000
GOPAS N049.57.59.000 E006.04.11.000
GUGNO N050.28.21.000 E004.48.42.000
HELEN N051.14.07.000 E003.52.11.000
IBESA N050.29.39.000 E006.19.58.000
IDOSA N049.44.30.000 E005.52.11.000
IKIFE N050.46.50.000 E002.59.18.000
IMVIX N050.22.21.000 E006.17.06.000
INRAB N051.06.14.000 E004.41.15.000
IPLAN N050.46.57.000 E005.25.01.000
IRTON N049.33.00.000 E005.33.00.000
JAZFI N051.05.44.000 E004.02.06.000
KEGIT N051.24.25.000 E003.06.24.000
KERKY N050.55.37.000 E003.59.33.000
KOGES N050.34.12.000 E006.12.02.000
KOMOB N050.08.38.000 E005.22.25.000
KONAN N051.07.51.000 E002.00.00.000
LAREP N050.26.34.000 E005.47.39.000
LAVTO N050.45.47.000 E005.38.22.000
LEBVU N050.54.19.000 E004.19.34.000
LENDO N050.37.31.000 E006.16.43.000
LERVO N050.49.59.000 E004.09.31.000
LIBVA N050.45.42.000 E005.38.30.000
LITPO N050.36.05.000 E005.09.58.000
LOLGI N050.39.46.000 E005.09.13.000
LIRSU N050.11.12.000 E006.27.12.000
LUMEN N051.16.10.000 E003.24.24.000
LUTOM N051.15.56.000 E005.25.16.000
MADUX N051.13.36.000 E002.24.27.000
MAGIP N050.45.12.000 E002.48.20.000
MAKIK N049.58.12.000 E006.10.02.000
MAKOB N050.37.26.000 E004.25.49.000
MAPAD N050.49.46.000 E006.01.09.000
MAPIG N049.26.53.000 E007.02.22.000
MAPUP N050.29.05.000 E005.11.56.000
MATUG N050.25.00.000 E006.22.11.000
MINLU N050.47.45.000 E003.05.27.000
MIRZO N050.54.28.000 E003.28.21.000
MOKOM N049.58.43.000 E006.09.59.000
MOSET N049.32.47.000 E006.20.39.000
NAVAK N050.49.39.000 E005.55.05.000
NAXOD N051.01.01.000 E004.51.54.000
NEPIV N050.28.05.000 E005.23.35.000
NISIV N049.53.34.000 E006.14.35.000
NIVOR N050.41.38.000 E004.17.27.000
NOYON N051.14.43.000 E003.10.38.000
OKLUP N051.05.25.000 E004.42.53.000
OLBUS N050.36.11.000 E003.22.06.000
OLIVI N049.46.42.000 E007.36.20.000
OLPUN N050.39.18.000 E005.39.33.000
ORVOS N049.30.24.000 E005.29.56.000
OSLID N050.30.20.000 E003.24.07.000
OSTAT N050.33.12.000 E005.05.29.000
OSVAM N050.26.17.000 E004.41.35.000
OXCAM N049.49.54.000 E006.30.18.000
OXUBA N050.47.17.000 E002.44.05.000
PABLI N050.35.47.000 E004.55.43.000
PELIX N050.29.49.000 E005.45.45.000
PESOV N050.22.39.000 E006.20.54.000
PETAN N049.33.10.000 E005.52.38.000
PINUS N050.45.47.000 E005.51.45.000
PITES N049.43.43.000 E006.31.10.000
PODAT N050.41.45.000 E006.08.11.000
PODEN N050.41.21.000 E006.08.25.000
PONIG N049.45.36.000 E006.34.10.000
PUTTY N051.21.57.000 E004.20.15.000
RAPIX N051.26.35.000 E002.00.00.000
RASCA N050.08.45.000 E004.52.52.000
REKPI N050.23.25.000 E004.12.51.000
REMBA N050.39.44.000 E004.54.51.000
RERTI N050.50.36.000 E005.30.50.000
