ABADO N045.39.21.000 E005.17.35.000
ABADU N046.54.10.800 W002.27.12.100
ABAMU N049.23.49.900 W000.15.29.300
ABARI N047.24.59.000 E006.56.33.000
ABDOS N047.39.57.000 E002.31.47.000
ABIXI N046.31.54.300 W002.19.55.200
ABLAN N047.18.49.000 W001.25.25.000
ABNUR N050.10.17.000 E001.51.30.700
ABOBO N048.30.34.600 E002.11.29.500
ABORO N048.31.26.900 E002.24.54.300
ABOTI N048.26.58.300 W001.54.13.800
ABRET N045.28.29.900 E005.30.03.100
ABROM N050.29.30.900 E002.29.25.300
ABSEG N048.15.38.700 E003.52.33.900
ABSIE N046.35.00.000 W000.27.30.000
ABSIS N049.32.31.200 E001.32.42.700
ABUDA N050.06.59.000 E001.45.27.100
ABULO N045.34.27.000 E006.59.42.000
ADABI N046.33.40.000 E000.31.51.000
ADADA N048.17.42.000 E002.00.13.000
ADATI N048.03.11.200 E002.28.27.700
ADATU N045.32.14.000 E002.49.32.000
ADEKA N045.56.29.700 E003.10.48.300
ADIDI N048.43.17.100 W002.06.02.700
ADILU N046.07.27.000 W000.50.22.000
ADNOR N050.01.02.100 E002.24.22.500
ADOGA N048.01.08.000 E007.26.57.000
ADSET N047.24.21.000 W003.07.03.000
ADSUD N049.52.55.900 E002.27.35.000
ADUTO N050.30.54.000 E003.21.42.000
AGLAX N049.57.24.700 E002.26.59.200
AGOPA N048.05.00.000 E002.00.35.000
AGOTU N047.47.23.000 W002.04.14.000
AGREV N045.03.51.000 E004.19.02.700
AHVEC N048.49.19.200 E002.44.44.900
AKELU N049.22.01.000 E006.27.50.000
AKEMO N047.08.21.000 W003.00.00.000
AKIKI N049.35.29.000 W001.25.00.000
AKITO N047.12.48.000 E006.38.55.500
AKONO N047.42.56.300 E004.35.22.200
ALARO N047.29.47.200 E004.44.56.500
ALIMO N048.42.57.000 E003.55.56.000
ALTIK N047.38.58.700 E007.07.50.300
ALURA N046.30.00.000 E004.57.09.700
AMAXA N049.46.28.200 E002.41.50.800
AMCAK N048.44.36.000 E005.04.48.000
AMDAS N045.40.54.400 E003.44.34.700
AMIKO N045.07.41.000 E004.28.59.400
AMKEN N046.10.57.200 E005.22.46.200
AMODO N048.25.10.000 E002.58.49.000
AMONI N045.04.02.000 E004.49.57.000
AMOPO N048.46.25.900 W003.13.56.400
AMORO N046.30.00.000 E004.32.17.000
AMPUM N049.32.26.600 E005.48.48.100
AMUGU N049.04.50.700 W002.03.21.800
AMUVA N046.02.27.000 W003.18.33.000
AMVAR N045.19.50.000 E005.56.14.000
ANDLO N048.23.45.500 E007.22.59.600
ANIGU N047.32.11.000 W000.31.53.000
ANLEV N048.41.37.000 W003.03.00.000
ARBON N045.16.59.800 E004.53.24.600
ARBOS N046.59.03.000 E006.01.35.000
ARDEN N049.51.43.000 E004.51.28.000
ARDOD N047.43.53.000 W000.54.21.000
ARDOL N046.45.05.000 E004.38.15.000
ARFOZ N046.46.58.000 E005.05.42.000
ARGED N048.55.47.000 W000.15.00.000
ARGIS N045.58.16.000 E005.35.57.000
ARKIP N047.38.00.000 E002.02.11.000
ARKOX N045.26.24.000 E005.18.27.000
ARLOP N046.16.26.000 E004.09.23.000
ARLOR N048.37.38.400 W002.37.54.100
ARMAL N047.20.27.000 E002.03.11.000
ARMAX N045.01.42.900 E001.44.42.100
ARNAV N047.12.24.000 E001.47.25.000
ARNEV N047.56.57.100 W000.29.31.400
ARNOT N047.24.08.000 E006.55.12.000
ARPIL N045.41.09.700 E000.41.52.300
ARPOB N045.55.44.600 E005.03.49.200
ARPUS N047.40.21.300 E006.39.56.800
ARSAF N049.21.02.600 E002.08.03.000
ARSIL N048.33.36.000 E004.03.42.000
