AGINI N053.09.19.900 W008.34.46.100
AKIGO N053.50.30.000 W007.56.05.000
BUNED N052.37.21.900 W006.37.48.200
BUNON N052.22.29.700 W009.32.36.800
DIGAN N052.56.12.800 W008.11.51.300
EDONO N053.59.27.400 W007.42.21.600
ELTIG N051.45.13.300 W007.50.06.000
ERABI N053.00.53.500 W009.34.03.300
ERTER N051.33.43.300 W008.03.36.800
GAKBO N053.48.38.600 W008.12.43.800
GOTEM N051.49.26.000 W007.49.12.100
INDAP N054.08.38.200 W008.01.58.500
KURUM N052.13.43.100 W008.39.52.500
LUPOR N052.32.31.600 W009.42.07.300
MOMIN N053.06.48.200 W009.23.33.600
OLAPO N053.46.49.000 W007.17.40.600
ORTOM N051.16.14.900 W008.17.57.700
OSGAR N053.02.57.900 W007.16.12.800
RIKUL N053.03.27.800 W008.20.44.800
SOVIX N051.25.39.100 W008.33.45.600
SUTEX N052.49.27.700 W006.55.49.300
TIPUR N052.35.21.000 W008.07.30.600
TISMO N052.08.04.800 W008.00.47.400
UNBEG N052.48.18.400 W009.43.47.800
VAPAL N051.52.43.100 W007.49.18.300
