AC    325.000 N055.48.50.840 W004.32.33.890
ALD   383.000 N049.42.31.961 W002.11.58.920 ; Alderney
AMB   341.000 N047.25.05.400 E001.02.27.600 ; Amboise
AOS   377.000 N057.16.06.600 W002.14.49.200
ATF   348.000 N057.04.39.050 W002.06.20.520 ; Aberdeen/Dyce
BAE   325.000 N053.28.09.000 W002.23.19.000
BBA   401.000 N057.28.34.250 W007.22.09.310
;Belgium, verified 2012/01
BFD   390.000 N057.15.12.000 W005.49.28.200
BHX   406.000 N052.27.16.369 W001.45.08.590 ; Birmingham
BIA   339.000 N050.46.39.619 W001.50.32.950 ; Bournemouth
BLK   328.000 N051.19.23.840 W000.50.41.258 ; Blackbushe
BOU   391.500 N052.12.40.090 W000.02.41.770 ; Bourn
BPL   318.000 N053.46.22.360 W003.01.40.260 ; Blackpool
BRI   414.000 N051.22.53.191 W002.43.03.158 ; Bristol
BRR   316.000 N057.01.32.260 W007.26.56.140
BUR   421.000 N051.31.08.440 W000.40.38.890 ; Burnham
BV    372.000 N053.43.31.370 W000.34.53.340
BZ    386.000 N051.44.57.239 W001.36.05.821 ; Brize Norton
CAM   332.500 N052.12.38.570 E000.10.59.010 ; Cambridge
CBN   374.000 N055.58.32.000 W003.58.29.000
CDF   388.500 N051.23.36.160 W003.20.16.450 ; Cardiff
CFN   361.000 N055.02.38.400 W008.20.21.400 ; Donegal
CHT   277.000 N051.37.23.310 W000.31.06.880 ; Chiltern
CIT   850.000 N052.07.48.560 W000.33.24.770 ; Cranfield
CL    328.000 N054.56.25.040 W002.48.19.670
CML   387.000 N052.27.13.500 W007.28.48.200 ; Clonmel
CNL   404.000 N056.27.49.800 W005.23.37.200
COM   349.500 N050.57.58.331 W002.09.18.601 ; Compton Abbas
CRN   321.000 N053.18.03.900 W008.56.30.300 ; Galway
CWL   423.000 N053.01.34.800 W000.29.20.400
DH    342.500 N052.40.27.000 E001.09.43.800
DIK   307.000 N049.51.41.000 E006.07.47.000 ; Diekirch
DND   394.000 N056.27.18.241 W003.06.53.730 ; Dundee
;downgraded to AD NDBs AIRAC 5/2011
EAS   391.500 N050.57.18.101 W001.21.22.032 ; Eastleigh
EDN   341.000 N055.58.42.240 W003.17.02.839 ; Edinburgh
EGT   328.500 N055.02.43.850 W007.09.18.050
;EGUN NDB
EHN   397.000 N051.28.04.270 E005.23.41.500 ; Eindhoven
EKN   357.500 N054.23.39.270 W007.38.36.120
ELU   368.500 N049.40.48.000 E006.21.18.000 ; Luxembourg
EME   353.500 N052.49.57.630 W001.11.40.400 ; East Midlands
EMW   393.000 N052.49.43.150 W001.27.15.950 ; East Midlands
ENS   352.000 N052.54.18.600 W008.55.40.000 ; Ennis
EPM   316.000 N051.19.10.440 W000.22.19.120 ; Epsom
EX    337.000 N050.45.07.750 W003.17.42.170 ; Exeter
FNL   401.000 N052.44.30.000 W000.01.39.000
FNY   338.000 N053.28.29.359 W001.00.06.210 ; Doncaster
FOS   348.000 N051.20.50.680 W000.33.55.541 ; Fairoaks
FOY   395.000 N052.33.58.200 W009.11.40.200
;France
GAR   407.000 N053.31.43.200 W006.26.51.000
GE    338.000 N051.09.51.980 W000.04.08.879 ; Gatwick
GLG   350.000 N055.55.27.740 W004.20.09.890
GLW   331.000 N055.52.11.168 W004.26.01.072 ; Glasgow
GM    371.000 N052.23.32.400 W001.40.43.800
GMN   334.000 N053.38.53.200 W006.13.36.000 ; Gormonston
GO    402.000 N056.10.57.000 W003.13.12.000
GST   331.000 N051.53.31.049 W002.10.04.451 ; Gloucestershire
GY    365.000 N051.07.50.351 W000.18.57.442 ; Gatwick
HAV   328.000 N051.49.56.000 W004.58.06.000
HAW   340.000 N053.10.45.000 W002.58.46.330
HB    420.000 N054.36.55.790 W005.52.55.000
HBR   350.500 N053.38.43.800 W000.17.55.200
HEN   433.500 N051.45.35.000 W000.47.25.000 ; Henton
HG    356.000 N052.31.03.000 W002.15.40.800
HRW   424.000 N051.28.43.990 W000.27.33.960
ING   387.000 N050.52.59.400 E001.44.30.500 ; Saint Inglevert
IOF   357.000 N058.49.48.000 W003.08.36.000
;Ireland, verified 2012/01
