CC001 N53.19.34.99 W2.19.48.99
CC002 N53.19.21.00 W2.21.19.99
CC003 N53.19.54.00 W2.22.25.99
CC004 N53.22.57.99 W2.12.52.99
CC005 N53.23.45.99 W2.12.34.99
CC006 N53.24.29.99 W2.13.09.00
CC007 N53.22.47.05 W2.13.17.02
CC008 N53.25.02.82 W2.13.51.18
CC009 N53.28.04.48 W2.24.51.39
CC010 N53.28.08.51 W2.25.48.21
CC011 N53.19.17.04 W2.19.42.53
CC012 N53.22.59.99 W2.12.42.00
CC013 N53.21.00.00 W2.10.05.99
CC014 N53.19.38.46 W2.19.45.90
CC015 N53.11.48.00 W2.11.24.00
CC016 N53.19.20.61 W2.23.19.39
CC018 N53.19.52.32 W2.23.08.62
CC020 N53.24.00.00 W2.9.47.99
CC021 N53.29.06.00 W2.0.18.00
CC022 N53.30.24.00 W1.57.42.00
CC023 N53.31.18.00 W1.55.54.00
CC040 N53.18.11.99 W2.22.05.99
CC041 N53.19.54.00 W2.19.05.99
CC042 N53.18.24.00 W2.22.12.00
CC043 N53.24.29.99 W2.26.12.00
CC046 N53.29.30.00 W2.13.36.00
CC051 N53.20.24.00 W2.18.00.00
CC052 N53.19.18.00 W2.20.24.00
CC053 N53.19.18.00 W2.23.17.99
CC054 N53.19.18.00 W2.29.42.00
CC071 N53.19.30.00 W2.19.18.00
CC072 N53.19.21.96 W2.19.49.98
CC073 N53.19.05.99 W2.23.06.00
CC074 N53.19.48.00 W2.30.11.99
CC142 N53.19.02.71 W2.21.41.49
CC143 N53.19.06.99 W2.23.08.22
CC145 N53.19.21.00 W2.21.07.63
CC150 N53.20.04.92 W2.22.45.94
CC152 N53.22.31.27 W2.11.37.45
CC153 N53.20.49.02 W2.10.09.14
CCE98 N53.26.42.00 W2.5.12.00
CCS06 N53.11.35.99 W2.18.47.99
CCW08 N53.27.06.00 W2.26.53.99
CCW12 N53.17.12.00 W2.38.12.00
CCW91 N53.15.47.99 W2.27.42.00
