C23LF N53.27.13.86 W2.3.27.24
C23LI N53.29.06.33 W1.59.32.17
CD02 N50.51.04.02 W1.25.48.03
CD05 N57.25.25.15 W4.20.19.11
CD05L N53.15.04.83 W2.30.52.69
CD05R N53.14.38.13 W2.28.38.98
CD06 N57.28.23.26 W4.12.54.82
CD07 N54.57.48.16 W1.56.02.10
CD09 N49.11.27.75 W2.22.24.82
CD13 N58.32.00.78 W3.16.15.48
CD16 N57.22.24.53 W2.18.24.15
CD17 N54.46.38.39 W6.17.28.99
CD20 N51.4.15.49 W1.19.20.03
CD23 N57.39.14.49 W3.49.57.57
CD23L N53.26.27.89 W2.5.21.81
CD23R N53.30.01.33 W2.1.08.49
CD24 N57.37.07.61 W3.54.10.72
CD25 N55.5.33.84 W1.27.07.02
CD26 N58.28.29.20 W2.50.53.43
CD27 N49.13.40.59 W1.58.13.96
CD31 N58.23.55.25 W2.54.36.75
CD35 N54.31.56.89 W6.10.14.29
CF05 N55.45.28.89 W4.38.09.99
CF08R N51.6.57.08 W0.25.46.05
CF09 N49.11.42.06 W2.20.49.08
CF09L N51.28.37.40 W0.41.05.01
CF09R N51.27.48.30 W0.40.50.89
CF12 N51.26.42.46 W3.29.54.96
CF13 N55.34.07.96 W4.46.00.81
CF15 N52.33.36.00 W1.51.57.99
CF16 N54.28.07.63 W1.40.10.44
CF17 N54.45.10.32 W6.16.55.62
CF21 N53.41.30.69 W0.16.10.69
CF22 N54.44.53.13 W5.43.02.46
CF23 N54.36.23.64 W1.14.51.93
CF23R N53.29.11.77 W1.59.55.30
CF25 N54.42.37.27 W6.1.07.96
CF26 N54.6.19.45 W4.26.47.26
CF27 N52.50.00.12 W1.9.51.58
CF27L N51.27.53.28 W0.14.01.65
CF27R N51.28.36.85 W0.14.05.98
CF28 N53.45.42.19 W2.50.43.39
CF30 N51.19.57.45 W3.8.23.91
CF33 N52.21.52.99 W1.38.52.99
CI02 N53.18.14.13 W1.5.43.15
CI05 N57.24.49.41 W4.19.32.65
CI05L N53.14.33.90 W2.30.13.48
CI05R N53.16.50.31 W2.24.59.62
CI07 N54.59.30.43 W1.51.42.54
CI08 N50.45.30.66 W1.58.03.29
CI09 N53.19.17.94 W3.6.16.11
CI14 N53.56.36.54 W1.46.54.59
CI16 N57.19.03.87 W2.16.58.86
CI20 N53.39.18.00 W0.54.29.99
CI23 N57.38.46.50 W3.49.15.53
CI24 N51.38.30.45 E0.50.59.37
CI25 N55.4.44.65 W1.32.10.47
CI26 N57.42.09.01 W3.15.20.53
CI26L N51.10.11.84 W0.1.50.22
CI27 N53.20.32.02 W2.40.08.64
CI28 N51.18.26.22 E1.37.54.24
CI30 N50.22.38.28 W4.49.39.10
CI31 N55.25.23.90 W4.20.49.13
CI32 N53.46.28.63 W1.31.06.98
CL04 N54.27.41.60 W6.3.42.90
CL10 N51.22.42.24 E1.3.39.17
CN05 N54.26.28.93 W1.33.35.65
CN07 N54.58.17.82 W1.56.29.85
CN09 N52.49.32.55 W1.34.21.19
CN23 N54.34.41.79 W1.17.58.49
CN24R N53.28.13.81 W2.3.59.91
CN25 N55.5.55.99 W1.27.21.39
CN27 N52.50.06.83 W1.4.54.81
CQ03 N53.28.22.33 W0.25.14.14
CQ04 N54.27.06.21 W6.2.06.90
CQ05 N55.45.25.89 W4.39.39.49
CQ05L N53.14.48.00 W2.30.31.99
CQ06 N55.51.59.19 W3.36.41.74
CQ07 N54.59.06.54 W1.53.15.40
CQ08 N50.44.49.69 W2.2.39.36
CQ08R N51.6.50.85 W0.26.05.29
CQ09 N58.57.07.22 W3.11.02.19
CQ10 N56.27.37.38 W3.16.37.94
CQ12 N51.27.53.93 W3.32.31.87
CQ13 N58.32.25.98 W3.18.03.67
CQ14 N53.57.40.20 W1.49.55.50
CQ15 N52.35.42.46 W1.52.34.21
CQ18 N58.19.55.29 W6.21.08.52
CQ21 N55.36.51.77 W4.28.29.75
CQ22 N54.44.42.96 W5.42.35.62
CQ23 N56.1.17.29 W4.10.11.10
CQ24 N56.0.24.10 W3.11.58.84
CQ25 N55.4.38.61 W1.32.30.45
CQ26 N50.49.07.57 W1.38.28.42
CQ27 N58.57.55.74 W2.37.56.08
CQ28 N51.18.34.24 E1.37.56.66
CQ30 N51.19.54.72 W3.8.20.13
CQ31 N58.23.25.41 W2.55.14.59
CQ32 N53.44.18.17 W1.30.18.06
CQ33 N52.21.30.57 W1.37.15.57
CQ34 N57.0.57.12 W2.3.34.27
CQ36 N58.6.23.59 W6.18.26.82
FD02 N50.52.49.59 W1.24.11.40
FD05 N57.27.17.19 W4.15.44.44
FD05L N53.15.53.41 W2.28.58.56
FD05R N53.16.41.04 W2.24.46.54
FD06 N57.29.34.65 W4.9.56.17
FD07 N54.59.15.15 W1.51.28.57
FD09 N49.11.49.96 W2.18.20.02
FD13 N58.30.56.43 W3.13.48.19
FD17 N54.43.29.29 W6.15.48.79
FD20 N51.2.16.47 W1.19.43.50
FD23 N57.37.07.96 W3.53.55.53
FD23L N53.25.12.33 W2.7.57.64
FD23R N53.28.38.02 W2.3.33.03
FD24 N57.36.07.59 W3.55.59.85
FD25 N55.4.29.80 W1.31.59.88
FD26 N58.28.07.84 W2.56.33.99
FD27 N49.12.53.29 W2.7.05.81
FD31 N58.24.41.71 W2.57.03.25
FD35 N54.34.50.59 W6.11.34.19
FF05 N54.26.45.34 W1.32.51.78
FF09 N49.11.55.99 W2.18.19.80
FF12 N51.25.48.94 W3.27.03.24
FF13 N55.32.28.32 W4.41.11.77
FF15 N52.31.07.99 W1.49.09.99
FF17 N54.43.16.38 W6.15.51.32
FF21 N53.38.43.80 W0.18.03.30
FF22 N54.42.25.31 W5.45.59.31
FF23 N54.34.41.83 W1.18.01.24
FF23R N53.27.56.74 W2.2.32.03
FF26 N54.5.54.66 W4.30.06.84
FF28 N53.45.52.89 W2.54.04.89
FF30 N51.20.51.39 W3.11.14.92
FF33 N52.23.31.99 W1.40.43.99
FI02 N53.21.05.51 W1.4.12.21
FI05 N57.26.50.85 W4.15.12.19
FI07 N55.0.21.07 W1.48.33.57
FI08 N50.45.46.30 W1.56.32.01
FI09 N53.19.22.72 W3.4.36.31
FI14 N53.55.08.47 W1.44.36.78
FI16 N57.16.16.95 W2.14.55.83
FI20 N51.0.15.82 W1.19.37.80
FI23 N57.36.50.04 W3.53.30.66
FI24 N51.36.44.19 E0.47.06.16
FI25 N55.4.11.61 W1.34.13.44
FI26 N57.41.34.98 W3.18.55.08
FI27 N52.40.36.03 E1.24.21.08
FI28 N51.19.00.78 E1.33.12.54
FI31 N55.28.03.63 W4.28.27.52
FI32 N53.48.41.10 W1.34.32.36
FI34 N57.7.56.77 W2.8.48.84
FL04 N54.31.46.83 W5.58.46.98
FL10 N51.22.06.61 E1.8.20.91
FN05 N54.27.08.75 W1.32.18.80
FN07 N53.17.37.39 W2.17.10.09
FN09 N52.49.39.24 W1.29.23.21
FN24R N53.27.32.35 W2.5.12.46
FN25 N53.22.45.32 W1.58.41.49
FN27 N58.57.46.44 W2.44.45.00
FQ04 N54.31.29.48 W5.58.01.05
FQ05 N55.47.33.60 W4.35.25.59
FQ05L N53.15.38.92 W2.28.40.77
FQ08 N50.45.30.39 W1.58.03.20
FQ09 N58.57.13.92 W3.6.47.49
FQ10 N51.22.19.53 E1.8.21.54
FQ12 N51.26.55.18 W3.29.44.52
FQ13 N58.30.56.16 W3.14.14.61
FQ14 N53.56.19.57 W1.47.25.11
FQ15 N52.33.41.37 W1.50.45.93
FQ18 N58.19.25.50 W6.21.02.54
FQ22 N54.42.20.28 W5.45.44.67
FQ23 N55.58.05.49 W4.15.49.20
FQ26 N50.48.11.31 W1.42.58.14
FQ27 N58.57.47.86 W2.43.43.61
FQ28 N51.19.05.53 E1.33.13.98
FQ30 N51.20.47.91 W3.11.11.73
FQ31 N58.24.19.65 W2.57.30.55
FQ32 N53.45.56.72 W1.32.13.21
FQ33 N52.22.58.59 W1.39.13.71
FQ36 N58.6.53.38 W6.18.32.71
GW08 N51.52.19.270 W000.23.00.780
GW10A N55.51.02.99 W4.44.16.99
GW14B N55.39.50.49 W4.15.14.71
GW26 N51.52.37.330 W000.21.16.270
K08RF N51.6.53.25 W0.25.48.07
KA20F N50.54.31.42 W0.15.05.26
KA20I N50.58.03.66 W0.12.51.90
L27LF N51.27.55.45 W0.14.07.64
MA05 N54.29.47.73 W1.27.10.68
MA07 N53.19.36.79 W2.11.22.89
MA12 N51.24.16.65 W3.22.07.63
MA25 N55.2.40.81 W1.40.17.35
MA30A N55.20.16.99 W6.30.00.00
MA35 N54.7.08.82 W3.15.48.33
MD05 N55.51.27.33 W4.27.51.93
MD07 N54.38.47.19 W6.15.53.10
MD09 N58.57.28.81 W2.55.33.55
MD20 N50.57.54.63 W1.20.35.13
MD23 N57.33.11.46 W4.1.18.49
MD25 N54.40.13.47 W6.10.29.04
MD27 N59.52.58.29 W1.15.19.23
ML09 N58.57.26.64 W2.55.34.33
ML27 N58.57.31.14 W2.52.20.76
MM08 N51.44.35.02 W1.37.14.01
MM13 N55.31.18.42 W4.37.51.48
MM16 N54.18.33.72 W1.32.54.04
MM18 N52.48.36.54 W2.39.58.05
MM19 N51.37.53.80 W1.5.31.98
MM20 N53.11.08.43 W0.30.36.72
MM21 N52.5.22.29 W0.36.00.82
MM22 N54.3.48.13 W1.14.18.75
MM23 N57.43.15.52 W3.18.45.13
MM24 N53.50.48.49 W1.10.04.14
MM25 N53.20.44.59 W2.7.02.89
MM26 N57.39.20.99 W3.31.34.99
MM27 N56.22.39.45 W2.49.36.72
MM28 N51.5.12.39 W4.7.02.29
MM29 N52.21.13.99 E0.32.24.99
MM30 N50.25.47.94 W4.58.00.39
MQ04 N54.36.23.13 W5.53.25.66
MQ05 N55.51.24.59 W4.27.44.39
MQ08R N51.8.35.31 W0.13.31.41
MQ09 N58.57.30.91 W2.55.35.91
MQ13 N58.27.56.19 W3.6.37.46
MQ18 N58.13.57.87 W6.19.57.06
MQ22 N54.37.57.51 W5.51.33.10
MQ23 N55.53.06.69 W4.24.33.49
MQ27 N58.57.35.56 W2.52.24.82
MQ36 N58.11.51.24 W6.19.31.83
OM08 N51.43.34.02 W1.42.51.00
OM13 N55.32.39.45 W4.40.53.11
OM16 N54.23.16.55 W1.36.31.89
OM18 N52.52.57.47 W2.39.29.67
OM19 N51.43.11.66 W1.4.24.63
OM20 N53.15.11.41 W0.27.29.81
OM21 N52.7.48.16 W0.33.25.20
OM22 N54.7.56.14 W1.9.26.10
OM23 N54.33.36.90 W1.19.55.17
OM24 N53.52.55.65 W1.5.21.79
OM25 N53.23.15.49 W1.57.32.89
OM26 N57.40.40.99 W3.24.06.00
OM27 N53.2.22.17 W0.22.23.71
OM28 N51.5.13.39 W3.58.59.59
OM29 N52.20.25.99 E0.37.48.99
OM30 N50.23.25.19 W4.51.42.76
RW03 N51.19.34.74 E0.1.44.71
RW04 N54.36.43.32 W5.52.47.14
RW05 N55.51.48.51 W4.26.56.62
RW05L N053.20.51.190 W002.17.15.940
RW05R N053.19.55.100 W002.18.38.380
RW06 N55.56.41.95 W3.23.13.98
RW07 N51.33.01.41 W0.25.47.10
RW08 N51.44.47.02 W1.35.53.85
RW08L N51.8.51.04 W0.12.29.10
RW09 N052.49.50.360 W001.20.48.860
RW10 S51.49.04.02 W58.28.29.91
RW12 N51.24.01.71 W3.21.20.16
RW15 N52.27.48.51 W1.45.31.42
RW16 N57.12.34.38 W2.12.12.28
RW17 N54.39.28.50 W6.13.43.03
RW18 N51.30.41.02 W1.59.23.88
RW21 N51.20.20.28 E0.2.19.32
RW22 N54.37.29.49 W5.51.51.93
RW23 N52.22.29.02 W1.28.15.42
RW23L N053.20.53.350 W002.16.37.950
RW23R N053.21.40.750 W002.15.33.410
RW24 N51.34.29.61 E0.42.11.70
RW25 N51.33.19.15 W0.24.29.52
RW26 N51.45.09.57 W1.33.52.08
RW26R N051.09.03.690 W000.10.57.470
RW27 N49.12.31.77 W2.11.05.70
RW28 S51.49.26.02 W58.26.20.02
RW30 N51.23.32.83 W3.19.48.65
RW33 N52.26.54.67 W1.44.31.56
RW34 N57.11.39.48 W2.11.31.78
RW35 N54.38.33.18 W6.13.11.94
RW36 N51.29.42.57 W1.59.15.58
SD06L N53.18.25.39 W2.22.37.09
SN27 N49.12.47.99 W2.7.16.97
SQ09 N58.57.23.70 W3.0.25.41
SQ10 N56.27.19.73 W3.7.37.83
SQ27 N58.57.42.48 W2.47.35.27
SR05 N57.30.56.59 W4.6.20.40
SR09 N51.53.16.44 W2.15.29.00
SR20A N50.53.13.05 W0.15.54.42
SR20B N50.52.11.73 W0.16.32.85
SR26 N50.44.39.90 W3.20.56.43
SR27 N51.53.59.61 W2.4.51.88
SR28 N53.46.00.37 W2.55.49.46
