;NIMAT-ROTEV Buffer
NIMAT-ROTEV Buffer           N054.02.49.000 W005.54.15.000 N054.02.45.943 W005.53.21.860 ; Radial 10
NIMAT-ROTEV Buffer           N054.02.45.943 W005.53.21.860 N054.02.37.828 W005.52.30.339 ; Radial 20
NIMAT-ROTEV Buffer           N054.02.37.828 W005.52.30.339 N054.02.24.577 W005.51.42.993 ; Radial 30
NIMAT-ROTEV Buffer           N054.02.24.577 W005.51.42.993 N054.02.06.595 W005.50.58.343 ; Radial 40
NIMAT-ROTEV Buffer           N054.02.06.595 W005.50.58.343 N054.01.44.430 W005.50.20.667 ; Radial 50
NIMAT-ROTEV Buffer           N054.01.44.430 W005.50.20.667 N054.01.18.756 W005.49.50.128 ; Radial 60
NIMAT-ROTEV Buffer           N054.01.18.756 W005.49.50.128 N054.00.50.356 W005.49.27.652 ; Radial 70
NIMAT-ROTEV Buffer           N054.00.50.356 W005.49.27.652 N054.00.20.947 W005.49.13.917 ; Radial 80
NIMAT-ROTEV Buffer           N054.00.20.947 W005.49.13.917 N053.59.48.890 W005.49.09.336 ; Radial 90
NIMAT-ROTEV Buffer           N053.59.48.890 W005.49.09.336 N053.59.17.693 W005.49.14.428 ; Radial 100
NIMAT-ROTEV Buffer           N053.59.17.693 W005.49.14.428 N053.58.47.449 W005.49.27.888 ; Radial 110
NIMAT-ROTEV Buffer           N053.58.47.449 W005.49.27.888 N053.58.19.784 W005.49.50.446 ; Radial 120
NIMAT-ROTEV Buffer           N053.58.19.784 W005.49.50.446 N053.57.53.440 W005.50.21.286 ; Radial 130
NIMAT-ROTEV Buffer           N053.57.53.440 W005.50.21.286 N053.57.31.312 W005.50.58.703 ; Radial 140
NIMAT-ROTEV Buffer           N053.57.31.312 W005.50.58.703 N053.57.13.365 W005.51.42.327 ; Radial 150
NIMAT-ROTEV Buffer           N053.57.13.365 W005.51.42.327 N053.57.00.143 W005.52.30.575 ; Radial 160
NIMAT-ROTEV Buffer           N053.57.00.143 W005.52.30.575 N053.56.52.464 W005.53.21.985 ; Radial 170
NIMAT-ROTEV Buffer           N053.56.52.464 W005.53.21.985 N053.56.49.319 W005.54.15.120 ; Radial 180
NIMAT-ROTEV Buffer           N053.56.49.319 W005.54.15.120 N053.56.52.464 W005.55.08.167 ; Radial 190
NIMAT-ROTEV Buffer           N053.56.52.464 W005.55.08.167 N053.57.00.143 W005.55.59.427 ; Radial 200
NIMAT-ROTEV Buffer           N053.57.00.143 W005.55.59.427 N053.57.13.365 W005.56.47.675 ; Radial 210
NIMAT-ROTEV Buffer           N053.57.13.365 W005.56.47.675 N053.57.31.312 W005.57.31.298 ; Radial 220
NIMAT-ROTEV Buffer           N053.57.31.312 W005.57.31.298 N053.57.53.440 W005.58.08.973 ; Radial 230
NIMAT-ROTEV Buffer           N053.57.53.440 W005.58.08.973 N053.58.19.784 W005.58.39.556 ; Radial 240
NIMAT-ROTEV Buffer           N053.58.19.784 W005.58.39.556 N053.58.47.449 W005.59.02.114 ; Radial 250
NIMAT-ROTEV Buffer           N053.58.47.449 W005.59.02.114 N053.59.17.693 W005.59.15.959 ; Radial 260
NIMAT-ROTEV Buffer           N053.59.17.693 W005.59.15.959 N053.59.48.890 W005.59.20.665 ; Radial 270
NIMAT-ROTEV Buffer           N053.59.48.890 W005.59.20.665 N054.00.20.947 W005.59.16.848 ; Radial 280
NIMAT-ROTEV Buffer           N054.00.20.947 W005.59.16.848 N054.00.50.356 W005.59.02.349 ; Radial 290
NIMAT-ROTEV Buffer           N054.00.50.356 W005.59.02.349 N054.01.18.756 W005.58.39.873 ; Radial 300
NIMAT-ROTEV Buffer           N054.01.18.756 W005.58.39.873 N054.01.44.430 W005.58.09.334 ; Radial 310
NIMAT-ROTEV Buffer           N054.01.44.430 W005.58.09.334 N054.02.06.595 W005.57.31.659 ; Radial 320
NIMAT-ROTEV Buffer           N054.02.06.595 W005.57.31.659 N054.02.24.577 W005.56.47.992 ; Radial 330
NIMAT-ROTEV Buffer           N054.02.24.577 W005.56.47.992 N054.02.37.828 W005.55.59.662 ; Radial 340
NIMAT-ROTEV Buffer           N054.02.37.828 W005.55.59.662 N054.02.45.943 W005.55.08.142 ; Radial 350
NIMAT-ROTEV Buffer           N054.02.45.943 W005.55.08.142 N054.02.49.000 W005.54.15.000
