London Upper Sector (LUS)   S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.41.26.000 W002.00.00.000 N051.47.51.000 W001.41.36.000 ;Outer Boundary
                            N051.47.51.000 W001.41.36.000 N051.52.60.000 W001.28.44.000
                            N051.52.60.000 W001.28.44.000 N052.00.00.000 W001.12.26.000
                            N052.00.00.000 W001.12.26.000 N052.05.19.000 W000.59.56.000
                            N052.05.19.000 W000.59.56.000 N052.06.03.000 W000.58.14.000
                            N052.06.03.000 W000.58.14.000 N052.09.39.000 W000.49.42.000
                            N052.09.39.000 W000.49.42.000 N052.04.48.000 W000.38.14.000
                            N052.04.48.000 W000.38.14.000 N051.54.33.000 W000.14.25.000
                            N051.54.33.000 W000.14.25.000 N051.56.20.000 W000.07.48.000
                            N051.56.20.000 W000.07.48.000 N052.02.28.000 E000.15.24.000
                            N052.02.28.000 E000.15.24.000 N051.44.17.000 E000.36.07.000
                            N051.44.17.000 E000.36.07.000 N051.26.58.000 E000.55.31.000
                            N051.26.58.000 E000.55.31.000 N051.24.50.000 E001.31.19.000
                            N051.24.50.000 E001.31.19.000 N051.24.30.000 E001.36.43.000
                            N051.24.30.000 E001.36.43.000 N051.22.60.000 E002.00.00.000
                            N051.22.60.000 E002.00.00.000 N051.07.00.000 E002.00.00.000
                            N051.07.00.000 E002.00.00.000 N051.04.45.000 E001.49.30.000
                            N051.04.45.000 E001.49.30.000 N051.03.54.000 E001.45.45.000
                            N051.03.54.000 E001.45.45.000 N051.00.00.000 E001.28.00.000
                            N051.00.00.000 E001.28.00.000 N050.54.16.000 E001.28.00.000
                            N050.54.16.000 E001.28.00.000 N050.42.44.000 E001.44.05.000
                            N050.42.44.000 E001.44.05.000 N050.39.25.000 E001.38.11.000
                            N050.39.25.000 E001.38.11.000 N050.36.06.000 E001.32.18.000
                            N050.36.06.000 E001.32.18.000 N050.39.44.000 E001.27.17.000
                            N050.39.44.000 E001.27.17.000 N050.46.17.000 E000.58.50.000
                            N050.46.17.000 E000.58.50.000 N050.59.04.000 E000.01.25.000
                            N050.59.04.000 E000.01.25.000 N050.54.33.000 E000.07.16.000
                            N050.54.33.000 E000.07.16.000 N050.33.30.000 E000.34.16.000
                            N050.33.30.000 E000.34.16.000 N050.24.05.000 E000.46.11.000
                            N050.24.05.000 E000.46.11.000 N050.00.00.000 W000.15.00.000
                            N050.00.00.000 W000.15.00.000 N050.00.00.000 W000.31.58.000
                            N050.00.00.000 W000.31.58.000 N050.29.57.000 W000.32.09.000
                            N050.29.57.000 W000.32.09.000 N050.37.00.000 W000.39.38.000
                            N050.37.00.000 W000.39.38.000 N050.41.53.000 W000.44.50.000
                            N050.41.53.000 W000.44.50.000 N050.41.39.000 W001.03.07.000
                            N050.41.39.000 W001.03.07.000 N050.41.25.000 W001.23.15.000
                            N050.41.25.000 W001.23.15.000 N050.40.35.000 W001.41.02.000
                            N050.40.35.000 W001.41.02.000 N050.40.24.000 W002.00.00.000
                            N050.40.24.000 W002.00.00.000 N050.55.43.000 W002.00.00.000
                            N050.55.43.000 W002.00.00.000 N051.10.27.000 W002.00.00.000
                            N051.10.27.000 W002.00.00.000 N051.15.26.000 W002.00.00.000
                            N051.15.26.000 W002.00.00.000 N051.41.26.000 W002.00.00.000
                            N051.26.58.000 E000.55.31.000 N051.27.02.400 E000.50.00.000 ;Eastern Inner Boundary
                            N051.27.02.400 E000.50.00.000 N051.27.04.000 E000.47.58.000
                            N051.27.04.000 E000.47.58.000 N051.01.05.000 E001.18.32.000
                            N051.01.05.000 E001.18.32.000 N050.54.16.000 E001.28.00.000
                            N050.59.04.000 E000.01.25.000 N051.02.38.000 E000.48.55.000 ;Southern Inner Boundary
                            N051.02.38.000 E000.48.55.000 N050.58.42.000 E000.57.54.000
                            N050.58.42.000 E000.57.54.000 N050.56.56.000 E001.01.56.000
                            N050.56.56.000 E001.01.56.000 N050.55.30.000 E001.05.12.000
                            N050.55.30.000 E001.05.12.000 N050.39.44.000 E001.27.17.000
