London AC Lakes             S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N054.30.00.000 W003.35.33.000 N054.30.07.000 W002.52.45.000
                            N054.30.07.000 W002.52.45.000 N054.15.00.000 W002.39.48.000
                            N054.15.00.000 W002.39.48.000 N054.00.43.000 W002.27.43.000
                            N054.00.43.000 W002.27.43.000 N054.01.47.000 W001.35.15.000
                            N054.01.47.000 W001.35.15.000 N053.06.42.000 W000.46.27.000
                            N053.06.42.000 W000.46.27.000 N053.08.28.000 W001.03.17.000
                            N053.08.28.000 W001.03.17.000 N053.10.17.000 W001.20.43.000
                            N053.10.17.000 W001.20.43.000 N053.00.31.000 W001.47.37.000
                            N053.00.31.000 W001.47.37.000 N053.12.25.000 W001.58.44.000
                            N053.12.25.000 W001.58.44.000 N053.10.29.000 W002.05.57.000
                            N053.10.29.000 W002.05.57.000 N052.50.46.000 W002.45.29.000
                            N052.50.46.000 W002.45.29.000 N052.53.33.000 W002.50.15.000
                            N052.53.33.000 W002.50.15.000 N052.54.23.000 W003.18.39.500
                            N052.54.23.000 W003.18.39.500 N052.54.33.000 W003.26.59.000
                            N052.54.33.000 W003.26.59.000 N052.55.42.000 W004.14.47.000
                            N052.55.42.000 W004.14.47.000 N053.11.12.000 W005.08.59.000
                            N053.11.12.000 W005.08.59.000 N053.11.48.000 W005.30.00.000
                            N053.11.48.000 W005.30.00.000 N053.23.53.000 W005.30.00.000
                            N053.23.53.000 W005.30.00.000 N053.48.17.000 W005.30.00.000
                            N053.48.17.000 W005.30.00.000 N053.47.42.000 W005.11.11.000
                            N053.47.42.000 W005.11.11.000 N053.46.58.000 W004.49.41.000
                            N053.46.58.000 W004.49.41.000 N053.46.17.000 W004.31.12.000
                            N053.46.17.000 W004.31.12.000 N053.54.19.000 W004.21.51.000
                            N053.54.19.000 W004.21.51.000 N053.53.58.000 W004.06.08.000
                            N053.53.58.000 W004.06.08.000 N053.41.49.000 W003.36.49.000
                            N053.41.49.000 W003.36.49.000 N053.41.25.000 W003.27.34.000
                            N053.41.25.000 W003.27.34.000 N054.15.00.000 W003.33.05.000
                            N054.15.00.000 W003.33.05.000 N054.20.24.000 W003.33.58.000
                            N054.20.24.000 W003.33.58.000 N054.30.00.000 W003.35.33.000
                            N052.54.33.000 W003.26.53.000 N052.41.49.000 W002.37.50.000
                            N052.41.49.000 W002.37.50.000 N052.50.46.000 W002.45.29.000
