London AC North Sea         S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N054.01.47.000 W001.35.24.000 N054.01.45.500 W000.17.12.100
                            N054.01.45.500 W000.17.12.100 N054.01.45.000 E000.06.02.000
                            N054.01.45.000 E000.06.02.000 N054.01.41.000 E000.27.19.000
                            N054.01.41.000 E000.27.19.000 N053.23.02.000 E002.40.06.000
                            N053.23.02.000 E002.40.06.000 N053.18.13.000 E002.44.00.000
                            N053.18.13.000 E002.44.00.000 N053.16.08.000 E003.00.00.000
                            N053.16.08.000 E003.00.00.000 N053.14.41.000 E003.11.02.000
                            N053.14.41.000 E003.11.02.000 N053.10.29.000 E003.21.58.000
                            N053.10.29.000 E003.21.58.000 N052.37.03.850 E002.53.57.300
                            N052.37.03.850 E002.53.57.300 N052.28.19.000 E002.46.44.000
                            N052.28.19.000 E002.46.44.000 N052.28.42.000 E002.34.14.000
                            N052.28.42.000 E002.34.14.000 N052.34.12.000 E001.54.10.000
                            N052.34.12.000 E001.54.10.000 N052.25.11.000 E001.28.17.000
                            N052.25.11.000 E001.28.17.000 N052.25.34.000 E001.06.57.000
                            N052.25.34.000 E001.06.57.000 N052.25.58.000 E000.40.42.000
                            N052.25.58.000 E000.40.42.000 N052.36.18.000 E000.18.22.000
                            N052.36.18.000 E000.18.22.000 N053.03.34.000 W000.43.34.000
                            N053.03.34.000 W000.43.34.000 N053.04.26.000 W000.44.22.000
                            N053.04.26.000 W000.44.22.000 N053.06.42.000 W000.46.27.000
                            N053.06.42.000 W000.46.27.000 N054.01.47.000 W001.35.24.000

                            N053.04.26.000 W000.44.22.000 N052.53.24.000 E000.46.19.000
                            N052.53.24.000 E000.46.19.000 N053.28.56.001 E000.57.09.000
                            N053.28.56.001 E000.57.09.000 N053.32.30.000 E000.50.45.000
                            N053.32.30.000 E000.50.45.000 N053.35.39.000 E000.27.56.000
                            N053.35.39.000 E000.27.56.000 N054.01.45.000 E000.06.02.000

                            N053.18.13.000 E002.44.00.000 N053.20.00.000 E002.30.00.000
                            N053.20.00.000 E002.30.00.000 N052.40.10.000 E002.30.00.000
                            N052.40.10.000 E002.30.00.000 N052.37.03.850 E002.53.57.300
