London Sector 23            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.00.14.000 W003.35.36.000 N052.00.01.000 W002.47.00.000
                            N052.00.01.000 W002.47.00.000 N052.02.15.000 W002.36.53.000
                            N052.02.15.000 W002.36.53.000 N052.05.26.000 W002.30.50.000
                            N052.05.26.000 W002.30.50.000 N052.17.02.000 W002.12.51.000
                            N052.17.02.000 W002.12.51.000 N052.16.28.100 W002.12.18.500
                            N052.16.28.100 W002.12.18.500 N052.09.46.000 W002.05.00.000
                            N052.09.46.000 W002.05.00.000 N052.09.16.000 W002.04.27.000
                            N052.09.16.000 W002.04.27.000 N051.53.36.000 W001.47.41.000
                            N051.53.36.000 W001.47.41.000 N051.47.51.000 W001.41.36.000
                            N051.47.51.000 W001.41.36.000 N051.44.02.000 W001.29.27.000
                            N051.44.02.000 W001.29.27.000 N051.39.45.000 W001.26.46.000
                            N051.39.45.000 W001.26.46.000 N051.39.11.000 W001.26.29.000
                            N051.39.11.000 W001.26.29.000 N051.37.26.000 W001.21.04.000
                            N051.37.26.000 W001.21.04.000 N051.35.32.000 W001.21.02.000
                            N051.35.32.000 W001.21.02.000 N051.16.17.000 W001.20.57.000
                            N051.16.17.000 W001.20.57.000 N051.13.50.000 W001.21.59.000
                            N051.13.50.000 W001.21.59.000 N051.13.06.000 W001.30.31.000
                            N051.13.06.000 W001.30.31.000 N051.12.38.000 W001.36.00.000
                            N051.12.38.000 W001.36.00.000 N051.15.26.000 W002.00.00.000
                            N051.15.26.000 W002.00.00.000 N051.20.44.000 W003.37.37.000
                            N051.20.44.000 W003.37.37.000 N051.21.14.000 W003.42.44.000
                            N051.21.14.000 W003.42.44.000 N051.56.18.000 W003.35.52.000
                            N051.56.18.000 W003.35.52.000 N052.00.14.000 W003.35.36.000

                            N051.47.51.000 W001.41.36.000 N051.42.58.000 W001.36.26.000
                            N051.42.58.000 W001.36.26.000 N051.37.07.000 W001.33.50.000
                            N051.37.07.000 W001.33.50.000 N051.26.24.000 W001.29.33.000
                            N051.26.24.000 W001.29.33.000 N051.18.37.792 W001.28.13.800
                            N051.18.37.792 W001.28.13.800 N051.13.06.000 W001.30.31.000

                            N051.18.37.792 W001.28.13.800 N051.13.06.000 W001.30.31.000

                            N051.42.58.000 W001.36.26.000 N051.39.45.000 W001.26.46.000

                            N051.37.07.000 W001.33.50.000 N051.36.01.000 W001.24.53.000
                            N051.36.01.000 W001.24.53.000 N051.35.32.000 W001.21.02.000

                            N051.39.11.000 W001.26.29.000 N051.36.01.000 W001.24.53.000
