London TC East              S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.26.21.000 E000.01.53.000 N052.26.15.000 E000.13.48.000 ;Outer Boundary
                            N052.26.15.000 E000.13.48.000 N052.25.30.650 E001.04.40.255
                            N052.25.30.650 E001.04.40.255 N052.25.10.000 E001.28.16.000
                            N052.25.10.000 E001.28.16.000 N052.34.12.000 E001.54.10.000
                            N052.34.12.000 E001.54.10.000 N052.28.42.000 E002.34.14.000
                            N052.28.42.000 E002.34.14.000 N052.28.19.000 E002.46.44.000
                            N052.28.19.000 E002.46.44.000 N051.57.02.160 E002.21.22.620
                            N051.57.02.160 E002.21.22.620 N051.42.44.830 E002.10.01.170
                            N051.42.44.830 E002.10.01.170 N051.30.00.000 E002.00.00.000
                            N051.30.00.000 E002.00.00.000 N051.22.60.000 E002.00.00.000
                            N051.22.60.000 E002.00.00.000 N051.24.30.000 E001.36.43.000
                            N051.24.30.000 E001.36.43.000 N051.24.50.000 E001.31.19.000
                            N051.24.50.000 E001.31.19.000 N051.26.58.000 E000.55.32.000
                            N051.26.58.000 E000.55.32.000 N051.27.02.400 E000.50.00.000
                            N051.27.02.400 E000.50.00.000 N051.27.04.000 E000.47.58.000
                            N051.27.04.000 E000.47.58.000 N051.27.15.000 E000.33.00.000
                            N051.27.15.000 E000.33.00.000 N051.42.22.000 E000.09.04.000
                            N051.42.22.000 E000.09.04.000 N051.48.01.000 E000.00.08.000
                            N051.48.01.000 E000.00.08.000 N051.50.22.063 W000.02.06.831
                            N051.50.22.063 W000.02.06.831 N051.56.19.000 W000.07.48.000
                            N051.56.19.000 W000.07.48.000 N052.11.04.000 W000.02.10.000
                            N052.11.04.000 W000.02.10.000 N052.17.50.000 E000.00.25.500
                            N052.17.50.000 E000.00.25.500 N052.21.22.000 E000.01.47.000
                            N052.21.22.000 E000.01.47.000 N052.26.21.000 E000.01.53.000
                            N052.11.04.000 W000.02.10.000 N052.11.04.000 E000.05.28.000 ;215 Western Boundary
                            N052.11.04.000 E000.05.28.000 N052.11.05.000 E000.14.12.000
                            N052.11.05.000 E000.14.12.000 N052.11.05.000 E000.24.10.000
                            N052.11.05.000 E000.24.10.000 N052.11.04.000 E000.26.16.414
                            N052.11.04.000 E000.26.16.414 N052.11.04.000 E000.32.42.000
                            N052.11.04.000 E000.32.42.000 N052.12.21.000 E000.48.19.000
                            N052.12.21.000 E000.48.19.000 N052.07.13.000 E000.51.49.000
                            N052.07.13.000 E000.51.49.000 N051.48.27.000 E001.36.43.000
                            N051.48.27.000 E001.36.43.000 N051.24.30.000 E001.36.43.000
                            N052.17.50.000 E000.00.25.500 N052.17.12.000 E000.09.35.000 ;155/TC NE Boundary
                            N052.17.12.000 E000.09.35.000 N052.16.06.000 E000.25.07.000
                            N052.16.06.000 E000.25.07.000 N052.11.05.000 E000.24.10.000
                            N052.11.05.000 E000.24.10.000 N052.11.04.000 E000.26.16.414
                            N052.11.04.000 E000.26.16.414 N052.01.10.326 E000.26.16.414
                            N052.01.10.326 E000.26.16.414 N051.52.36.045 E000.26.16.414
                            N051.52.36.045 E000.26.16.414 N051.54.21.764 E000.48.40.332
                            N051.54.21.764 E000.48.40.332 N051.45.03.000 E000.50.32.000
                            N051.45.03.000 E000.50.32.000 N051.44.31.000 E000.50.38.000
                            N051.44.31.000 E000.50.38.000 N051.36.18.000 E000.55.32.000
                            N051.36.18.000 E000.55.32.000 N051.34.17.000 E000.50.00.000
                            N051.34.17.000 E000.50.00.000 N051.27.02.400 E000.50.00.000
                            N051.42.22.000 E000.09.04.000 N051.44.17.000 E000.36.07.000 ;175/155 Boundary
                            N051.44.17.000 E000.36.07.000 N051.45.03.000 E000.50.32.000
                            N051.57.09.710 E002.21.28.660 N051.58.27.020 E002.40.00.870 ;AMRIV Area
                            N051.58.27.020 E002.40.00.870 N051.57.25.000 E002.40.00.870
                            N051.57.25.000 E002.40.00.870 N051.35.54.520 E002.40.00.870
                            N051.35.54.520 E002.40.00.870 N051.38.12.590 E002.30.00.000
                            N051.38.12.590 E002.30.00.000 N051.27.20.120 E002.30.00.000
                            N051.27.20.120 E002.30.00.000 N051.30.00.000 E002.00.00.000
