London TC North East        S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.26.32.000 W000.37.02.000 N052.26.31.000 W000.27.29.000 ;Outer Border
                            N052.26.31.000 W000.27.29.000 N052.26.27.000 W000.14.16.000
                            N052.26.27.000 W000.14.16.000 N052.18.55.000 W000.06.59.000
                            N052.18.55.000 W000.06.59.000 N052.18.02.000 W000.02.40.000
                            N052.18.02.000 W000.02.40.000 N052.17.50.000 E000.00.25.500
                            N052.17.50.000 E000.00.25.500 N052.17.12.000 E000.09.35.000
                            N052.17.12.000 E000.09.35.000 N052.16.06.000 E000.25.07.000
                            N052.16.06.000 E000.25.07.000 N052.11.05.000 E000.24.10.000
                            N052.11.05.000 E000.24.10.000 N052.11.04.000 E000.26.16.414
                            N052.11.04.000 E000.26.16.414 N052.01.10.326 E000.26.16.414
                            N052.01.10.326 E000.26.16.414 N051.52.36.045 E000.26.16.414
                            N051.52.36.045 E000.26.16.414 N051.54.21.764 E000.48.40.332
                            N051.54.21.764 E000.48.40.332 N051.45.19.000 E000.50.29.000
                            N051.45.19.000 E000.50.29.000 N051.44.31.000 E000.50.38.000
                            N051.44.31.000 E000.50.38.000 N051.36.18.000 E000.55.32.000
                            N051.36.18.000 E000.55.32.000 N051.34.17.000 E000.50.00.000
                            N051.34.17.000 E000.50.00.000 N051.27.02.400 E000.50.00.000
                            N051.27.02.400 E000.50.00.000 N051.27.04.000 E000.47.58.000
                            N051.27.04.000 E000.47.58.000 N051.27.15.000 E000.33.00.000
                            N051.27.15.000 E000.33.00.000 N051.27.52.000 E000.10.09.000
                            N051.27.52.000 E000.10.09.000 N051.29.14.000 W000.28.00.000
                            N051.29.14.000 W000.28.00.000 N051.48.04.000 W000.11.14.000
                            N051.48.04.000 W000.11.14.000 N051.56.20.000 W000.07.48.000
                            N051.56.20.000 W000.07.48.000 N052.11.26.000 W000.22.20.000
                            N052.11.26.000 W000.22.20.000 N052.11.26.000 W000.22.20.000
                            N052.11.26.000 W000.22.20.000 N052.16.58.000 W000.27.41.000
                            N052.16.58.000 W000.27.41.000 N052.26.32.000 W000.37.02.000
                            N051.27.52.000 E000.10.09.000 N051.42.22.000 E000.09.04.000 ;175/155 Boundary
                            N051.42.22.000 E000.09.04.000 N051.44.17.000 E000.36.07.000
                            N051.44.17.000 E000.36.07.000 N051.45.19.000 E000.50.29.000
