London TC North West        S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.43.19.000 W001.28.37.000 N051.54.21.000 W001.02.57.000
                            N051.54.21.000 W001.02.57.000 N051.58.59.000 W000.52.02.000
                            N051.58.59.000 W000.52.02.000 N052.04.48.000 W000.38.14.000
                            N052.04.48.000 W000.38.14.000 N052.10.02.000 W000.24.27.000
                            N052.10.02.000 W000.24.27.000 N052.11.18.000 W000.33.23.000
                            N052.11.18.000 W000.33.23.000 N052.13.32.000 W000.28.06.000
                            N052.13.32.000 W000.28.06.000 N052.16.58.000 W000.27.41.000
                            N052.16.58.000 W000.27.41.000 N052.11.26.000 W000.22.20.000
                            N052.11.26.000 W000.22.20.000 N052.11.04.000 W000.21.59.000
                            N052.11.04.000 W000.21.59.000 N051.56.19.000 W000.07.48.000
                            N051.56.19.000 W000.07.48.000 N051.48.04.000 W000.11.14.000
                            N051.48.04.000 W000.11.14.000 N051.29.14.000 W000.28.00.000
                            N051.29.14.000 W000.28.00.000 N051.31.08.440 W000.40.37.890
                            N051.31.08.440 W000.40.37.890 N051.35.26.000 W001.06.57.000
                            N051.35.26.000 W001.06.57.000 N051.37.49.000 W001.21.01.000
                            N051.37.49.000 W001.21.01.000 N051.39.11.000 W001.26.29.000
                            N051.39.11.000 W001.26.29.000 N051.39.45.000 W001.26.46.000
                            N051.39.45.000 W001.26.46.000 N051.43.19.000 W001.28.37.000

                            N051.35.26.000 W001.06.57.000 N051.40.14.600 W000.45.46.000
                            N051.40.14.600 W000.45.46.000 N051.42.55.900 W000.33.54.000
                            N051.42.55.900 W000.33.54.000 N051.48.04.000 W000.11.14.000

                            N052.10.02.000 W000.24.27.000 N052.11.04.000 W000.21.59.000
