London TC South West        S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.42.58.000 W001.36.26.000 N051.39.45.000 W001.26.46.000
                            N051.39.45.000 W001.26.46.000 N051.39.11.000 W001.26.29.000
                            N051.39.11.000 W001.26.29.000 N051.37.26.000 W001.21.04.000
                            N051.37.26.000 W001.21.04.000 N051.35.26.000 W001.06.57.000
                            N051.35.26.000 W001.06.57.000 N051.31.08.440 W000.40.37.890
                            N051.31.08.440 W000.40.37.890 N051.29.14.000 W000.28.00.000
                            N051.29.14.000 W000.28.00.000 N051.18.17.000 W000.26.47.000
                            N051.18.17.000 W000.26.47.000 N051.13.04.500 W000.18.16.140
                            N051.13.04.500 W000.18.16.140 N051.08.53.000 W000.11.25.000
                            N051.08.53.000 W000.11.25.000 N051.01.25.000 W000.01.39.000
                            N051.01.25.000 W000.01.39.000 N050.59.04.000 E000.01.25.000
                            N050.59.04.000 E000.01.25.000 N050.54.33.000 E000.07.16.000
                            N050.54.33.000 E000.07.16.000 N050.33.30.000 E000.34.16.000
                            N050.33.30.000 E000.34.16.000 N050.26.13.000 E000.15.07.000
                            N050.26.13.000 E000.15.07.000 N050.29.57.000 W000.32.09.000
                            N050.29.57.000 W000.32.09.000 N050.37.00.000 W000.39.38.000
                            N050.37.00.000 W000.39.38.000 N050.37.00.000 W001.03.51.000
                            N050.37.00.000 W001.03.51.000 N050.37.00.000 W001.26.20.000
                            N050.37.00.000 W001.26.20.000 N050.41.25.000 W001.23.15.000
                            N050.41.25.000 W001.23.15.000 N050.49.28.000 W001.17.14.000
                            N050.49.28.000 W001.17.14.000 N050.49.46.000 W001.34.39.000
                            N050.49.46.000 W001.34.39.000 N050.55.12.000 W001.30.47.000
                            N050.55.12.000 W001.30.47.000 N050.53.34.000 W001.40.51.000
                            N050.53.34.000 W001.40.51.000 N050.59.50.000 W001.36.14.000
                            N050.59.50.000 W001.36.14.000 N051.00.38.000 W001.35.41.000
                            N051.00.38.000 W001.35.41.000 N051.13.06.000 W001.30.31.000
                            N051.13.06.000 W001.30.31.000 N051.18.37.792 W001.28.13.800
                            N051.18.37.792 W001.28.13.800 N051.26.24.000 W001.29.33.000
                            N051.26.24.000 W001.29.33.000 N051.37.07.000 W001.33.50.000
                            N051.37.07.000 W001.33.50.000 N051.42.58.000 W001.36.26.000

                            N051.37.07.000 W001.33.50.000 N051.36.01.000 W001.24.53.000
                            N051.36.01.000 W001.24.53.000 N051.35.32.000 W001.21.02.000
                            N051.35.32.000 W001.21.02.000 N051.16.17.000 W001.20.57.000
                            N051.16.17.000 W001.20.57.000 N051.13.50.000 W001.21.59.000
                            N051.13.50.000 W001.21.59.000 N051.04.16.000 W001.25.59.000
                            N051.04.16.000 W001.25.59.000 N051.00.45.000 W001.30.53.000
                            N051.00.45.000 W001.30.53.000 N050.59.50.000 W001.36.14.000

                            N050.49.28.000 W001.17.14.000 N050.53.01.000 W001.14.56.000
                            N050.53.01.000 W001.14.56.000 N050.55.40.000 W001.13.12.000
                            N050.55.40.000 W001.13.12.000 N051.11.17.000 W001.06.36.000
                            N051.11.17.000 W001.06.36.000 N051.17.35.000 W001.03.35.000
                            N051.17.35.000 W001.03.35.000 N051.31.08.440 W000.40.37.890

                            N050.49.28.000 W001.17.14.000 N050.49.03.000 W001.00.57.000
                            N050.49.03.000 W001.00.57.000 N050.48.48.000 W000.52.14.000
                            N050.48.48.000 W000.52.14.000 N050.46.26.000 W000.49.42.000
                            N050.46.26.000 W000.49.42.000 N050.41.53.000 W000.44.50.000
                            N050.41.53.000 W000.44.50.000 N050.37.00.000 W000.39.38.000

                            N051.00.45.000 W001.30.53.000 N051.01.23.000 W001.27.11.000
                            N051.01.23.000 W001.27.11.000 N050.58.58.000 W001.28.10.000
                            N050.58.58.000 W001.28.10.000 N050.55.12.000 W001.30.47.000
