Maastricht UAC Delta        S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.44.00.000 E005.35.00.000 N052.39.48.000 E007.10.08.000
                            N052.39.48.000 E007.10.08.000 N052.24.09.000 E006.51.08.000
                            N052.24.09.000 E006.51.08.000 N052.02.30.000 E006.25.25.000
                            N052.02.30.000 E006.25.25.000 N051.43.17.000 E006.02.45.000
                            N051.43.17.000 E006.02.45.000 N051.42.00.000 E006.01.42.000
                            N051.42.00.000 E006.01.42.000 N051.40.22.000 E006.02.12.000
                            N051.40.22.000 E006.02.12.000 N051.37.40.000 E006.06.06.000
                            N051.37.40.000 E006.06.06.000 N051.35.10.000 E006.08.01.000
                            N051.35.10.000 E006.08.01.000 N051.28.00.000 E006.13.30.000
                            N051.28.00.000 E006.13.30.000 N051.24.17.000 E006.13.30.000
                            N051.24.17.000 E006.13.30.000 N051.22.00.000 E006.13.30.000
                            N051.22.00.000 E006.13.30.000 N051.14.46.000 E006.04.54.000
                            N051.14.46.000 E006.04.54.000 N051.14.18.000 E006.04.00.000
                            N051.14.18.000 E006.04.00.000 N051.09.58.000 E006.04.30.000
                            N051.09.58.000 E006.04.30.000 N051.10.57.000 E006.07.20.000
                            N051.10.57.000 E006.07.20.000 N051.09.37.000 E006.10.31.000
                            N051.09.37.000 E006.10.31.000 N051.05.15.000 E006.00.18.000
                            N051.05.15.000 E006.00.18.000 N051.03.47.000 E005.58.26.000
                            N051.03.47.000 E005.58.26.000 N051.09.40.000 E005.41.10.000
                            N051.09.40.000 E005.41.10.000 N051.15.10.000 E005.12.52.000
                            N051.15.10.000 E005.12.52.000 N051.25.58.000 E004.12.14.000
                            N051.25.58.000 E004.12.14.000 N051.25.58.000 E004.12.14.000
                            N051.25.58.000 E004.12.14.000 N051.36.28.000 E003.10.18.610
                            N051.36.28.000 E003.10.18.610 N051.57.56.440 E003.10.18.610
                            N051.57.56.440 E003.10.18.610 N051.57.02.160 E002.21.22.620
                            N051.57.02.160 E002.21.22.620 N051.57.09.710 E002.21.28.660
                            N051.57.09.710 E002.21.28.660 N052.06.53.000 E002.29.17.000
                            N052.06.53.000 E002.29.17.000 N052.18.26.000 E002.38.38.000
                            N052.18.26.000 E002.38.38.000 N052.23.19.000 E002.42.37.000
                            N052.23.19.000 E002.42.37.000 N052.28.19.000 E002.46.44.000
                            N052.28.19.000 E002.46.44.000 N052.37.03.850 E002.53.57.300
                            N052.37.03.850 E002.53.57.300 N053.10.29.000 E003.21.58.000
                            N053.10.29.000 E003.21.58.000 N053.27.16.000 E003.36.23.000
                            N053.27.16.000 E003.36.23.000 N052.44.00.000 E005.35.00.000
