Scottish TMA Talla          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N055.48.59.000 W004.01.17.000 N055.53.34.973 W002.49.31.454
                            N055.53.34.973 W002.49.31.454 N055.38.05.000 W002.51.11.000
                            N055.38.05.000 W002.51.11.000 N055.26.06.000 W002.36.55.000
                            N055.26.06.000 W002.36.55.000 N055.21.10.517 W002.21.40.199
                            N055.21.10.517 W002.21.40.199 N055.12.29.681 W002.30.18.704
                            N055.12.29.681 W002.30.18.704 N054.54.24.000 W002.24.10.000
                            N054.54.24.000 W002.24.10.000 N054.15.00.000 W002.09.58.218
                            N054.15.00.000 W002.09.58.218 N054.15.00.000 W002.33.29.400
                            N054.15.00.000 W002.33.29.400 N054.30.07.000 W002.52.45.000
                            N054.30.07.000 W002.52.45.000 N054.51.16.000 W003.19.59.000
                            N054.51.16.000 W003.19.59.000 N055.42.40.000 W004.09.11.000
                            N055.42.40.000 W004.09.11.000 N055.48.59.000 W004.01.17.000

                            N055.21.10.517 W002.21.40.199 N055.11.38.263 W001.52.34.681
                            N055.11.38.263 W001.52.34.681 N055.02.59.577 W002.01.18.376
                            N055.02.59.577 W002.01.18.376 N055.05.58.894 W002.10.26.047
                            N055.05.58.894 W002.10.26.047 N055.12.29.681 W002.30.18.704
