Scottish Borders            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N055.41.02.927 W005.19.29.582 N055.35.54.000 W003.29.45.909
                            N055.35.54.000 W003.29.45.909 N055.27.00.000 W001.10.23.000
                            N055.27.00.000 W001.10.23.000 N055.05.57.338 W000.45.38.396
                            N055.05.57.338 W000.45.38.396 N055.00.00.000 W000.38.44.006
                            N055.00.00.000 W000.38.44.006 N054.01.41.000 E000.27.19.000
                            N054.01.41.000 E000.27.19.000 N054.01.44.000 E000.14.46.720
                            N054.01.44.000 E000.14.46.720 N054.01.46.694 E000.06.00.562
                            N054.01.46.694 E000.06.00.562 N054.01.48.849 W000.49.48.852
                            N054.01.48.849 W000.49.48.852 N054.01.19.909 W001.34.56.230
                            N054.01.19.909 W001.34.56.230 N054.01.15.839 W001.39.43.781
                            N054.01.15.839 W001.39.43.781 N054.01.12.374 W001.44.35.468
                            N054.01.12.374 W001.44.35.468 N054.01.11.943 W001.48.11.646
                            N054.01.11.943 W001.48.11.646 N054.01.10.077 W001.58.39.479
                            N054.01.10.077 W001.58.39.479 N054.01.08.457 W002.00.40.478
                            N054.01.08.457 W002.00.40.478 N054.00.58.000 W002.17.22.760
                            N054.00.58.000 W002.17.22.760 N054.00.44.640 W002.26.08.710
                            N054.00.44.640 W002.26.08.710 N054.00.10.000 W002.48.32.000
                            N054.00.10.000 W002.48.32.000 N054.00.00.000 W003.13.37.492
                            N054.00.00.000 W003.13.37.492 N053.59.59.979 W003.22.08.267
                            N053.59.59.979 W003.22.08.267 N055.09.47.956 W005.04.40.805
                            N055.09.47.956 W005.04.40.805 N055.41.02.927 W005.19.29.582
