Scottish AC South           S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N057.15.04.000 W005.36.33.000 N057.14.40.000 W004.28.16.000 ;Outer Boundary
                            N057.14.40.000 W004.28.16.000 N057.23.37.177 W004.14.06.008
                            N057.23.37.177 W004.14.06.008 N057.09.52.000 W001.53.47.000
                            N057.09.52.000 W001.53.47.000 N056.36.04.000 E003.36.32.000
                            N056.36.04.000 E003.36.32.000 N056.25.02.000 E005.00.00.000
                            N056.25.02.000 E005.00.00.000 N055.30.00.000 E005.00.00.000
                            N055.30.00.000 E005.00.00.000 N055.00.00.000 E005.00.00.000
                            N055.00.00.000 E005.00.00.000 N054.30.00.000 E004.32.09.000
                            N054.30.00.000 E004.32.09.000 N054.06.20.000 E004.10.48.000
                            N054.06.20.000 E004.10.48.000 N053.34.11.000 E003.42.22.000
                            N053.34.11.000 E003.42.22.000 N053.27.55.000 E003.36.56.000
                            N053.27.55.000 E003.36.56.000 N053.10.29.000 E003.21.58.000
                            N053.10.29.000 E003.21.58.000 N053.14.41.000 E003.11.02.000
                            N053.14.41.000 E003.11.02.000 N053.16.08.000 E003.00.00.000
                            N053.16.08.000 E003.00.00.000 N053.18.13.000 E002.44.00.000
                            N053.18.13.000 E002.44.00.000 N053.23.02.000 E002.40.06.000
                            N053.23.02.000 E002.40.06.000 N054.01.41.000 E000.27.19.000
                            N054.01.41.000 E000.27.19.000 N054.01.45.000 E000.06.02.000
                            N054.01.45.000 E000.06.02.000 N054.01.45.500 W000.17.12.100
                            N054.01.45.500 W000.17.12.100 N054.01.47.000 W001.35.24.000
                            N054.01.47.000 W001.35.24.000 N054.11.52.802 W001.45.43.000
                            N054.11.52.802 W001.45.43.000 N054.15.00.000 W001.48.56.000
                            N054.15.00.000 W001.48.56.000 N054.33.22.908 W001.56.30.643
                            N054.33.22.908 W001.56.30.643 N054.34.06.000 W002.03.08.000
                            N054.34.06.000 W002.03.08.000 N054.42.48.193 W002.00.23.665
