Sector: PRESTWICK BORDERS_1
Designator: EGPXBDS1
Type: PCUA
Altitude: FL355 - FL660

Coordinates (Decimal):
  55.684146, -5.324884
  55.598333, -3.496086
  55.450000, -1.173056
  55.099261, -0.760666
  55.000000, -0.645557
  54.028056, 0.455278
  54.028889, 0.246311
  54.030236, -0.830237
  54.021066, -1.662161
  54.020104, -1.743186
  54.019466, -1.977633
  54.018912, -2.018912
  54.016111, -2.289656
  54.012400, -2.435753
  54.002778, -2.808889
  54.000000, -3.227081
  -357023.496645, 6011252.502837
  -372738.371569, 6011251.850393
  53.999994, -3.368963
  55.163321, -5.078001
  55.684146, -5.324884

Coordinates (DMS):
  N055.41.02.926 W005.19.29.582
  N055.35.54.000 W003.29.45.909
  N055.27.00.000 W001.10.23.000
  N055.05.57.338 W000.45.38.396
  N055.00.00.000 W000.38.44.006
  N054.01.41.000 E000.27.19.000
  N054.01.44.000 E000.14.46.720
  N054.01.48.849 W000.49.48.852
  N054.01.15.839 W001.39.43.781
  N054.01.12.374 W001.44.35.468
  N054.01.10.077 W001.58.39.479
  N054.01.08.083 W002.01.08.083
  N054.00.58.000 W002.17.22.760
  N054.00.44.640 W002.26.08.710
  N054.00.10.000 W002.48.32.000
  N054.00.00.000 W003.13.37.492
  S357023.29.47.923 E6011252.30.10.212
  S372738.22.17.648 E6011251.51.01.416
  N053.59.59.979 W003.22.08.267
  N055.09.47.956 W005.04.40.805
  N055.41.02.926 W005.19.29.582
