Sector: PRESTWICK EAST_2
Designator: EGPXEE2
Type: LAG NORTH
Altitude: FL0 - FL255

Coordinates (Decimal):
  55.000000, -1.916751
  55.000000, -0.645557
  55.000000, -0.645557
  54.028056, 0.455278
  54.028889, 0.246311
  54.029637, 0.100156
  54.030236, -0.830237
  54.022197, -1.582286
  54.021066, -1.662161
  54.020104, -1.743186
  54.019466, -1.977633
  54.019016, -2.011244
  54.250000, -2.166172
  55.000000, -1.916751

Coordinates (DMS):
  N055.00.00.000 W001.55.00.305
  N055.00.00.000 W000.38.44.006
  N055.00.00.000 W000.38.44.006
  N054.01.41.000 E000.27.19.000
  N054.01.44.000 E000.14.46.720
  N054.01.46.694 E000.06.00.562
  N054.01.48.849 W000.49.48.852
  N054.01.19.909 W001.34.56.230
  N054.01.15.839 W001.39.43.781
  N054.01.12.374 W001.44.35.468
  N054.01.10.077 W001.58.39.479
  N054.01.08.457 W002.00.40.478
  N054.15.00.000 W002.09.58.218
  N055.00.00.000 W001.55.00.305
