Sector: PRESTWICK GRAMPIAN_1
Designator: EGPXGRP1
Type: PCUA
Altitude: FL225 - FL660

Coordinates (Decimal):
  57.658211, -6.271991
  57.442005, -4.187672
  57.164444, -1.896389
  56.245556, -1.552222
  55.450000, -1.173056
  55.598333, -3.496086
  55.684146, -5.324884
  57.252576, -6.068226
  57.658211, -6.271991

Coordinates (DMS):
  N057.39.29.561 W006.16.19.167
  N057.26.31.219 W004.11.15.618
  N057.09.52.000 W001.53.47.000
  N056.14.44.000 W001.33.08.000
  N055.27.00.000 W001.10.23.000
  N055.35.54.000 W003.29.45.909
  N055.41.02.926 W005.19.29.582
  N057.15.09.272 W006.04.05.614
  N057.39.29.561 W006.16.19.167
