Sector: PRESTWICK PENNINE_1
Designator: EGPXPEN1
Type: PCUA
Altitude: FL255 - FL355

Coordinates (Decimal):
  55.598333, -3.496086
  55.450000, -1.173056
  55.099261, -0.760666
  55.000000, -0.645557
  54.028056, 0.455278
  54.028889, 0.246311
  54.030236, -0.830237
  54.021066, -1.662161
  54.020104, -1.743186
  54.019984, -1.803235
  54.986481, -2.550928
  55.431118, -3.468907
  55.598333, -3.496086

Coordinates (DMS):
  N055.35.54.000 W003.29.45.909
  N055.27.00.000 W001.10.23.000
  N055.05.57.338 W000.45.38.396
  N055.00.00.000 W000.38.44.006
  N054.01.41.000 E000.27.19.000
  N054.01.44.000 E000.14.46.720
  N054.01.48.849 W000.49.48.852
  N054.01.15.839 W001.39.43.781
  N054.01.12.374 W001.44.35.468
  N054.01.11.943 W001.48.11.646
  N054.59.11.332 W002.33.03.342
  N055.25.52.026 W003.28.08.065
  N055.35.54.000 W003.29.45.909
