Sector: PRESTWICK S29_2
Designator: EGPX29G2
Type: LAG NORTH
Altitude: FL195 - FL255

Coordinates (Decimal):
  54.250000, -2.166172
  54.019016, -2.011244
  54.018912, -2.018912
  54.016111, -2.289656
  54.012400, -2.435753
  54.002778, -2.808889
  54.000000, -3.227081
  -357023.496645, 6011252.502837
  -388334.264782, 6011232.774574
  53.999823, -3.509750
  54.049167, -3.517778
  54.250000, -3.551389
  54.250000, -3.551389
  54.250000, -2.166172

Coordinates (DMS):
  N054.15.00.000 W002.09.58.218
  N054.01.08.457 W002.00.40.478
  N054.01.08.083 W002.01.08.083
  N054.00.58.000 W002.17.22.760
  N054.00.44.640 W002.26.08.710
  N054.00.10.000 W002.48.32.000
  N054.00.00.000 W003.13.37.492
  S357023.29.47.923 E6011252.30.10.212
  S388334.15.53.216 E6011232.46.28.466
  N053.59.59.362 W003.30.35.100
  N054.02.57.000 W003.31.04.000
  N054.15.00.000 W003.33.05.000
  N054.15.00.000 W003.33.05.000
  N054.15.00.000 W002.09.58.218
