Sector: PRESTWICK SOLWAY_1
Designator: EGPXSOL1
Type: PCUA
Altitude: FL255 - FL355

Coordinates (Decimal):
  55.684146, -5.324884
  55.598333, -3.496086
  55.431118, -3.468907
  54.986481, -2.550928
  54.019984, -1.803235
  54.019466, -1.977633
  54.018912, -2.018912
  54.016111, -2.289656
  54.012400, -2.435753
  54.002778, -2.808889
  54.000000, -3.227081
  -357023.496645, 6011252.502837
  -372738.371569, 6011251.850393
  53.999994, -3.368963
  55.163321, -5.078001
  55.684146, -5.324884

Coordinates (DMS):
  N055.41.02.926 W005.19.29.582
  N055.35.54.000 W003.29.45.909
  N055.25.52.026 W003.28.08.065
  N054.59.11.332 W002.33.03.342
  N054.01.11.943 W001.48.11.646
  N054.01.10.077 W001.58.39.479
  N054.01.08.083 W002.01.08.083
  N054.00.58.000 W002.17.22.760
  N054.00.44.640 W002.26.08.710
  N054.00.10.000 W002.48.32.000
  N054.00.00.000 W003.13.37.492
  S357023.29.47.923 E6011252.30.10.212
  S372738.22.17.648 E6011251.51.01.416
  N053.59.59.979 W003.22.08.267
  N055.09.47.956 W005.04.40.805
  N055.41.02.926 W005.19.29.582
