Sector: PRESTWICK TYNE FIS
Designator: EGPXTYNFIS
Type: PCUA
Altitude: FL0 - FL195

Coordinates (Decimal):
  56.601382, 3.608598
  56.417222, 5.000000
  55.500000, 5.000000
  55.429753, 3.765946
  55.854444, 3.500000
  56.509722, 3.500000
  56.601382, 3.608598

Coordinates (DMS):
  N056.36.04.974 E003.36.30.952
  N056.25.02.000 E005.00.00.000
  N055.30.00.000 E005.00.00.000
  N055.25.47.111 E003.45.57.406
  N055.51.16.000 E003.30.00.000
  N056.30.35.000 E003.30.00.000
  N056.36.04.974 E003.36.30.952
