Sector,Latitude,Longitude,Latitude_DMS,Longitude_DMS
PRESTWICK PENNINE_1,55.598333,-3.496086,N055.35.54.000,W003.29.45.909
PRESTWICK PENNINE_1,55.450000,-1.173056,N055.27.00.000,W001.10.23.000
PRESTWICK PENNINE_1,55.099261,-0.760666,N055.05.57.338,W000.45.38.396
PRESTWICK PENNINE_1,55.000000,-0.645557,N055.00.00.000,W000.38.44.006
PRESTWICK PENNINE_1,54.028056,0.455278,N054.01.41.000,E000.27.19.000
PRESTWICK PENNINE_1,54.028889,0.246311,N054.01.44.000,E000.14.46.720
PRESTWICK PENNINE_1,54.030236,-0.830237,N054.01.48.849,W000.49.48.852
PRESTWICK PENNINE_1,54.021066,-1.662161,N054.01.15.839,W001.39.43.781
PRESTWICK PENNINE_1,54.020104,-1.743186,N054.01.12.374,W001.44.35.468
PRESTWICK PENNINE_1,54.019984,-1.803235,N054.01.11.943,W001.48.11.646
PRESTWICK PENNINE_1,54.986481,-2.550928,N054.59.11.332,W002.33.03.342
PRESTWICK PENNINE_1,55.431118,-3.468907,N055.25.52.026,W003.28.08.065
PRESTWICK PENNINE_1,55.598333,-3.496086,N055.35.54.000,W003.29.45.909
PRESTWICK CENTRAL SOUTH_1,56.585000,-10.000000,N056.35.06.000,W010.00.00.000
PRESTWICK CENTRAL SOUTH_1,57.333333,-10.000000,N057.19.60.000,W010.00.00.000
PRESTWICK CENTRAL SOUTH_1,56.267421,-5.593941,N056.16.02.716,W005.35.38.189
PRESTWICK CENTRAL SOUTH_1,55.947388,-5.445276,N055.56.50.596,W005.26.42.992
PRESTWICK CENTRAL SOUTH_1,56.585000,-10.000000,N056.35.06.000,W010.00.00.000
PRESTWICK CENTRAL NORTH_1,58.666667,-10.000000,N058.40.00.000,W010.00.00.000
PRESTWICK CENTRAL NORTH_1,59.333333,-10.000000,N059.19.60.000,W010.00.00.000
PRESTWICK CENTRAL NORTH_1,58.887222,-8.266111,N058.53.14.000,W008.15.58.000
PRESTWICK CENTRAL NORTH_1,58.283471,-7.023235,N058.17.00.496,W007.01.23.645
PRESTWICK CENTRAL NORTH_1,57.658211,-6.271991,N057.39.29.561,W006.16.19.167
PRESTWICK CENTRAL NORTH_1,57.252576,-6.068226,N057.15.09.272,W006.04.05.614
PRESTWICK CENTRAL NORTH_1,58.666667,-10.000000,N058.40.00.000,W010.00.00.000
PRESTWICK S29_2,54.250000,-2.166172,N054.15.00.000,W002.09.58.218
PRESTWICK S29_2,54.019016,-2.011244,N054.01.08.457,W002.00.40.478
PRESTWICK S29_2,54.018912,-2.018912,N054.01.08.083,W002.01.08.083
PRESTWICK S29_2,54.016111,-2.289656,N054.00.58.000,W002.17.22.760
PRESTWICK S29_2,54.012400,-2.435753,N054.00.44.640,W002.26.08.710
PRESTWICK S29_2,54.002778,-2.808889,N054.00.10.000,W002.48.32.000
PRESTWICK S29_2,54.000000,-3.227081,N054.00.00.000,W003.13.37.492
PRESTWICK S29_2,-357023.496645,6011252.502837,S357023.29.47.923,E6011252.30.10.212
PRESTWICK S29_2,-388334.264782,6011232.774574,S388334.15.53.216,E6011232.46.28.466
PRESTWICK S29_2,53.999823,-3.509750,N053.59.59.362,W003.30.35.100
PRESTWICK S29_2,54.049167,-3.517778,N054.02.57.000,W003.31.04.000
PRESTWICK S29_2,54.250000,-3.551389,N054.15.00.000,W003.33.05.000
PRESTWICK S29_2,54.250000,-3.551389,N054.15.00.000,W003.33.05.000
PRESTWICK S29_2,54.250000,-2.166172,N054.15.00.000,W002.09.58.218
PRESTWICK SOLWAY_1,55.684146,-5.324884,N055.41.02.926,W005.19.29.582
PRESTWICK SOLWAY_1,55.598333,-3.496086,N055.35.54.000,W003.29.45.909
PRESTWICK SOLWAY_1,55.431118,-3.468907,N055.25.52.026,W003.28.08.065
PRESTWICK SOLWAY_1,54.986481,-2.550928,N054.59.11.332,W002.33.03.342
PRESTWICK SOLWAY_1,54.019984,-1.803235,N054.01.11.943,W001.48.11.646
PRESTWICK SOLWAY_1,54.019466,-1.977633,N054.01.10.077,W001.58.39.479
PRESTWICK SOLWAY_1,54.018912,-2.018912,N054.01.08.083,W002.01.08.083
PRESTWICK SOLWAY_1,54.016111,-2.289656,N054.00.58.000,W002.17.22.760
