London AC Daventry          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.50.46.000 W002.45.29.000 N053.10.29.000 W002.05.57.000
                            N053.10.29.000 W002.05.57.000 N053.12.25.000 W001.58.44.000
                            N053.12.25.000 W001.58.44.000 N053.00.31.000 W001.47.37.000
                            N053.00.31.000 W001.47.37.000 N053.10.17.000 W001.20.43.000
                            N053.10.17.000 W001.20.43.000 N053.08.28.000 W001.03.17.000
                            N053.08.28.000 W001.03.17.000 N053.06.42.000 W000.46.27.000
                            N053.06.42.000 W000.46.27.000 N053.04.26.400 W000.44.25.000
                            N053.04.26.400 W000.44.25.000 N052.26.26.000 W000.10.12.000
                            N052.26.26.000 W000.10.12.000 N052.26.21.000 E000.01.53.000
                            N052.26.21.000 E000.01.53.000 N052.26.15.000 E000.13.48.000
                            N052.26.15.000 E000.13.48.000 N052.19.06.000 W000.03.44.000
                            N052.19.06.000 W000.03.44.000 N052.11.04.000 E000.05.28.000
                            N052.11.04.000 E000.05.28.000 N052.02.28.000 E000.15.24.000
                            N052.02.28.000 E000.15.24.000 N051.56.19.000 W000.07.48.000
                            N051.56.19.000 W000.07.48.000 N051.54.33.000 W000.14.25.000
                            N051.54.33.000 W000.14.25.000 N051.48.02.000 W000.38.28.000
                            N051.48.02.000 W000.38.28.000 N051.53.50.000 W000.45.38.000
                            N051.53.50.000 W000.45.38.000 N051.58.59.000 W000.52.02.000
                            N051.58.59.000 W000.52.02.000 N052.06.03.000 W000.58.14.000
                            N052.06.03.000 W000.58.14.000 N052.05.19.000 W000.59.56.000
                            N052.05.19.000 W000.59.56.000 N052.00.00.000 W001.12.26.000
                            N052.00.00.000 W001.12.26.000 N051.54.21.000 W001.02.57.000
                            N051.54.21.000 W001.02.57.000 N051.43.19.000 W001.28.37.000
                            N051.43.19.000 W001.28.37.000 N051.47.51.000 W001.41.36.000
                            N051.47.51.000 W001.41.36.000 N051.53.36.000 W001.47.41.000
                            N051.53.36.000 W001.47.41.000 N051.59.42.000 W001.54.11.000
                            N051.59.42.000 W001.54.11.000 N052.09.16.000 W002.04.28.000
                            N052.09.16.000 W002.04.28.000 N052.09.46.000 W002.05.00.000
                            N052.09.46.000 W002.05.00.000 N052.16.28.100 W002.12.18.500
                            N052.16.28.100 W002.12.18.500 N052.17.02.000 W002.12.51.000
                            N052.17.02.000 W002.12.51.000 N052.32.53.000 W002.30.11.000
                            N052.32.53.000 W002.30.11.000 N052.41.49.000 W002.37.50.000
                            N052.41.49.000 W002.37.50.000 N052.50.46.000 W002.45.29.000

                            N052.41.49.000 W002.37.50.000 N053.00.31.000 W001.47.37.000

                            N052.09.46.000 W002.05.00.000 N052.26.18.000 W001.23.15.000
                            N052.26.18.000 W001.23.15.000 N052.10.49.000 W001.06.50.000
                            N052.10.49.000 W001.06.50.000 N052.05.19.000 W000.59.56.000

                            N051.53.36.000 W001.47.41.000 N051.53.00.000 W001.28.44.000

                            N051.47.51.000 W001.41.36.000 N051.53.00.000 W001.28.44.000
                            N051.53.00.000 W001.28.44.000 N052.00.00.000 W001.12.26.000

                            N052.06.03.000 W000.58.14.000 N052.09.39.000 W000.49.42.000
                            N052.09.39.000 W000.49.42.000 N052.04.48.000 W000.38.14.000
                            N052.04.48.000 W000.38.14.000 N051.54.33.000 W000.14.25.000

                            N051.56.19.000 W000.07.48.000 N052.11.04.000 W000.02.10.000
                            N052.11.04.000 W000.02.10.000 N052.11.04.000 E000.05.28.000

                            N051.58.59.000 W000.52.02.000 N052.04.48.000 W000.38.14.000
                            N052.04.48.000 W000.38.14.000 N052.10.02.000 W000.24.27.000
                            N052.10.02.000 W000.24.27.000 N052.11.04.000 W000.21.59.000
                            N052.11.04.000 W000.21.59.000 N052.11.26.000 W000.22.20.000
                            N052.11.26.000 W000.22.20.000 N052.16.58.000 W000.27.41.000
                            N052.16.58.000 W000.27.41.000 N052.26.32.000 W000.37.02.000
                            N052.26.32.000 W000.37.02.000 N052.26.31.000 W000.27.29.000
                            N052.26.31.000 W000.27.29.000 N052.26.27.000 W000.14.16.000
                            N052.26.27.000 W000.14.16.000 N052.26.26.000 W000.10.12.000

                            N053.08.28.000 W001.03.17.000 N053.00.16.000 W001.00.43.000
                            N053.00.16.000 W001.00.43.000 N052.49.00.000 W000.49.36.651
                            N052.49.00.000 W000.49.36.651 N052.26.31.000 W000.27.29.000
