London AC Exmoor (6+9+36)   S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.40.34.000 W006.00.27.000 N051.29.21.000 W004.12.10.000 ;Outer Boundary
                            N051.29.21.000 W004.12.10.000 N051.29.05.000 W003.45.42.000
                            N051.29.05.000 W003.45.42.000 N051.15.26.000 W002.00.00.000
                            N051.15.26.000 W002.00.00.000 N051.10.27.000 W002.00.00.000
                            N051.10.27.000 W002.00.00.000 N050.55.43.000 W002.00.00.000
                            N050.55.43.000 W002.00.00.000 N050.40.24.000 W002.00.00.000
                            N050.40.24.000 W002.00.00.000 N050.40.12.000 W002.15.59.000
                            N050.40.12.000 W002.15.59.000 N050.37.12.000 W002.17.31.000
                            N050.37.12.000 W002.17.31.000 N050.17.45.000 W002.27.25.000
                            N050.17.45.000 W002.27.25.000 N050.00.00.000 W002.29.35.000
                            N050.00.00.000 W002.29.35.000 N049.54.57.000 W002.30.12.000
                            N049.54.57.000 W002.30.12.000 N049.47.50.429 W003.10.16.344
                            N049.47.50.429 W003.10.16.344 N049.37.18.000 W004.09.41.000
                            N049.37.18.000 W004.09.41.000 N049.34.00.001 W004.27.00.000
                            N049.34.00.001 W004.27.00.000 N049.28.41.000 W004.54.59.000
                            N049.28.41.000 W004.54.59.000 N048.56.10.000 W007.34.46.000
                            N048.56.10.000 W007.34.46.000 N048.50.00.000 W008.00.00.000
                            N048.50.00.000 W008.00.00.000 N049.35.00.000 W008.00.00.000
                            N049.35.00.000 W008.00.00.000 N051.00.00.000 W008.00.00.000
                            N051.00.00.000 W008.00.00.000 N051.25.28.000 W007.13.51.000
                            N051.25.28.000 W007.13.51.000 N051.23.60.000 W006.53.05.000
                            N051.23.60.000 W006.53.05.000 N051.40.34.000 W006.00.27.000
                            N050.55.43.000 W002.00.00.000 N050.49.47.000 W002.33.17.000 ;S36 305+ Box
                            N050.49.47.000 W002.33.17.000 N050.44.59.000 W002.31.07.000
                            N050.44.59.000 W002.31.07.000 N050.39.49.000 W002.30.58.000
                            N050.39.49.000 W002.30.58.000 N050.37.12.000 W002.17.31.000
                            N049.35.00.000 W008.00.00.000 N049.33.23.000 W006.56.17.000 ;TAKAS/LARLA Inner
                            N049.33.23.000 W006.56.17.000 N049.28.41.000 W004.54.59.000
