London AC Pembroke (5+8+35) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.11.48.000 W005.30.00.000 N053.11.12.000 W005.08.59.000 ;Outer Boundary
                            N053.11.12.000 W005.08.59.000 N052.55.42.000 W004.14.47.000
                            N052.55.42.000 W004.14.47.000 N052.54.33.000 W003.26.59.000
                            N052.54.33.000 W003.26.59.000 N052.54.23.000 W003.18.39.500
                            N052.54.23.000 W003.18.39.500 N052.53.33.000 W002.50.15.000
                            N052.53.33.000 W002.50.15.000 N052.50.46.000 W002.45.29.000
                            N052.50.46.000 W002.45.29.000 N052.41.49.000 W002.37.50.000
                            N052.41.49.000 W002.37.50.000 N052.32.53.000 W002.30.11.000
                            N052.32.53.000 W002.30.11.000 N052.17.02.000 W002.12.51.000
                            N052.17.02.000 W002.12.51.000 N052.16.28.100 W002.12.18.500
                            N052.16.28.100 W002.12.18.500 N052.09.46.000 W002.05.00.000
                            N052.09.46.000 W002.05.00.000 N052.09.16.000 W002.04.28.000
                            N052.09.16.000 W002.04.28.000 N051.59.42.000 W001.54.11.000
                            N051.59.42.000 W001.54.11.000 N051.53.36.000 W001.47.41.000
                            N051.53.36.000 W001.47.41.000 N051.47.51.000 W001.41.36.000
                            N051.47.51.000 W001.41.36.000 N051.41.26.000 W002.00.00.000
                            N051.41.26.000 W002.00.00.000 N051.15.26.000 W002.00.00.000
                            N051.15.26.000 W002.00.00.000 N051.29.05.000 W003.45.42.000
                            N051.29.05.000 W003.45.42.000 N051.29.21.000 W004.12.10.000
                            N051.29.21.000 W004.12.10.000 N051.40.34.000 W006.00.27.000
                            N051.40.34.000 W006.00.27.000 N052.00.49.000 W006.07.20.000
                            N052.00.49.000 W006.07.20.000 N052.20.00.000 W005.30.00.000
                            N052.20.00.000 W005.30.00.000 N052.57.05.000 W005.30.00.000
                            N052.57.05.000 W005.30.00.000 N053.10.35.000 W005.30.00.000
                            N053.10.35.000 W005.30.00.000 N052.43.10.000 W004.40.42.000 ;L18
                            N052.43.10.000 W004.40.42.000 N052.35.50.000 W004.51.51.000
                            N052.35.50.000 W004.51.51.000 N052.57.05.000 W005.30.00.000
                            N051.29.05.000 W003.45.42.000 N052.05.22.000 W003.58.49.000 ;S23 Boundary
                            N052.05.22.000 W003.58.49.000 N051.57.39.683 W003.19.14.667
                            N051.57.39.683 W003.19.14.667 N051.56.40.000 W002.47.18.000
                            N051.56.40.000 W002.47.18.000 N052.05.26.000 W002.30.50.000
                            N052.05.26.000 W002.30.50.000 N052.17.02.000 W002.12.51.000
