London Sector 23            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.05.22.000 W003.58.49.000 N051.57.39.683 W003.19.14.667 ;Outer Boundary
                            N051.57.39.683 W003.19.14.667 N051.56.40.000 W002.47.18.000
                            N051.56.40.000 W002.47.18.000 N052.05.26.000 W002.30.50.000
                            N052.05.26.000 W002.30.50.000 N052.17.02.000 W002.12.51.000
                            N052.17.02.000 W002.12.51.000 N052.16.28.100 W002.12.18.500
                            N052.16.28.100 W002.12.18.500 N052.09.46.000 W002.05.00.000
                            N052.09.46.000 W002.05.00.000 N052.09.16.000 W002.04.28.000
                            N052.09.16.000 W002.04.28.000 N051.59.42.000 W001.54.11.000
                            N051.59.42.000 W001.54.11.000 N051.53.36.000 W001.47.41.000
                            N051.53.36.000 W001.47.41.000 N051.47.51.000 W001.41.36.000
                            N051.47.51.000 W001.41.36.000 N051.42.11.000 W001.35.37.000
                            N051.42.11.000 W001.35.37.000 N051.40.55.000 W001.34.58.000
                            N051.40.55.000 W001.34.58.000 N051.39.43.000 W001.26.46.000
                            N051.39.43.000 W001.26.46.000 N051.36.01.000 W001.24.53.000
                            N051.36.01.000 W001.24.53.000 N051.35.32.000 W001.21.02.000
                            N051.35.32.000 W001.21.02.000 N051.16.17.000 W001.20.57.000
                            N051.16.17.000 W001.20.57.000 N051.13.50.000 W001.21.59.000
                            N051.13.50.000 W001.21.59.000 N051.13.06.000 W001.30.31.000
                            N051.13.06.000 W001.30.31.000 N051.12.38.000 W001.36.00.000
                            N051.12.38.000 W001.36.00.000 N051.15.26.000 W002.00.00.000
                            N051.15.26.000 W002.00.00.000 N051.29.05.000 W003.45.42.000
                            N051.29.05.000 W003.45.42.000 N052.05.22.000 W003.58.49.000
                            N051.40.55.000 W001.34.58.000 N051.36.53.000 W001.33.29.500 ;TC SW Boundary
                            N051.36.53.000 W001.33.29.500 N051.26.24.000 W001.29.33.000
                            N051.26.24.000 W001.29.33.000 N051.18.37.792 W001.28.13.800
                            N051.18.37.792 W001.28.13.800 N051.13.06.000 W001.30.31.000
                            N051.47.51.000 W001.41.36.000 N051.41.26.000 W002.00.00.000 ;Worthing Boundary
                            N051.41.26.000 W002.00.00.000 N051.15.26.000 W002.00.00.000
