London TC South East      S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                          N051.27.52.000 E000.10.09.000 N051.26.47.000 E000.49.60.000
                          N051.26.47.000 E000.49.60.000 N051.26.58.000 E000.55.32.000
                          N051.26.58.000 E000.55.32.000 N051.26.17.000 E001.07.24.000
                          N051.26.17.000 E001.07.24.000 N051.18.12.000 E000.49.03.000
                          N051.18.12.000 E000.49.03.000 N051.07.03.000 E000.45.41.000
                          N051.04.43.600 W000.05.33.000 N051.07.03.000 E000.45.41.000
                          N051.04.43.600 W000.05.33.000 N050.44.24.000 E000.23.10.000
                          N051.18.17.000 W000.26.47.000 N051.08.53.000 W000.11.25.000
                          N051.08.53.000 W000.11.25.000 N051.04.43.600 W000.05.33.000
                          N051.29.04.000 W000.27.53.000 N051.27.52.000 E000.10.09.000
                          N051.29.04.000 W000.27.53.000 N051.18.17.000 W000.26.47.000
                          N050.44.24.000 E000.23.10.000 N050.40.00.000 E000.29.60.000
                          N050.40.00.000 E000.29.60.000 N050.53.14.000 E001.08.22.000
                          N051.07.03.000 E000.45.41.000 N050.57.23.000 E001.02.33.000
                          N050.57.23.000 E001.02.33.000 N050.53.14.000 E001.08.22.000
                          N051.00.00.000 E001.27.60.000 N050.53.14.000 E001.08.22.000
                          N051.24.24.000 E001.37.27.000 N051.18.25.000 E001.35.18.000
                          N051.18.25.000 E001.35.18.000 N051.00.00.000 E001.27.60.000
                          N051.26.17.000 E001.07.24.000 N051.24.24.000 E001.37.27.000
