;Runway 02
N053.25.56.759 W001.01.37.241 N053.18.19.354 W001.05.40.615
N053.26.02.216 W001.02.06.032 N053.25.51.301 W001.01.08.450
N053.25.02.312 W001.02.22.132 N053.24.56.854 W001.01.53.352
N053.24.07.865 W001.03.06.990 N053.23.56.950 W001.02.09.451
N053.23.07.961 W001.03.23.055 N053.23.02.503 W001.02.54.297
N053.22.13.514 W001.04.07.857 N053.22.02.599 W001.03.10.361
N053.21.13.610 W001.04.23.888 N053.21.08.152 W001.03.55.151
N053.20.19.163 W001.05.08.634 N053.20.08.248 W001.04.11.181
N053.19.19.259 W001.05.24.630 N053.19.13.801 W001.04.55.914
N053.18.24.812 W001.06.09.320 N053.18.13.897 W001.05.11.910
;Runway 20
N053.31.05.285 W000.58.52.352 N053.38.42.664 W000.54.46.519
N053.31.10.745 W000.59.21.199 N053.30.59.824 W000.58.23.505
N053.32.05.188 W000.58.36.133 N053.31.59.727 W000.58.07.275
N053.33.05.090 W000.58.19.901 N053.32.54.169 W000.57.22.163
N053.33.59.532 W000.57.34.778 N053.33.54.072 W000.57.05.898
N053.34.59.435 W000.57.18.511 N053.34.48.514 W000.56.20.730
N053.35.53.877 W000.56.33.331 N053.35.48.417 W000.56.04.429
N053.36.53.780 W000.56.17.029 N053.36.42.859 W000.55.19.204
N053.37.48.222 W000.55.31.791 N053.37.42.761 W000.55.02.868
N053.38.48.125 W000.55.15.453 N053.38.37.203 W000.54.17.585
