05DME N053.29.39.390 W000.59.37.900
15DMA N053.30.39.210 W000.59.42.990
25DME N053.25.23.370 W001.01.17.360
CN02F N053.20.54.900 W001.04.17.490
CN20F N053.36.25.250 W000.56.01.010
CNE01 N053.31.23.130 W000.52.27.900
CNE02 N053.27.34.120 W000.54.32.370
CNE03 N053.22.07.840 W000.54.44.510
CNE04 N053.38.04.190 W000.48.20.120
CNM01 N053.36.08.260 W000.56.10.140
CNM02 N053.34.40.830 W000.48.31.530
CNM03 N053.31.11.090 W000.50.24.630
CNM04 N053.23.45.230 W001.02.47.070
CNM05 N053.22.18.240 W000.55.10.450
CNM06 N053.28.41.290 W000.51.45.200
CNN01 N053.29.18.390 W000.59.49.610
CNN02 N053.31.29.670 W000.59.29.670
CNN04 N053.32.47.790 W000.57.57.710
CNN05 N053.36.33.390 W001.04.15.990
CNS01 N053.27.41.380 W001.00.41.360
CNS02 N053.25.43.940 W001.02.18.820
CNS03 N053.24.35.210 W001.07.10.290
CNS04 N053.24.13.740 W001.03.38.660
CNS05 N053.19.29.070 W001.05.17.610
CNS06 N053.16.47.460 W000.55.24.970
CNW06 N053.24.22.530 W001.08.03.910
CNW07 N053.27.48.570 W001.11.13.050
CNW08 N053.31.24.850 W001.14.32.210
D015K N053.27.32.600 W000.52.22.670
D015R N053.34.12.960 W000.50.18.490
D204A N053.27.23.300 W001.00.52.190
D209B N053.26.35.250 W001.01.35.330
D263O N053.37.25.120 W000.54.42.310
D263U N053.35.55.740 W001.09.37.160
D324M N053.27.14.530 W001.09.54.990
D324N N053.28.02.260 W001.10.55.660
D326R N053.31.40.550 W001.13.55.260
GAM18 N053.34.08.490 W001.03.01.430
IBIPA N053.39.16.430 W000.54.28.960
LEDLA N053.15.59.650 W000.43.57.690
NUVRU N053.18.03.590 W001.05.48.230
