REGIONNAME Backgrounds
black N053.32.27.016 W001.00.16.000
N053.32.25.212 W000.59.29.061
N053.32.19.827 W000.58.42.834
N053.32.10.943 W000.57.58.019
N053.31.58.695 W000.57.15.295
N053.31.43.268 W000.56.35.311
N053.31.24.896 W000.55.58.673
N053.31.03.857 W000.55.25.935
N053.30.40.471 W000.54.57.594
N053.30.15.093 W000.54.34.080
N053.29.48.105 W000.54.15.750
N053.29.19.919 W000.54.02.880
N053.28.50.961 W000.53.55.666
N053.28.21.670 W000.53.54.218
N053.27.52.490 W000.53.58.557
N053.27.23.863 W000.54.08.618
N053.26.56.224 W000.54.24.248
N053.26.29.991 W000.54.45.210
N053.26.05.562 W000.55.11.187
N053.25.43.308 W000.55.41.784
N053.25.23.565 W000.56.16.538
N053.25.06.634 W000.56.54.922
N053.24.52.770 W000.57.36.354
N053.24.42.184 W000.58.20.206
N053.24.35.036 W000.59.05.814
N053.24.31.434 W000.59.52.486
N053.24.31.434 W001.00.39.513
N053.24.35.036 W001.01.26.185
N053.24.42.184 W001.02.11.793
N053.24.52.770 W001.02.55.645
N053.25.06.634 W001.03.37.077
N053.25.23.565 W001.04.15.461
N053.25.43.308 W001.04.50.215
N053.26.05.562 W001.05.20.812
N053.26.29.991 W001.05.46.789
N053.26.56.224 W001.06.07.751
N053.27.23.863 W001.06.23.381
N053.27.52.490 W001.06.33.442
N053.28.21.670 W001.06.37.781
N053.28.50.961 W001.06.36.333
N053.29.19.919 W001.06.29.119
N053.29.48.105 W001.06.16.249
N053.30.15.093 W001.05.57.919
N053.30.40.471 W001.05.34.405
N053.31.03.857 W001.05.06.064
N053.31.24.896 W001.04.33.326
N053.31.43.268 W001.03.56.688
N053.31.58.695 W001.03.16.704
N053.32.10.943 W001.02.33.980
N053.32.19.827 W001.01.49.165
N053.32.25.212 W001.01.02.938
N053.32.27.016 W001.00.16.000
