;Runway 10
N051.22.35.810 E001.03.56.850 N051.20.51.710 E001.18.02.170 
N051.22.59.310 E001.04.04.310 N051.22.35.810 E001.03.56.850 
N051.22.24.330 E001.05.30.820 N051.22.47.830 E001.05.38.290 
N051.22.12.820 E001.07.04.790 N051.22.36.330 E001.07.12.250 
N051.21.37.780 E001.08.31.270 N051.22.24.800 E001.08.46.200 
N051.21.49.750 E001.10.12.680 N051.22.13.260 E001.10.20.140 
N051.22.01.690 E001.11.54.070 N051.21.38.180 E001.11.46.600 
N051.21.26.600 E001.13.20.520 N051.21.50.110 E001.13.27.980 
N051.21.14.990 E001.14.54.420 N051.21.38.500 E001.15.01.880 
N051.20.38.850 E001.16.20.840 N051.21.26.870 E001.16.35.760 
N051.20.51.710 E001.18.02.170 N051.21.15.220 E001.18.09.630 
;Runway 28
N051.18.24.300 E001.37.33.720 N051.20.10.830 E001.23.29.890 
N051.18.24.300 E001.37.33.720 N051.18.47.900 E001.37.41.190 
N051.18.36.300 E001.36.00.020 N051.18.59.810 E001.36.07.490 
N051.18.48.190 E001.34.26.300 N051.19.11.700 E001.34.33.770 
N051.18.35.550 E001.32.45.090 N051.19.23.570 E001.33.00.040 
N051.19.11.910 E001.31.18.820 N051.19.35.420 E001.31.26.300 
N051.19.47.240 E001.29.52.390 N051.19.23.730 E001.29.45.060 
N051.19.35.540 E001.28.11.290 N051.19.59.050 E001.28.18.760 
N051.19.47.330 E001.26.37.500 N051.20.10.830 E001.26.44.980 
N051.19.35.580 E001.24.56.220 N051.20.22.590 E001.25.11.180 
N051.20.10.830 E001.23.29.890 N051.20.34.340 E001.23.37.370 
